Country,Observatory-ID,ARMS-ID,MaterialSample-ID,longitude,latitude,depth,Deploy_Date,Collect_Date,Fraction,Preservative,Filter,gene_COI,gene_18S,gene_ITS,negativeControl_gene_COI,negativeControl_gene_18S,negativeControl_gene_ITS,OtherDataLink,AccessRights,AssociatedFileType
Greece,Crete,1HERP,ARMS_Crete_1HERP_180928_190128_SF40_DMSO,25.136605,35.343153,5,2018-09-28,2019-01-28,sessile,DMSO,40,ERR3460466,ERR4018423,ERR4018429,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences
Greece,Crete,1HERP,ARMS_Crete_1HERP_180928_190128_SF40_EtOH,25.136605,35.343153,5,2018-09-28,2019-01-28,sessile,EtOH,40,ERR3460467,ERR4018424,ERR4018430,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences
Greece,Crete,1HERP,ARMS_Crete_1HERP_180928_190128_MF500_DMSO,25.136605,35.343153,5,2018-09-28,2019-01-28,motile ,DMSO,500,ERR3460468,ERR4018425,ERR4018431,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences
Greece,Crete,1HERP,ARMS_Crete_1HERP_180928_190128_MF500_EtOH,25.136605,35.343153,5,2018-09-28,2019-01-28,motile ,EtOH,500,ERR3460469,ERR4018426,ERR4018432,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences
Greece,Crete,1HERP,ARMS_Crete_1HERP_180928_190128_SED_Frozen,25.136605,35.343153,5,2018-09-28,2019-01-28,sediment,frozen,NA,ERR3460470,ERR4018427,ERR4018433,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences
Greece,Crete,1HERP,ARMS_Crete_1HERP_180928_190128_PS250_EtOH,25.136605,35.343153,5,2018-09-28,2019-01-28,plankton,EtOH,250,NA,ERR4018428,ERR4018434,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences
Greece,Crete,1HERP,ARMS_Crete_1HERP_180928_190128_Images,25.136605,35.343153,NA,2018-09-28,2019-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,VLIZ_00000615_6100183aaa3ee810554990,http://purl.org/eprint/accessRights/OpenAccess,images
Greece,Crete,1H,ARMS_Crete_1HERP_180928_190128_ManualObservations,25.136605,35.343153,NA,2018-09-28,2019-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,VLIZ_00000615_6100190832a05166010758,http://purl.org/eprint/accessRights/OpenAccess,manual observations
Sweden,Koster,VH2,ARMS_Koster_VH2_180418_180906_SF40_EtOH,11.111884,58.87633,22,2018-04-18,2018-09-06,sessile,EtOH,40,ERR4018450,ERR4018436,ERR4018443,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences
Sweden,Koster,VH2,ARMS_Koster_VH2_180418_180906_SF40_DMSO,11.111884,58.87633,22,2018-04-18,2018-09-06,sessile,DMSO,40,ERR4018451,ERR4018437,ERR4018444,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences
Sweden,Koster,VH2,ARMS_Koster_VH2_180418_180906_MF100_EtOH,11.111884,58.87633,22,2018-04-18,2018-09-06,motile ,EtOH,100,ERR4018452,ERR4018438,ERR4018445,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences
Sweden,Koster,VH2,ARMS_Koster_VH2_180418_180906_MF500_EtOH,11.111884,58.87633,22,2018-04-18,2018-09-06,motile ,EtOH,500,ERR4018453,ERR4018439,ERR4018446,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences
Sweden,Koster,VH2,ARMS_Koster_VH2_180418_180906_SED100_DMSO,11.111884,58.87633,22,2018-04-18,2018-09-06,sediment,DMSO,100,ERR4018454,ERR4018440,ERR4018447,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences
Sweden,Koster,VH2,ARMS_Koster_VH2_180418_180906_SED500_DMSO,11.111884,58.87633,22,2018-04-18,2018-09-06,sediment,DMSO,500,ERR4018455,ERR4018441,ERR4018448,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences
Sweden,Koster,VH2,ARMS_Koster_VH2_180418_180906_PS90_EtOH,11.111884,58.87633,22,2018-04-18,2018-09-06,plankton,EtOH,90,NA,ERR4018442,ERR4018449,ERR3460471,ERR4018474,ERR4018475,NA,http://purl.org/eprint/accessRights/OpenAccess,sequences
Sweden,Koster,VH2,ARMS_Koster_VH2_180418_180906_Images,11.111884,58.87633,NA,2018-04-18,2018-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,VLIZ_00000615_6100189bdacd8661881214,http://purl.org/eprint/accessRights/OpenAccess,images
Sweden,Koster,VH2,ARMS_Crete_1HERP_180928_190128_ManualObservations,11.111884,58.87633,NA,2018-04-18,2018-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,VLIZ_00000615_610018fa66217766733426,http://purl.org/eprint/accessRights/OpenAccess,manual observations
