column,name,datatype,propertyUrl
MaterialSample_ID,MaterialSample_ID,xsd:string,schema:identifier
Country,Country,xsd:string,schema:country
Observatory_ID,Observatory_ID,xsd:string,schema:identifier
ARMS_ID,ARMS_ID,xsd:string,schema:identifier
Deploy_Date,Deploy_Date,xsd:string,schema:startDate
Collect_Date,Collect_Date,xsd:string,schema:endDate
gene_COI,gene_COI,xsd:string,http://edamontology.org/data_1093
gene_18S,gene_18S,xsd:string,http://edamontology.org/data_1093
gene_ITS,gene_ITS,xsd:string,http://edamontology.org/data_1093
negativeControl_gene_COI,negativeControl_gene_COI,xsd:string,http://edamontology.org/data_1093
negativeControl_gene_18S,negativeControl_gene_18S,xsd:string,http://edamontology.org/data_1093
negativeControl_gene_ITS,negativeControl_gene_ITS,xsd:string,http://edamontology.org/data_1093
OtherDataLink,OtherDataLink,xsd:anyURI,schema:identifier
AccessRights,AccessRights,xsd:anyURI,http://purl.org/dc/terms/accessRights
AssociatedFileType,AssociatedFileType,xsd:string,http://purl.org/dc/terms/type
longitude,longitude,xsd:double,schema:longitude
latitude,latitude,xsd:double,schema:latitude
depth,depth,xsd:integer,http://rs.tdwg.org/dwc/terms/MeasurementOrFact
Fraction,Fraction,xsd:string,http://rs.tdwg.org/dwc/terms/MeasurementOrFact
Preservative,Preservative,xsd:string,http://rs.tdwg.org/dwc/terms/MeasurementOrFact
Filter,Filter,xsd:integer,http://rs.tdwg.org/dwc/terms/MeasurementOrFact
