EventID,MaterialSampleID,OriginalSampleID,Gene_COI,GeneNegControl_COI,GeneITS,GeneNegControl_ITS,Gene18S,GeneNegControl_18S
ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100,ARMS_VLIZ_ZBE1_20190924-20200303_MT100_A,ERR7125498,ERR7125582,discontinued,discontinued,ERR7125496,ERR7125581
ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,ARMS_VLIZ_ZBE1_20190924-20200303_MT500_A,ERR4914228,ERR4914160,ERR4914229,ERR4914218,ERR4914227,ERR4914102
ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40,ARMS_VLIZ_ZBE1_20190924-20200303_SF40_A,ERR7125478,ERR7125534,ERR7125479,ERR7125535,ERR7125477,ERR7125533
ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH,AZFP2(inside)_2,ERR7125497,ERR7125582,discontinued,discontinued,ERR7125495,ERR7125581
ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH,AZFP2(inside)_1,ERR4018736,ERR4018737,ERR4018735,ERR4018475,ERR4605228,ERR4605902
ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100,ARMS_BelgiumCoast_JJ-BC89_20210225-20210819_MF100_DMSO_A,,,,,,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500,ARMS_BelgiumCoast_JJ-BC89_20210225-20210819_MF500_DMSO_A,,,,,,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_SF40,ARMS_BelgiumCoast_JJ-BC89_20210225-20210819_SF40_DMSO_A,,,,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100,ARMS_BelgiumCoast_JJ-C8-1_200506-201012_MF100_DMSO_A,ERR7125481,ERR7125534,ERR7125482,ERR7125535,ERR7125480,ERR7125533
ARMS_BelgiumCoast_AJJC81_20200506_20201012,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500,ARMS_BelgiumCoast_JJ-C8-1_200506-201012_MF500_DMSO_A,ERR7125484,ERR7125534,ERR7125485,ERR7125535,ERR7125483,ERR7125533
