Country,ObservatoryID,UnitID,DateDeployed,DateCollected,EventID,MaterialSampleID,Fraction,Preservative,Filter,CrateCover,Number of associated data files,Number of ENA sequences
BEL,BelgiumCoast,AJJBC89,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100,Motile,DMSO,100,no,19,0
BEL,BelgiumCoast,AJJBC89,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500,Motile,DMSO,500,no,19,0
BEL,BelgiumCoast,AJJBC89,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_SF40,Sessile,DMSO,40,no,19,0
BEL,BelgiumCoast,AJJC81,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC81_20200506_20201012,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100,Motile,DMSO,100,no,37,6
BEL,BelgiumCoast,AJJC81,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC81_20200506_20201012,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500,Motile,DMSO,500,no,37,6
BEL,BelgiumCoast,AJJC86,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC86_20200506_20201012,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100,Motile,DMSO,100,no,35,6
BEL,BelgiumCoast,AJJC86,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC86_20200506_20201012,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500,Motile,DMSO,500,no,35,6
BEL,BelgiumCoast,AJJCD78,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100,Motile,DMSO,100,no,37,6
BEL,BelgiumCoast,AJJCD78,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500,Motile,DMSO,500,no,37,0
BEL,BelgiumCoast,AJJCD78,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF100,Motile,DMSO,100,no,19,0
BEL,BelgiumCoast,AJJCD78,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF500,Motile,DMSO,500,no,19,0
BEL,BelgiumCoast,AJJCD78,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40,Sessile,DMSO,40,no,19,0
BEL,BelgiumCoast,AJJCD89,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,Motile,DMSO,100,no,19,0
BEL,BelgiumCoast,AJJCD89,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,Motile,DMSO,500,no,19,0
BEL,BelgiumCoast,AJJCD89,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40,Sessile,DMSO,40,no,19,0
BEL,BelgiumCoast,AZBE1,2019-09-24,2020-03-03,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100,Motile,DMSO,100,no,39,4
BEL,BelgiumCoast,AZBE1,2019-09-24,2020-03-03,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,Motile,DMSO,500,no,39,6
BEL,BelgiumCoast,AZBE1,2019-09-24,2020-03-03,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40,Sessile,DMSO,40,no,39,6
BEL,BelgiumCoast,AZFPin,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH,Motile,EtOH,200,no,294,4
BEL,BelgiumCoast,AZFPin,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH,Motile,EtOH,500,no,294,6
BEL,BelgiumCoast,BirkenfelsA,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF100,Motile,DMSO,100,no,19,0
BEL,BelgiumCoast,BirkenfelsA,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF500,Motile,DMSO,500,no,19,0
