Altantic coast (Norway),NOR,Bodo,GStraB,67.24035,14.711733,2,GStra,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs,"The ARMS is deployed in a shallow inlet (2-3 m) with mixed sediments, boulders and rocky bottom called Godøystraumen. Kelp and maerl are the main habitat forming species in the vicinity. The site is located in and MPA established in 2014. GStraB is situated on boulders in the vicinity of narrowing with strong tidal currents. Both ARMS (GStraM and GStraB) are situated within a radius of 50 m.  ",,
Altantic coast (Norway),NOR,Bodo,GStraM,67.240217,14.711533,2,GStra,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"The ARMS are deployed in a shallow inlet (2-3 m) with mixed sediments, boulders and rocky bottom called Godøystraumen. Kelp and maerl are the main habitat forming species in the vicinity. The site is located in and MPA established in 2014. The site GStraM is situated on sandy bottom with maerl nodules loosely occurring in the vicinity. Both ARMS (GStraM and GStraB are situated within a radius of 50 m.  ",,
Antarctica (UK),GBR,Rothera,Cheshire1,-67.5738333,-68.1252333,20,none,LTER site,LHI (Low human influence),,,,
Antarctica (UK),GBR,Rothera,HangarCove1,-67.5641667,-68.1249667,12,HangarCove,LTER site,LHI (Low human influence),,,,
Antarctica (UK),GBR,Rothera,HangarCove2,-67.5641667,-68.1249667,12,HangarCove,LTER site,LHI (Low human influence),,,,
Antarctica (UK),GBR,Rothera,HangarCove3,-67.5641667,-68.1249667,12,HangarCove,LTER site,LHI (Low human influence),,,,
Antarctica (UK),GBR,Rothera,SouthCove1,-67.575,-68.1346667,21,none,LTER site,LHI (Low human influence),,, ,
Atlantic coast (Ireland),IRL,Galway,Gurr1,53.315693,-9.670278,6.6,Gurr,SAC,protected,,,true replicates in space and time as all were sampled with 48 hours of each other on every deployment,
Atlantic coast (Ireland),IRL,Galway,Gurr2,53.315675,-9.668541,6.2,Gurr,SAC,protected,,,true replicates in space and time as all were sampled with 48 hours of each other on every deployment,
Atlantic coast (Ireland),IRL,Galway,Gurr3,53.315443,-9.671564,7.2,Gurr,SAC,protected,,,true replicates in space and time as all were sampled with 48 hours of each other on every deployment,
Atlantic coast (Ireland),IRL,Galway,Gurr4,53.314849,-9.673079,6.4,Gurr,SAC,protected,,,Failed (as of 01-2023),
Atlantic coast (Spain),ESP,Vigo,TorallaA,42.2284,-8.7787,12,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",,
Atlantic coast (Spain),ESP,Vigo,TorallaB,42.2284,-8.7787,12,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",,
Atlantic coast (Spain),ESP,Vigo,TorallaC,42.2284,-8.7787,12,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",,
