Please ignore. Just helpful for HCMR logistics --> Sequenced,Observatory-ID,ARMS-ID,MaterialSample-ID,Event-ID,Deployment Date,Collection Date,Observatory-ID,ARMS-ID,Country,Fraction_Specific,Fraction,Preservative,Filter (micrometer),Crate cover used during retrieval,OriginalSample-ID,gene_COI,COI_demultiplexed,gene_COI_negative_control,gene_ITS,ITS_demultiplexed,gene_ITS_negative_control,gene_18S,18S_demultiplexed,gene_18S_negative_control,initial number of paired-end reads,initial number of paired-end reads,initial number of paired-end reads,Cleaned sequences,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,Open access date
May 2021,BelgiumCoast,AZBE1,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100,ARMS_BelgiumCoast_AZBE1_20190924_20200303,2019-09-24,2020-03-03,BelgiumCoast,AZBE1,Belgium,Motile_100um,Motile,DMSO,100,no,ARMS_VLIZ_ZBE1_20190924-20200303_MT100_A,ERR7125498,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7125496,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
September 2020,BelgiumCoast,AZBE1,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,ARMS_BelgiumCoast_AZBE1_20190924_20200303,2019-09-24,2020-03-03,BelgiumCoast,AZBE1,Belgium,Motile_500um,Motile,DMSO,500,no,ARMS_VLIZ_ZBE1_20190924-20200303_MT500_A,ERR4914228,MiSeq (indices) / cutadapt (primers),ERR4914160,ERR4914229,MiSeq (indices) / cutadapt (primers),ERR4914218,ERR4914227,MiSeq (indices) / cutadapt (primers),ERR4914102,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,BelgiumCoast,AZBE1,ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40,ARMS_BelgiumCoast_AZBE1_20190924_20200303,2019-09-24,2020-03-03,BelgiumCoast,AZBE1,Belgium,Sessile_40um,Sessile,DMSO,40,no,ARMS_VLIZ_ZBE1_20190924-20200303_SF40_A,ERR7125478,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125479,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125477,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,BelgiumCoast,AZFPin,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH,ARMS_BelgiumCoast_AZFPin_20180712_20180818,2018-07-12,2018-08-18,BelgiumCoast,AZFPin,Belgium,Motile_200um,Motile,EtOH,200,no,AZFP2(inside)_2,ERR7125497,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7125495,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
July 2019,BelgiumCoast,AZFPin,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH,ARMS_BelgiumCoast_AZFPin_20180712_20180818,2018-07-12,2018-08-18,BelgiumCoast,AZFPin,Belgium,Motile_500um,Motile,EtOH,500,no,AZFP2(inside)_1,ERR4018736,MiSeq (indices),ERR4018737,ERR4018735,MiSeq (indices),ERR4018475,ERR4605228,MiSeq (indices) / cutadapt (primers),ERR4605902,507911,150943,1365369,,Fail,Fail,Fail,Warn,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Fail,Fail,Fail,2021-05-01
,BelgiumCoast,AJJBC89,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,2021-02-25,2021-08-19,BelgiumCoast,AJJBC89,Belgium,Motile_100um,Motile,DMSO,100,no,ARMS_BelgiumCoast_JJ-BC89_20210225-20210819_MF100_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,AJJBC89,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,2021-02-25,2021-08-19,BelgiumCoast,AJJBC89,Belgium,Motile_500um,Motile,DMSO,500,no,ARMS_BelgiumCoast_JJ-BC89_20210225-20210819_MF500_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,AJJBC89,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_SF40,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,2021-02-25,2021-08-19,BelgiumCoast,AJJBC89,Belgium,Sessile_40um,Sessile,DMSO,40,no,ARMS_BelgiumCoast_JJ-BC89_20210225-20210819_SF40_DMSO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2021,BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100,ARMS_BelgiumCoast_AJJC81_20200506_20201012,2020-05-06,2020-10-12,BelgiumCoast,AJJC81,Belgium,Motile_100um,Motile,DMSO,100,no,ARMS_BelgiumCoast_JJ-C8-1_200506-201012_MF100_DMSO_A,ERR7125481,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125482,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125480,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
April 2021,BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500,ARMS_BelgiumCoast_AJJC81_20200506_20201012,2020-05-06,2020-10-12,BelgiumCoast,AJJC81,Belgium,Motile_500um,Motile,DMSO,500,no,ARMS_BelgiumCoast_JJ-C8-1_200506-201012_MF500_DMSO_A,ERR7125484,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125485,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125483,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
