station,arms_unit,qc_param,qc_flag,plutoF_data,gsheets_data
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH2,"latitude, longitude, depth",pass,,
Koster,VH2,"latitude, longitude, depth",pass,,
Koster,VH2,"latitude, longitude, depth",pass,,
Koster,VH2,"latitude, longitude, depth",pass,,
Roscoff,BasBloS1,"latitude, longitude, depth",pass,,
Roscoff,BasBloS1,"latitude, longitude, depth",pass,,
Roscoff,BasBloS1,"latitude, longitude, depth",pass,,
Roscoff,MarBloR1,"latitude, longitude, depth",pass,,
Roscoff,MarBloR1,"latitude, longitude, depth",pass,,
Roscoff,MarBloR1,"latitude, longitude, depth",pass,,
Roscoff,MarBloR3,"latitude, longitude, depth",pass,,
Roscoff,MarBloR3,"latitude, longitude, depth",pass,,
Roscoff,MarBloR2,"latitude, longitude, depth",pass,,
Roscoff,MarBloR2,"latitude, longitude, depth",pass,,
Roscoff,BasBloS3,"latitude, longitude, depth",pass,,
Roscoff,BasBloS3,"latitude, longitude, depth",pass,,
Roscoff,BasBloS2,"latitude, longitude, depth",pass,,
Roscoff,BasBloS2,"latitude, longitude, depth",pass,,
Plymouth,MBA1,"latitude, longitude, depth",pass,,
Plymouth,MBA1A,"latitude, longitude, depth",pass,,
Plymouth,MBA1A,"latitude, longitude, depth",pass,,
Plymouth,MBA1B,"latitude, longitude, depth",pass,,
Plymouth,MBA1B,"latitude, longitude, depth",pass,,
Plymouth,MBA1C,"latitude, longitude, depth",pass,,
Plymouth,MBA1C,"latitude, longitude, depth",pass,,
TZS,Spikarna,"latitude, longitude, depth",pass,,
TZS,Spikarna,"latitude, longitude, depth",pass,,
TZS,Angbat,"latitude, longitude, depth",pass,,
TZS,Angbat,"latitude, longitude, depth",pass,,
TZS,Kummelkobben,latitude,value is different but not significantly,59.86450000,59.86442
TZS,Kummelkobben,longitude,value is different but not significantly,23.26515000,23.265084
TZS,Kummelkobben,depth,fail,4,6
Svalbard,S2,depth,fail,no measurements,14
Svalbard,S2,"latitude, longitude, depth",pass,,
Svalbard,S2,depth,fail,no measurements,14
Svalbard,S2,"latitude, longitude, depth",pass,,
Svalbard,S1,depth,fail,no measurements,14
Svalbard,S1,"latitude, longitude, depth",pass,,
Svalbard,S1,depth,fail,no measurements,14
Svalbard,S1,"latitude, longitude, depth",pass,,
Svalbard,S1,depth,fail,no measurements,14
