sample,qc_param,qc_flag,plutoF_data,gsheets_data
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100,event_id,fail,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgianCoast_AZBE1_20190924_20200303
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,event_id,fail,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgianCoast_AZBE1_20190924_20200303
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40,event_id,fail,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgianCoast_AZBE1_20190924_20200303
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH,event_id,fail,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgianCoast_AZFPin_20180712_20180818
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH,event_id,fail,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgianCoast_AZFPin_20180712_20180818
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100,arms_id,fail,not found,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500,arms_id,fail,not found,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_SF40,arms_id,fail,not found,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_SF40
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100,arms_id,fail,not found,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500,arms_id,fail,not found,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100,arms_id,fail,not found,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500,arms_id,fail,not found,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100,event_id,pass,,
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500,event_id,pass,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF100,event_id,pass,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF500,event_id,pass,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40,event_id,pass,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,event_id,pass,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,event_id,fail,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ARMS_BelgiumCoast_AJJCD89_20210225_20210819
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,event_id,pass,,
