sample,qc_param,qc_flag,plutoF_data,gsheets_data
ARMS_Koster_VH1_20180418_20190527_MF100,Material_Sample_ID,fail,ARMS_Koster_VH1_20180418_20190527_MF100,ARMS_Koster_VH1_20180418_20190527_MF100_DMSO
ARMS_Koster_VH1_20180418_20190527_MF100,event_id,pass,,
ARMS_Koster_VH1_20180418_20190527_MF500,Material_Sample_ID,fail,ARMS_Koster_VH1_20180418_20190527_MF500,ARMS_Koster_VH1_20180418_20190527_MF500_DMSO
ARMS_Koster_VH1_20180418_20190527_MF500,event_id,pass,,
ARMS_Koster_VH1_20180418_20190527_SF40,Material_Sample_ID,fail,ARMS_Koster_VH1_20180418_20190527_SF40,ARMS_Koster_VH1_20180418_20190527_SF40_DMSO
ARMS_Koster_VH1_20180418_20190527_SF40,event_id,pass,,
ARMS_Koster_VH1_20190527_20200716_MF100,event_id,pass,,
ARMS_Koster_VH1_20190527_20200716_MF100,preservative,not present in plutoF sample id,,
ARMS_Koster_VH1_20190527_20200716_MF100,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_Koster_VH1_20190527_20200716_SF40,event_id,pass,,
ARMS_Koster_VH1_20190527_20200716_SF40,preservative,not present in plutoF sample id,,
ARMS_Koster_VH1_20190527_20200716_SF40,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_Koster_VH1_20190527_20200716_MF500,event_id,pass,,
ARMS_Koster_VH1_20190527_20200716_MF500,preservative,not present in plutoF sample id,,
ARMS_Koster_VH1_20190527_20200716_MF500,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_Koster_VH3_20180418_20190527_MF100,Material_Sample_ID,fail,ARMS_Koster_VH3_20180418_20190527_MF100,ARMS_Koster_VH3_20180418_20190527_MF100_DMSO
ARMS_Koster_VH3_20180418_20190527_MF100,event_id,pass,,
