Event-ID from GS,Deployment Date from GS,Collection Date from GS,Event_id from PlutoF,Date_start from PlutoF,Date_end from PlutoF
ARMS_Koster_VH1_20180418_20190527,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2018-04-18,2019-05-27
ARMS_Koster_VH1_20200716_20210608,2020-07-16,2021-06-08,ARMS_Koster_VH1_20200716_20210608,2020-07-16,2021-06-08
ARMS_Koster_VH1_20190527_20200716,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,2019-05-27,2020-07-16
ARMS_Koster_VH3_20180418_20190527,2018-04-18,2019-05-27,ARMS_Koster_VH3_20180418_20190527,2018-04-18,2019-05-27
ARMS_Koster_VH3_20200716_20210608,2020-07-16,2021-06-08,ARMS_Koster_VH3_20200716_20210608,2020-07-16,2021-06-08
ARMS_Koster_VH3_20190527_20200716,2019-05-27,2020-07-16,ARMS_Koster_VH3_20190527_20200716,2019-05-27,2020-07-16
ARMS_Koster_VH2_20190527_20200716,2019-05-27,2020-07-16,ARMS_Koster_VH2_20190527_20200716,2019-05-27,2020-07-16
ARMS_Koster_VH2_20200716_20210608,2020-07-16,2021-06-08,ARMS_Koster_VH2_20200716_20210608,2020-07-16,2021-06-08
ARMS_Koster_VH2_20180418_20180906,2018-04-18,2018-09-06,ARMS_Koster_VH2_20180418_20180906,2018-04-18,2018-09-06
ARMS_Roscoff_BasBloS1_20180711_20181025,2018-07-11,2018-10-25,ARMS_Roscoff_BasBloS1_20180711_20181025,2018-07-11,2018-10-25
ARMS_Roscoff_BasBloS1_20190612_20200527,2019-06-12,2020-05-27,ARMS_Roscoff_BasBloS1_20190612_20200527,2019-06-12,2020-05-27
missing,missing,missing,ARMS_Roscoff_BasBloS1_20200529_20210518,2020-05-29,2021-05-18
ARMS_Roscoff_MarBloR1_20180709_20181024,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018-07-09,2018-10-24
ARMS_Roscoff_MarBloR1_20190612_20190916,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019-06-12,2019-09-16
missing,missing,missing,ARMS_Roscoff_MarBloR1_20200612_20200908,2020-06-12,2020-09-08
ARMS_Roscoff_MarBloR3_20190612_20190918,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019-06-12,2019-09-18
missing,missing,missing,ARMS_Roscoff_MarBloR3_20200612_20200910,2020-06-12,2020-09-10
