ARMS_unit,Station,QC_comment,QC_param,QC_value_plutoF,QC_value_gsheets
Helsignborg2,SWC,ARMS ID not found in GS,ARMS_ID,Helsignborg2,
RavM2,RavMarina,Observatory not found in GS,Observatory,RavMarina,
RavM3,RavMarina,Observatory not found in GS,Observatory,RavMarina,
RavM1,RavMarina,Observatory not found in GS,Observatory,RavMarina,
HangarCove1,GBR,OK,,,
HangarCove2,GBR,Observatory and ARMS ID found but lat and long are different,Lat_Long,-67.56416666 -68.12496670,-67.5641667 -68.1249667
HangarCove3,GBR,Observatory and ARMS ID found but lat and long are different,Lat_Long,-67.56416666 -68.12496670,-67.5641667 -68.1249667
SouthCove1,GBR,Observatory and ARMS ID found but lat and long are different,Lat_Long,-67.57500000 -68.13466666,-67.575 -68.1346667
Cheshire1,GBR,Observatory and ARMS ID found but lat and long are different,Lat_Long,-67.57383333 -68.12523333,-67.5738333 -68.1252333
MBA1,GBR,OK,,,
MBA2,GBR,OK,,,
MBA1A,GBR,OK,,,
MBA1B,GBR,OK,,,
MBA1C,GBR,OK,,,
MarBloR1,FRA,OK,,,
MarBloR2,FRA,OK,,,
MarBloR3,FRA,OK,,,
BasBloS1,FRA,OK,,,
BasBloS2,FRA,OK,,,
BasBloS3,FRA,OK,,,
TorallaA,ESP,Observatory and ARMS ID found but lat and long are different,Lat_Long,42.23611111 -8.78611111,42.233333 -8.783333
TorallaB,ESP,OK,,,
TorallaC,ESP,Observatory and ARMS ID found but lat and long are different,Lat_Long,42.23400000 -8.78333300,42.233333 -8.783333
Angbat,FIN,OK,,,
Spikarna,FIN,OK,,,
Kummelkobben,FIN,Observatory and ARMS ID found but lat and long are different,Lat_Long,59.86450000 23.26515000,59.86442 23.265084
Fornace,SVN,OK,,,
BojaVida,SVN,OK,,,
LukaKP,SVN,OK,,,
S1,NOR,OK,,,
S2,NOR,OK,,,
S1C,NOR,OK,,,
S1B,NOR,OK,,,
S1A,NOR,OK,,,
GDY1,POL,OK,,,
VH1,SWE,OK,,,
VH2,SWE,OK,,,
VH3,SWE,OK,,,
Preemraff1,SWE,OK,,,
Preemraff2,SWE,OK,,,
Marstrand1,SWE,OK,,,
Marstrand2,SWE,OK,,,
Marstrand3,SWE,OK,,,
Helsingborg1,SWE,OK,,,
Helsingborg2,SWE,ARMS ID not found in PlutoF,ARMS_ID,,Helsingborg2
Varberg1,SWE,OK,,,
Varberg2,SWE,OK,,,
Varberg3,SWE,OK,,,
Gbg1,SWE,OK,,,
Gbg2,SWE,OK,,,
Gbg3,SWE,OK,,,
Gbg4,SWE,OK,,,
Bjorko1,SWE,OK,,,
Hjuvik1,SWE,OK,,,
1HERP,GRC,OK,,,
2UBPC,GRC,OK,,,
NR1,ISR,OK,,,
Katza1,ISR,OK,,,
NR2,ISR,OK,,,
Katza2,ISR,OK,,,
Nuuk1,GRL,Observatory and ARMS ID found but lat and long are different,Lat_Long,64.14000000 -51.39000000,64.1405 -51.3906
Nuuk2,GRL,OK,,,
Nuuk3,GRL,OK,,,
Daneborg1,GRL,Observatory and ARMS ID found but lat or long are SIGNIFICANTLY different,Lat_Long,74.33000000 -20.34000000,74.24005445 -20.33723818
Daneborg2,GRL,Observatory and ARMS ID found but lat or long are SIGNIFICANTLY different,Lat_Long,74.33040000 -20.34040000,74.24005445 -20.33723818
Daneborg3,GRL,Observatory and ARMS ID found but lat or long are SIGNIFICANTLY different,Lat_Long,74.33080000 -20.34080000,74.24005445 -20.33723818
Yellow8,DNK,Observatory and ARMS ID found but lat and long are different,Lat_Long,56.90131667 9.05733333,56.902366 9.055797
Green33,DNK,Observatory and ARMS ID found but lat and long are different,Lat_Long,56.90155000 9.05516667,56.901246 9.058189
Red2,DNK,OK,,,
Laeso1,DNK,OK,,,
Laeso2,DNK,OK,,,
Laeso3,DNK,OK,,,
G1,ESP,OK,,,
G2,ESP,OK,,,
G3,ESP,OK,,,
GStraM,NOR,OK,,,
GStraB,NOR,OK,,,
Gurr1,IRL,OK,,,
Gurr2,IRL,Observatory and ARMS ID found but lat and long are different,Lat_Long,53.31567500 -9.66854100,53.315693 -9.670278
Gurr3,IRL,Observatory and ARMS ID found but lat and long are different,Lat_Long,53.31544300 -9.67156400,53.315693 -9.670278
Gurr4,IRL,OK,,,
SHNP4,DEU,ARMS ID not found in PlutoF,ARMS_ID,,SHNP4
SHNP3,DEU,ARMS ID not found in PlutoF,ARMS_ID,,SHNP3
SHNP2,DEU,ARMS ID not found in PlutoF,ARMS_ID,,SHNP2
SHNP1,DEU,OK,,,
AZFPout,BEL,OK,,,
AZFPin,BEL,OK,,,
AZBE1,BEL,OK,,,
AZBW1,BEL,OK,,,
AJJC81,BEL,Observatory and ARMS ID found but lat and long are different,Lat_Long,51.65335700 2.79178500,51.6533567 2.79178508
AJJC86,BEL,OK,,,
AJJCD78,BEL,Observatory and ARMS ID found but lat and long are different,Lat_Long,51.65271000 2.79757500,51.65374944 2.79602577
AJJCD89,BEL,OK,,,
BirkenfelsA,BEL,OK,,,
BirkenfelsB,BEL,OK,,,
CoastbustersA,BEL,Observatory and ARMS ID found but lat and long are different,Lat_Long,51.11529044 2.57995513,51.11485 2.57858333
AJJBC89,BEL,OK,,,
CPowerA,BEL,OK,,,
CPowerB,BEL,OK,,,
CPowerC,BEL,OK,,,
RavH3,ITA,OK,,,
RavH2,ITA,OK,,,
RavH1,ITA,OK,,,
RavM2,ITA,Observatory not found in PlutoF,Observatory,,ITA
RavM3,ITA,Observatory not found in PlutoF,Observatory,,ITA
RavM1,ITA,Observatory not found in PlutoF,Observatory,,ITA
Ven1,ITA,Observatory and ARMS ID found but lat and long are different,Lat_Long,45.31666700 12.50000000,45.314167 12.508333
Ven2,ITA,Observatory and ARMS ID found but lat and long are different,Lat_Long,45.31666700 12.50000000,45.314167 12.508333
Ven3,ITA,Observatory and ARMS ID found but lat and long are different,Lat_Long,45.31666700 12.50000000,45.314167 12.508333
