Station,Country,ARMS_unit,Latitude,Longitude,Depth,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Koster,Sweden,VH1,58.87515500,11.10319400,24,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,3,0,1329,117,2019-09-08,2020-05-25
Koster,Sweden,VH1,58.87515500,11.10319400,24,2020-07-16,2021-06-08,ARMS_Koster_VH1_20200716_20210608,0,0,0,19,2020-12-17,2021-06-09
Koster,Sweden,VH1,58.87515500,11.10319400,24,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,3,11,580,36,2019-09-08,2021-12-09
Koster,Sweden,VH3,58.85987700,11.08049100,25,2018-04-18,2019-05-27,ARMS_Koster_VH3_20180418_20190527,2,0,494,109,2019-09-08,2020-05-25
Koster,Sweden,VH3,58.85987700,11.08049100,25,2020-07-16,2021-06-08,ARMS_Koster_VH3_20200716_20210608,0,0,0,24,2020-12-17,2021-06-09
Koster,Sweden,VH3,58.85987700,11.08049100,25,2019-05-27,2020-07-16,ARMS_Koster_VH3_20190527_20200716,3,0,398,31,2019-09-08,2020-12-18
Koster,Sweden,VH2,58.87633000,11.11188400,22,2019-05-27,2020-07-16,ARMS_Koster_VH2_20190527_20200716,3,0,651,27,2019-09-06,2020-12-18
Koster,Sweden,VH2,58.87633000,11.11188400,22,2020-07-16,2021-06-08,ARMS_Koster_VH2_20200716_20210608,0,0,0,23,2020-12-17,2021-11-17
Koster,Sweden,VH2,58.87633000,11.11188400,22,2018-04-18,2018-09-06,ARMS_Koster_VH2_20180418_20180906,5,0,510,76,2019-09-03,2022-09-29
Koster,Sweden,Stromstad,58.87633000,11.11188400,22,2018-04-18,2018-09-06,ARMS_Koster_Stromstad_20180418_20180906,1,0,341,0,2021-04-28,2021-04-29
Roscoff,France,BasBloS1,48.72872000,-3.95894000,12,2018-07-11,2018-10-25,ARMS_Roscoff_BasBloS1_20180711_20181025,0,0,0,0,2019-11-05,2019-12-04
Roscoff,France,BasBloS1,48.72872000,-3.95894000,12,2019-06-12,2020-05-27,ARMS_Roscoff_BasBloS1_20190612_20200527,0,0,0,0,2019-11-05,2020-12-15
Roscoff,France,BasBloS1,48.72872000,-3.95894000,12,2020-05-29,2021-05,ARMS_Roscoff_BasBloS1_20200529_00000000,0,0,0,0,2020-12-15,2020-12-15
Roscoff,France,MarBloR1,48.71751000,-3.96649000,1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,0,0,0,18,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,48.71751000,-3.96649000,1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,0,0,0,18,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,48.71751000,-3.96649000,1,2020-06-12,2020-09-08,ARMS_Roscoff_MarBloR1_20200612_20200908,0,0,0,0,2020-12-15,2020-12-15
Roscoff,France,MarBloR3,48.71751000,-3.96649000,1,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,0,0,0,18,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,48.71751000,-3.96649000,1,2020-06-12,2020-09-10,ARMS_Roscoff_MarBloR3_20200612_20200910,0,0,0,0,2020-12-15,2020-12-15
Roscoff,France,MarBloR2,48.71751000,-3.96649000,1,2019-06-12,2019-09-17,ARMS_Roscoff_MarBloR2_20190612_20190917,0,0,0,18,2019-11-25,2019-12-04
Roscoff,France,MarBloR2,48.71751000,-3.96649000,1,2020-06-12,2020-09-09,ARMS_Roscoff_MarBloR2_20200612_20200909,0,0,0,0,2020-12-15,2020-12-15
Roscoff,France,BasBloS3,48.72872000,-3.95894000,12,2019-06-12,2020-05-29,ARMS_Roscoff_BasBloS3_20190612_20200529,0,0,0,0,2019-11-25,2020-12-15
Roscoff,France,BasBloS3,48.72872000,-3.95894000,12,2020-05-29,2021-05,ARMS_Roscoff_BasBloS3_20200529_00000000,0,0,0,0,2020-12-15,2020-12-15
Roscoff,France,BasBloS2,48.72872000,-3.95894000,12,2020-05-29,2021-05,ARMS_Roscoff_BasBloS2_20200529_00000000,0,0,0,0,2020-12-15,2020-12-15
Roscoff,France,BasBloS2,48.72872000,-3.95894000,12,2019-06-12,2020-05-28,ARMS_Roscoff_BasBloS2_20190612_20200528,0,0,0,0,2019-11-25,2020-12-15
Plymouth,United Kingdom,MBA1,50.35013400,-4.15916700,10.1,2018-07-01,2018-10-01,ARMS_Plymouth_MBA1_20180701_20181001,0,0,0,27,2019-11-05,2022-01-24
Plymouth,United Kingdom,MBA2,50.36740000,-4.15520000,1,2018-07-01,2018-10-01,ARMS_Plymouth_MBA2_20180701_20181001,0,0,0,24,2019-11-05,2022-01-24
Plymouth,United Kingdom,MBA1A,50.36730000,-4.15540000,2,2020-07-17,2020-09-21,ARMS_Plymouth_MBA1A_20200717_20200921,0,0,0,17,2020-09-15,2020-12-16
Plymouth,United Kingdom,MBA1A,50.36730000,-4.15540000,2,2019-07-16,2019-09-16,ARMS_Plymouth_MBA1A_20190716_20190916,0,0,0,21,2019-11-22,2022-01-24
Plymouth,United Kingdom,MBA1B,50.36680000,-4.15610000,2,2019-07-16,2019-09-18,ARMS_Plymouth_MBA1B_20190716_20190918,0,0,0,25,2019-11-22,2022-01-24
Plymouth,United Kingdom,MBA1B,50.36680000,-4.15610000,2,2020-07-17,2020-09-22,ARMS_Plymouth_MBA1B_20200717_20200922,0,0,0,18,2020-09-15,2020-12-16
Plymouth,United Kingdom,MBA1C,50.36740000,-4.15440000,2,2020-07-17,2020-09-23,ARMS_Plymouth_MBA1C_20200717_20200923,0,0,0,18,2020-09-15,2020-12-16
Plymouth,United Kingdom,MBA1C,50.36740000,-4.15440000,2,2019-07-16,2019-09-20,ARMS_Plymouth_MBA1C_20190716_20190920,0,0,0,24,2019-11-22,2022-01-24
TZS,Finland,Spikarna,59.81094000,23.20621600,3,2020-06-08,2020-11-18,ARMS_TZS_Spikarna_20200608_20201118,0,0,0,114,2020-11-27,2021-01-13
TZS,Finland,Spikarna,59.81094000,23.20621600,3,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107,0,0,0,111,2019-11-11,2020-12-19
TZS,Finland,Angbat,59.84150500,23.24887900,4,2020-06-08,2020-11-17,ARMS_TZS_Angbat_20200608_20201117,0,0,0,109,2020-11-27,2021-01-13
TZS,Finland,Angbat,59.84150500,23.24887900,4,2018-07-11,2018-11-06,ARMS_TZS_Angbat_20180711_20181106,0,0,0,105,2019-11-11,2020-12-19
TZS,Finland,Kummelkobben,59.86450000,23.26515000,4,2020-06-08,2020-11-20,ARMS_TZS_Kummelkobben_20200608_20201120,0,0,0,107,2020-11-30,2022-01-24
Svalbard,Norway,S2,78.18833333,15.14472222,no measurements,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,0,0,0,194,2019-11-11,2021-11-26
Svalbard,Norway,S2,78.18833333,15.14472222,no measurements,2019-08-05,2020-08-01,ARMS_Svalbard_S2_20190805_20200801,0,0,0,294,2019-11-11,2021-12-02
Svalbard,Norway,S1,78.21302778,15.23361111,no measurements,2020-08-05,2021-08,ARMS_Svalbard_S1_20200805_00000000,0,0,0,0,2020-12-16,2020-12-16
Svalbard,Norway,S1,78.21302778,15.23361111,no measurements,2019-08-06,2020-08-04,ARMS_Svalbard_S1_20190806_20200804,0,0,0,321,2019-11-11,2021-12-06
Svalbard,Norway,S1,78.21302778,15.23361111,no measurements,2018-07-06,2019-08-06,ARMS_Svalbard_S1_20180706_20190806,0,0,0,197,2019-11-11,2021-11-26
Svalbard,Norway,S1A,78.21302778,15.23361111,14,2020-08-04,2022-08,ARMS_Svalbard_S1A_20200804_00000000,0,0,0,0,2020-09-12,2021-12-17
Svalbard,Norway,S1B,78.21302778,15.23361111,14,2020-08-04,2022-08,ARMS_Svalbard_S1B_20200804_00000000,0,0,0,0,2020-09-12,2021-12-17
Svalbard,Norway,S1C,78.21302778,15.23361111,14,2020-08-04,2022-08,ARMS_Svalbard_S1C_20200804_00000000,0,0,0,0,2020-09-12,2021-12-17
Rothera,Antarctica,SouthCove1,-67.57500000,-68.13466666,21,2019-08-29,2021-01,ARMS_Rothera_SouthCove1_20190829_00000000,0,0,0,0,2019-11-11,2020-04-27
Rothera,Antarctica,HangarCove2,-67.56416666,-68.12496670,13,2019-07-08,2021-01,ARMS_Rothera_HangarCove2_20190708_00000000,0,0,0,0,2019-11-11,2020-04-27
Rothera,Antarctica,HangarCove1,-67.56416670,-68.12496670,13,2019-07-08,2021-01,ARMS_Rothera_HangarCove1_20190708_00000000,0,0,0,5,2019-11-11,2020-04-27
Rothera,Antarctica,Cheshire1,-67.57383333,-68.12523333,20,2019-12-10,2021-01,ARMS_Rothera_Cheshire1_20191210_00000000,0,0,0,0,2019-11-11,2020-04-27
Rothera,Antarctica,HangarCove3,-67.56416666,-68.12496670,13,2019-07-08,2021-01,ARMS_Rothera_HangarCove3_20190708_00000000,0,0,0,0,2019-11-11,2020-04-27
BelgiumCoast,Belgium,AZFPout,51.68821000,2.84921000,38,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,0,0,0,124,2019-11-11,2022-09-29
BelgiumCoast,Belgium,AZBW1,51.36290600,3.18363400,12,2019-09-24,2020-03-03,ARMS_BelgiumCoast_AZBW1_20190924_20200303,0,0,0,1,2020-05-12,2022-03-25
BelgiumCoast,Belgium,AJJC81,51.65335700,2.79178500,38,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC81_20200506_20201012,0,0,0,37,2020-09-25,2022-09-28
BelgiumCoast,Belgium,AJJC86,51.65264000,2.79369998,37,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC86_20200506_20201012,0,0,0,35,2020-09-25,2022-09-28
BelgiumCoast,Belgium,AZBE1,51.36429800,3.20701000,7,2019-09-24,2020-03-03,ARMS_BelgiumCoast_AZBE1_20190924_20200303,0,0,0,39,2020-05-12,2022-09-28
BelgiumCoast,Belgium,AJJCD78,51.65271000,2.79757500,38,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,0,0,0,37,2020-09-25,2022-09-29
BelgiumCoast,Belgium,AJJCD78,51.65271000,2.79757500,38,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,0,0,0,19,2021-09-01,2022-09-29
BelgiumCoast,Belgium,AJJCD89,51.64505000,2.79307400,no measurements,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,0,0,0,19,2021-09-01,2022-09-28
BelgiumCoast,Belgium,AJJBC89,51.64971000,2.78937400,no measurements,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,0,0,0,19,2021-09-01,2022-09-28
BelgiumCoast,Belgium,AZFPin,51.66522000,2.82558000,37.5,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPin_20180712_20180818,0,0,0,293,2019-11-11,2022-09-14
BelgiumCoast,Belgium,BirkenfelsB,51.64816667,2.53583333,38.81,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,0,0,0,36,2021-04-07,2022-09-14
