Station,Country,ARMS_unit,Latitude,Longitude,Depth,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
BelgiumCoast,Belgium,AZFPout,51.68821000,2.84921000,38,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,0,0,0,125,2019-11-11,2022-10-18
BelgiumCoast,Belgium,AZBW1,51.36290600,3.18363400,12,2019-09-24,2020-03-03,ARMS_BelgiumCoast_AZBW1_20190924_20200303,0,0,0,1,2020-05-12,2022-03-25
BelgiumCoast,Belgium,AJJC81,51.65335700,2.79178500,38,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3,0,0,37,2020-09-25,2022-10-18
BelgiumCoast,Belgium,AJJC86,51.65264000,2.79369998,37,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3,0,0,35,2020-09-25,2022-10-18
BelgiumCoast,Belgium,AZBE1,51.36429800,3.20701000,7,2019-09-24,2020-03-03,ARMS_BelgiumCoast_AZBE1_20190924_20200303,3,0,0,39,2020-05-12,2022-09-28
BelgiumCoast,Belgium,AJJCD78,51.65271000,2.79757500,38,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3,0,0,37,2020-09-25,2022-11-04
BelgiumCoast,Belgium,AJJCD78,51.65271000,2.79757500,38,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,3,0,0,19,2021-09-01,2022-09-29
BelgiumCoast,Belgium,AJJCD89,51.64505000,2.79307400,18.64,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,3,0,0,19,2021-09-01,2022-09-28
BelgiumCoast,Belgium,AJJBC89,51.64971000,2.78937400,20.815624,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,3,0,0,19,2021-09-01,2022-09-28
BelgiumCoast,Belgium,AZFPin,51.66522000,2.82558000,37.5,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPin_20180712_20180818,2,0,0,294,2019-11-11,2022-10-18
BelgiumCoast,Belgium,BirkenfelsB,51.64816667,2.53583333,38.81,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3,0,0,37,2021-04-07,2022-10-21
BelgiumCoast,Belgium,CPowerB,51.57983300,2.99550000,26,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,7,0,0,19,2022-06-28,2022-09-28
BelgiumCoast,Belgium,CPowerA,51.57983300,2.99550000,26,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerA_20210623_20220622,7,0,0,19,2022-06-28,2022-09-28
BelgiumCoast,Belgium,CPowerC,51.57983300,2.99550000,26,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,7,0,0,19,2022-06-28,2022-09-28
BelgiumCoast,Belgium,CoastbustersA,51.11529044,2.57995513,9,2021-04-22,2021-10-08,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,3,0,0,19,2021-10-12,2022-10-21
BelgiumCoast,Belgium,BirkenfelsA,51.64816667,2.53583333,38.81,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,3,0,0,19,2022-10-06,2022-10-18
