Station,Country,ARMS_unit,Latitude,Longitude,Depth,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Crete,Greece,2UBPC,35.34662000,25.27876000,21,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,0,0,0,164,2019-11-11,2022-01-10
Crete,Greece,2UBPC,35.34662000,25.27876000,21,2022-09-01,2023-08,ARMS_Crete_2UBPC_20220901_00000000,0,0,0,0,2022-09-01,2022-09-01
Crete,Greece,2UBPC,35.34662000,25.27876000,21,2022-09-01,2023-08,ARMS_Crete_2UBPC_20220901_00000000,0,0,0,0,2022-09-01,2022-09-01
Crete,Greece,2UBPC,35.34662000,25.27876000,21,2022-09-01,2023-08,ARMS_Crete_2UBPC_20220901_00000000,0,0,0,0,2021-12-03,2022-09-01
Crete,Greece,2UBPC,35.34662000,25.27876000,21,2020-11-20,2022-09-01,ARMS_Crete_2UBPC_20201120_20220901,0,0,0,1,2020-12-16,2022-09-01
Crete,Greece,1HERP,35.34315300,25.13660500,4,2019-06-12,2019-10-11,ARMS_Crete_1HERP_20190612_20191011,0,0,0,156,2019-11-11,2021-11-23
Crete,Greece,1HERP,35.34315300,25.13660500,4,2019-06-12,2020-06-18,ARMS_Crete_1HERP_20190612_20200618,0,0,0,175,2019-11-14,2022-01-10
Crete,Greece,1HERP,35.34315300,25.13660500,4,2020-09-03,2021-06-25,ARMS_Crete_1HERP_20200903_20210625,0,0,0,177,2020-12-16,2022-01-10
Crete,Greece,1HERP,35.34315300,25.13660500,4,2020-09-03,2021-01-22,ARMS_Crete_1HERP_20200903_20210122,0,0,0,163,2020-12-16,2022-01-10
Crete,Greece,1HERP,35.34315300,25.13660500,4,2020-09-03,2021-10-12,ARMS_Crete_1HERP_20200903_20211012,0,0,0,171,2020-12-16,2022-01-10
Crete,Greece,1HERP,35.34315300,25.13660500,4,2018-09-28,2019-01-28,ARMS_Crete_1HERP_20180928_20190128,0,0,0,140,2019-11-11,2021-11-23
Crete,Greece,1HERP,35.34315300,25.13660500,4,2019-06-12,2020-02-10,ARMS_Crete_1HERP_20190612_20200210,0,0,0,157,2019-11-14,2021-11-23
