Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,File_Type,File_Download_URL,created_at,updated_at
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_001.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_006.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_005.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_003.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_002.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_004.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_007.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_008.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_009.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_001.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_002.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_003.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_004.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_005.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_007.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_006.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_008.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_009.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_010.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2B_001.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2B_003.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2B_005.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2B_002.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2B_004.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2B_006.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2B_007.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2B_008.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2B_009.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2T_001.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2B_010.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2T_003.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2T_004.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2T_002.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2T_005.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2T_006.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2T_007.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2T_008.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2T_010.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_2T_009.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_3B_002.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_3B_001.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_3B_003.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_3B_004.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_3B_006.JPG,Image,Closed Access,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_3B_005.JPG,Image,Closed Access,2020-08-04,2020-12-16
