Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,File_Type,File_Download_URL,created_at,updated_at
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Gexto_G2_2019_4B.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Gexto_G2_2019_4T.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Gexto_G2_2019_9B.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Gexto_G2_2019_2B.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Gexto_G2_2019_3T.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Gexto_G2_2019_5B.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Gexto_G2_2019_8B.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Gexto_G2_2019_8T.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Gexto_G2_2019_3B.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Gexto_G2_2019_6B.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Gexto_G2_2019_2T.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Gexto_G2_2019_6T.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Gexto_G2_2019_5T.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,Taxaidentified.xlsx,Application,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,closeup_ARMS_Gexto_G2_2019_2B_2 IMG_3326.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,closeup_ARMS_Gexto_G2_2019_2B_8 IMG_3332.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,closeup_ARMS_Gexto_G2_2019_2B_15 IMG_3339.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,closeup_ARMS_Gexto_G2_2019_3B_4 IMG_3343.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,closeup_ARMS_Gexto_G2_2019_2B_4 IMG_3328.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,closeup_ARMS_Gexto_G2_2019_2B_10 IMG_3334.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,closeup_ARMS_Gexto_G2_2019_3B_9 IMG_3348.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,closeup_ARMS_Gexto_G2_2019_5B_10 IMG_3373.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,closeup_ARMS_Gexto_G2_2019_6B_7 IMG_3385.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,closeup_ARMS_Gexto_G2_2019_7B_1 IMG_3391.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,closeup_ARMS_Gexto_G2_2019_7B_7 IMG_3397.JPG,Image,Closed Access,2019-11-11,2020-12-18
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,closeup_ARMS_Gexto_G2_2019_7B_10 IMG_3400.JPG,Image,Closed Access,2019-11-11,2020-12-18
