Station,Country,ARMS_unit,Latitude,Longitude,Depth,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Koster,Sweden,VH1,58.87515500,11.10319400,24,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,3,0,1329,117,2019-09-08,2020-05-25
Koster,Sweden,VH1,58.87515500,11.10319400,24,2020-07-16,2021-06-08,ARMS_Koster_VH1_20200716_20210608,0,0,0,19,2020-12-17,2021-06-09
Koster,Sweden,VH1,58.87515500,11.10319400,24,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,3,11,580,36,2019-09-08,2021-12-09
Koster,Sweden,VH3,58.85987700,11.08049100,25,2018-04-18,2019-05-27,ARMS_Koster_VH3_20180418_20190527,2,0,494,109,2019-09-08,2020-05-25
Koster,Sweden,VH3,58.85987700,11.08049100,25,2020-07-16,2021-06-08,ARMS_Koster_VH3_20200716_20210608,0,0,0,24,2020-12-17,2021-06-09
Koster,Sweden,VH3,58.85987700,11.08049100,25,2019-05-27,2020-07-16,ARMS_Koster_VH3_20190527_20200716,3,0,398,31,2019-09-08,2020-12-18
Koster,Sweden,VH2,58.87633000,11.11188400,22,2019-05-27,2020-07-16,ARMS_Koster_VH2_20190527_20200716,3,0,651,27,2019-09-06,2020-12-18
Koster,Sweden,VH2,58.87633000,11.11188400,22,2020-07-16,2021-06-08,ARMS_Koster_VH2_20200716_20210608,0,0,0,23,2020-12-17,2021-11-17
Koster,Sweden,VH2,58.87633000,11.11188400,22,2018-04-18,2018-09-06,ARMS_Koster_VH2_20180418_20180906,5,0,510,76,2019-09-03,2022-09-29
Koster,Sweden,Stromstad,58.87633000,11.11188400,22,2018-04-18,2018-09-06,ARMS_Koster_Stromstad_20180418_20180906,1,0,341,0,2021-04-28,2021-04-29
