Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_3T_073.png,3,Top,Image,https://files.plutof.ut.ee/public/orig/68/EA/68EA4892F425EDA22CE3E64E2DC576376C5F9CCEFD80EA369D2F7C04B0A0BE8B.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_6T_079.png,6,Top,Image,https://files.plutof.ut.ee/public/orig/72/9A/729AA4270FE5B83C9F5CA98974D6D372FC17EE44E809FF32D225660A96B421A5.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_8B_082.png,8,Bottom,Image,https://files.plutof.ut.ee/public/orig/57/06/57069D3CB6E29FC34EA8335757B32EEBBB0E141B70D2302A5CBE9A37D188C5A9.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_7B_080.png,7,Bottom,Image,https://files.plutof.ut.ee/public/orig/0C/DD/0CDD3342D3353B51A5027BC21D2E234FBBA8259F2F93138546A1C88DFA75CD50.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_5T_077.png,5,Top,Image,https://files.plutof.ut.ee/public/orig/C5/1B/C51BF01CBE0C6E23E5CE8C9F35141B3B25213E8B3725864C3D0217CEF99D278E.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_6B_078.png,6,Bottom,Image,https://files.plutof.ut.ee/public/orig/82/33/82335C7E1E1001715D4F8CD1E893E39C7EEC8D22F5BB2CFD5179373717008D47.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_2T_071.png,2,Top,Image,https://files.plutof.ut.ee/public/orig/FC/23/FC23E96D8B32F058402357B77A20116602667D07C986E64E671986793C81957A.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_7T_081.png,7,Top,Image,https://files.plutof.ut.ee/public/orig/64/12/64126AACE7C1044FDD1F3AFA279E7C54EBA68DF1139EBD9C47222426EE87D15B.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_5B_076.png,5,Bottom,Image,https://files.plutof.ut.ee/public/orig/76/36/7636FC22CFFE67EC0E61C43417BE1F1F377794C40F6E8751DD3C4F13FBD978E1.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_9T_085.png,9,Top,Image,https://files.plutof.ut.ee/public/orig/8F/78/8F7844EC2EEF6B89F6C2563449E60475933D2DDE271E4B02A0290EA4BC9546FF.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_8T_083.png,8,Top,Image,https://files.plutof.ut.ee/public/orig/B0/34/B0347C2B2A26B8D6C11DEE5376B985C3C8A62D86A85BD06064CE6CBA7890D89E.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_3B_072.png,3,Bottom,Image,https://files.plutof.ut.ee/public/orig/2D/F6/2DF650B64AE82BE803BA1C0B90085312634D6B6A0A4CCF6C706C9ABB1A683367.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_2B_070.png,2,Bottom,Image,https://files.plutof.ut.ee/public/orig/29/1D/291D64CE8A6E500432B6A57B9A6770D31E229ACB632B3681B9FFDAB0853F816D.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_4B_074.png,4,Bottom,Image,https://files.plutof.ut.ee/public/orig/2E/FB/2EFBA15D38BFE6A0A21B6EAED832542B16EC075F60A9D99538BFC9649FBC79C4.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_4T_075.png,4,Top,Image,https://files.plutof.ut.ee/public/orig/65/9F/659F9D59A4D9D7DF67D24AC227E5CC89B31C3F9F31289587119E253EDE6882B9.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_20210422_20210722_IMG_9B_084.png,9,Bottom,Image,https://files.plutof.ut.ee/public/orig/E6/18/E618EE48B0175A19B159DDCA71061AD21C1DE8C46652FD3E9B91DE8C5D90DA50.png,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_210422_210722_IMG_Field_003.JPG,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/B5/BD/B5BD85B60539FC2F6AA11847BA5F07C17311463E5589827B1717DAB4285ED6B2.jpg,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_210422_210722_IMG_Field_004.JPG,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/6C/D4/6CD4B3F9CD0C32EB57340CBD8FCEFCA222B07CDE0AB3716A3B9D013F5CB09470.jpg,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_210422_210722_IMG_Field_002.JPG,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/D0/3A/D03A7595F1ACABD9FC23B02C17414EE1BE4838AE841FC8DEDADF7FC56247B4CB.jpg,2021-04-22,2023-08-06
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,ARMS_RAVM2_210422_210722_IMG_Field_001.JPG,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/A2/14/A214DECDE156F97DA9FACF08C8F21AC9148B19322F330D4D74D9715D797DC03E.jpg,2021-04-22,2023-08-06
