Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Roscoff,France,BasBloS1,2018-07-11,2018-10-25,ARMS_Roscoff_BasBloS1_20180711_20181025,0,0,0,0,2019-11-05,2019-12-04
Roscoff,France,BasBloS1,2019-06-12,2020-05-27,ARMS_Roscoff_BasBloS1_20190612_20200527,0,0,0,0,2019-11-05,2020-12-15
Roscoff,France,BasBloS1,2020-05-29,2021-05,ARMS_Roscoff_BasBloS1_20200529_00000000,0,0,0,0,2020-12-15,2020-12-15
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,0,0,0,18,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,0,0,0,18,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2020-06-12,2020-09-08,ARMS_Roscoff_MarBloR1_20200612_20200908,0,0,0,0,2020-12-15,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,0,0,0,18,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2020-06-12,2020-09-10,ARMS_Roscoff_MarBloR3_20200612_20200910,0,0,0,0,2020-12-15,2020-12-15
Roscoff,France,MarBloR2,2019-06-12,2019-09-17,ARMS_Roscoff_MarBloR2_20190612_20190917,0,0,0,18,2019-11-25,2019-12-04
Roscoff,France,MarBloR2,2020-06-12,2020-09-09,ARMS_Roscoff_MarBloR2_20200612_20200909,0,0,0,0,2020-12-15,2020-12-15
Roscoff,France,BasBloS3,2019-06-12,2020-05-29,ARMS_Roscoff_BasBloS3_20190612_20200529,0,0,0,0,2019-11-25,2020-12-15
Roscoff,France,BasBloS3,2020-05-29,2021-05,ARMS_Roscoff_BasBloS3_20200529_00000000,0,0,0,0,2020-12-15,2020-12-15
Roscoff,France,BasBloS2,2020-05-29,2021-05,ARMS_Roscoff_BasBloS2_20200529_00000000,0,0,0,0,2020-12-15,2020-12-15
Roscoff,France,BasBloS2,2019-06-12,2020-05-28,ARMS_Roscoff_BasBloS2_20190612_20200528,0,0,0,0,2019-11-25,2020-12-15
