Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,File_Type,File_Download_URL,created_at,updated_at
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,ARMS_BAS_SC_190829-220221_8T_5084.JPG,Image,https://files.plutof.ut.ee/public/orig/A3/C9/A3C9BB78D0EEB09376CDABBD45647DF3B9E17CD41B30A484565E76BDE053B1B0.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,ARMS_BAS_SC_190829-220221_1T_5067.JPG,Image,https://files.plutof.ut.ee/public/orig/0C/67/0C67B8204F422A987EE703C05C8D074D37317405F377589BD8C1978C08533F02.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,ARMS_BAS_SC_190829-220221_2T_5070.JPG,Image,https://files.plutof.ut.ee/public/orig/83/E5/83E5776734E9B24DF0D63E5499BFE4FCBDC3C974B9CFA506272317D6449AA008.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,ARMS_BAS_SC_190829-220221_1B_5063.JPG,Image,https://files.plutof.ut.ee/public/orig/45/2F/452FCCE15AB44CF79CD78A78EE9BAE81A2F37BE30E2457CBCF5FA39315FD3181.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,ARMS_BAS_SC_190829-220221_3B_5072.JPG,Image,https://files.plutof.ut.ee/public/orig/48/34/48343D20D9A2E0B6B3A25AC49F4A388540C64402271A0EA0FB47ECCF7943C002.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,ARMS_BAS_SC_190829-220221_2B_5068.JPG,Image,https://files.plutof.ut.ee/public/orig/76/C2/76C24509D7DB75AB84CDE5165CB62E4488D283496AB0CAF03F0267FEEAC77299.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,ARMS_BAS_SC_190829-220221_3T_5073.JPG,Image,https://files.plutof.ut.ee/public/orig/20/E1/20E18E4331F7B35D0655920395C21BF62BFB3832169D9ACBBCC0E4F15E6B3DA9.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,ARMS_BAS_SC_190829-220221_4T_5075.JPG,Image,https://files.plutof.ut.ee/public/orig/CB/FF/CBFF830730A9BA5BAC931C3DDD91D7745409034D74761DCF26A2D80051F8D123.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,ARMS_BAS_SC_190829-220221_4B_5074.JPG,Image,https://files.plutof.ut.ee/public/orig/73/83/73837C409DA8FF8591DF51E02076D1FE1F4F3AC7490059EB22456FF40A5D8920.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,ARMS_BAS_SC_190829-220221_5B_5077.JPG,Image,https://files.plutof.ut.ee/public/orig/B6/30/B630EC328DA4598278D77CB9D6A0FBAFCF44FB05999806E16C9C36F8243FB309.jpg,2019-11-11,2023-02-17
