Material_Sample_ID,Parent_Event_ID,Description,Created_At,Updated_At,Sequences,Associated data
ARMS_SWC_Gbg4_20200206_20200529_MF100,ARMS_SWC_Gbg4_20200206_20200529,,2021-04-30,2021-04-30,181,18
ARMS_SWC_Gbg4_20200206_20200529_MF500,ARMS_SWC_Gbg4_20200206_20200529,,2021-04-30,2021-04-30,53,18
ARMS_SWC_Gbg4_20200206_20200529_SF40,ARMS_SWC_Gbg4_20200206_20200529,,2021-04-30,2021-04-30,179,18
ARMS_SWC_Bjorko1_20200131_20200518_MF100,ARMS_SWC_Bjorko1_20200131_20200518,,2021-04-30,2021-04-30,133,36
ARMS_SWC_Bjorko1_20200131_20200518_SF40,ARMS_SWC_Bjorko1_20200131_20200518,,2021-04-30,2021-04-30,136,36
ARMS_SWC_Bjorko1_20200131_20200518_MF500,ARMS_SWC_Bjorko1_20200131_20200518,,2021-05-14,2021-05-14,26,36
ARMS_SWC_Hjuvik1_20200131_20200518_MF500,ARMS_SWC_Hjuvik1_20200131_20200518,,2021-04-30,2021-04-30,74,28
ARMS_SWC_Hjuvik1_20200131_20200518_MF100,ARMS_SWC_Hjuvik1_20200131_20200518,,2021-04-30,2021-04-30,250,28
ARMS_SWC_Hjuvik1_20200131_20200518_SF40,ARMS_SWC_Hjuvik1_20200131_20200518,,2021-04-30,2021-04-30,172,28
ARMS_SWC_Gbg1_20200206_20200520_MF500,ARMS_SWC_Gbg1_20200206_20200520,,2021-04-30,2021-04-30,326,44
ARMS_SWC_Gbg1_20200206_20200520_SF40,ARMS_SWC_Gbg1_20200206_20200520,,2021-04-30,2021-04-30,247,44
ARMS_SWC_Gbg1_20200206_20200520_MF100,ARMS_SWC_Gbg1_20200206_20200520,,2021-05-14,2021-05-14,76,44
ARMS_SWC_Gbg2_20200206_20200520_MF100,ARMS_SWC_Gbg2_20200206_20200520,,2021-04-30,2021-04-30,168,24
ARMS_SWC_Gbg2_20200206_20200520_SF40,ARMS_SWC_Gbg2_20200206_20200520,,2021-05-14,2021-05-14,128,24
ARMS_SWC_Gbg2_20200206_20200520_MF500,ARMS_SWC_Gbg2_20200206_20200520,,2021-05-18,2021-05-18,31,24
ARMS_SWC_Gbg3_20200206_20200529_MF100,ARMS_SWC_Gbg3_20200206_20200529,,2021-04-30,2021-04-30,282,21
ARMS_SWC_Gbg3_20200206_20200529_MF500,ARMS_SWC_Gbg3_20200206_20200529,,2021-04-30,2021-04-30,233,21
ARMS_SWC_Gbg3_20200206_20200529_SF40,ARMS_SWC_Gbg3_20200206_20200529,,2021-04-30,2021-04-30,183,21
ARMS_SWC_Varberg1_20200213_20200603_MF500,ARMS_SWC_Varberg1_20200213_20200603,,2021-04-30,2021-04-30,71,23
ARMS_SWC_Varberg1_20200213_20200603_SF40,ARMS_SWC_Varberg1_20200213_20200603,,2021-04-30,2021-04-30,253,23
ARMS_SWC_Varberg1_20200213_20200603_MF100,ARMS_SWC_Varberg1_20200213_20200603,,2021-05-14,2021-05-14,89,23
ARMS_SWC_Varberg2_20200213_20200603_MF100,ARMS_SWC_Varberg2_20200213_20200603,,2021-04-30,2021-04-30,252,21
ARMS_SWC_Varberg2_20200213_20200603_MF500,ARMS_SWC_Varberg2_20200213_20200603,,2021-04-30,2021-04-30,191,21
ARMS_SWC_Varberg2_20200213_20200603_SF40,ARMS_SWC_Varberg2_20200213_20200603,,2021-04-30,2021-04-30,130,21
ARMS_SWC_Varberg3_20200213_20200603_MF100,ARMS_SWC_Varberg3_20200213_20200603,,2021-04-30,2021-04-30,244,26
ARMS_SWC_Varberg3_20200213_20200603_MF500,ARMS_SWC_Varberg3_20200213_20200603,,2021-04-30,2021-04-30,235,26
ARMS_SWC_Varberg3_20200213_20200603_SF40,ARMS_SWC_Varberg3_20200213_20200603,,2021-04-30,2021-04-30,163,26
ARMS_SWC_Marstrand2_20200228_20200527_MF500,ARMS_SWC_Marstrand2_20200228_20200527,,2021-04-30,2021-04-30,241,21
ARMS_SWC_Marstrand2_20200228_20200527_MF100,ARMS_SWC_Marstrand2_20200228_20200527,,2021-04-30,2021-04-30,280,21
ARMS_SWC_Marstrand2_20200228_20200527_SF40,ARMS_SWC_Marstrand2_20200228_20200527,,2021-04-30,2021-04-30,93,21
ARMS_SWC_Marstrand3_20200228_20200527_MF100,ARMS_SWC_Marstrand3_20200228_20200527,,2021-04-30,2021-04-30,308,19
ARMS_SWC_Marstrand3_20200228_20200527_MF500,ARMS_SWC_Marstrand3_20200228_20200527,,2021-05-14,2021-05-14,143,19
