Station,Country,ARMS_unit,Latitude,Longitude,Depth_min,Depth_max,Date_start,Date_end,Event_ID,Event_Description,IUCN_Habitat_type,Material Samples,Observations,Sequences,Associated Data,Created,Updated
SWC,Sweden,Gbg4,57.68080500,11.72833100,5,5,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529,ARMS dropped from boat. Seafloor was flat with hard-bottom.,None,3,0,413,18,2020-02-06,2021-12-10
SWC,Sweden,Bjorko1,57.71798400,11.67998900,1.5,1.5,2020-01-31,2020-05-18,ARMS_SWC_Bjorko1_20200131_20200518,The ARMS was hang from the Marina. There was a label attached with telephone number.,None,3,0,295,36,2020-01-31,2021-12-10
SWC,Sweden,Hjuvik1,57.70322100,11.71136300,2,2,2020-01-31,2020-05-18,ARMS_SWC_Hjuvik1_20200131_20200518,The ARMS was hang from the Marina. There was a label attached with telephone number.,None,3,0,496,28,2020-01-31,2021-12-10
SWC,Sweden,Gbg1,57.66480500,11.71473500,5,5,2020-02-06,2020-05-20,ARMS_SWC_Gbg1_20200206_20200520,ARMS dropped from boat. Flat hard botten.,None,3,0,649,44,2020-02-06,2021-12-10
SWC,Sweden,Gbg2,57.66460800,11.73287600,5,5,2020-02-06,2020-05-20,ARMS_SWC_Gbg2_20200206_20200520,ARMS dropped from boat. Flat hard botten.,None,3,0,327,24,2020-02-06,2021-12-10
SWC,Sweden,Gbg3,57.68053300,11.74057800,5,5,2020-02-06,2020-05-29,ARMS_SWC_Gbg3_20200206_20200529,ARMS dropped from boat. Seafloor flat with hard-bottom.,None,3,0,698,21,2020-02-06,2021-12-10
SWC,Sweden,Varberg1,57.11337410,12.22998320,2,2,2020-02-13,2020-06-03,ARMS_SWC_Varberg1_20200213_20200603,the ARMS was hung from a rope in the marina of Varberg.,None,3,0,413,23,2020-02-19,2021-12-10
SWC,Sweden,Varberg2,57.11262780,12.23027320,2,2,2020-02-13,2020-06-03,ARMS_SWC_Varberg2_20200213_20200603,ARMS was placed on a rope hanging from the jetty in Varberg Marina. No crate used when recovering.,None,3,0,573,21,2020-02-19,2021-12-10
SWC,Sweden,Varberg3,57.11070040,12.24397750,2,2,2020-02-13,2020-06-03,ARMS_SWC_Varberg3_20200213_20200603,ARMS was hanging from a rope in Varberg Marina. No crate used for retrieval.,None,3,0,642,26,2020-02-19,2021-12-10
SWC,Sweden,Marstrand2,57.90351200,11.58154800,4,6,2020-02-28,2020-05-27,ARMS_SWC_Marstrand2_20200228_20200527,"Placed from boat, marked with buoy.",None,3,0,614,21,2020-03-03,2021-12-10
SWC,Sweden,Marstrand3,57.88927800,11.58572200,1,2,2020-02-28,2020-05-27,ARMS_SWC_Marstrand3_20200228_20200527,ARMS hung from Jetty at Marstrand Marina. Marked with yellow sign. No crate used when recovering.,None,3,0,651,19,2020-03-03,2021-12-10
SWC,Sweden,Helsingborg1,56.02627200,12.69572800,2,2,2020-03-05,2020-06-04,ARMS_SWC_Helsingborg1_20200305_20200604,Deployed from Marina. No cover crate used whne retrieving.,None,3,0,474,23,2020-03-05,2021-12-10
SWC,Sweden,Helsingborg2,56.01806100,12.70054100,2,2,2020-03-05,2020-06-04,ARMS_SWC_Helsingborg2_20200305_20200604,,None,3,0,594,23,2020-03-05,2021-12-10
SWC,Sweden,Marstrand1,57.91443400,11.59415400,4,6,2020-02-28,2020-05-27,ARMS_SWC_Marstrand1_20200228_20200527,"Placed from boat, marked with Buoy. No cover crate when retrieving.",None,3,0,491,18,2020-03-03,2021-12-10
SWC,Sweden,Preemraff2,58.35405000,11.43394000,3,3,2020-04-01,2020-07-15,ARMS_SWC_Preemraff2_20200401_20200715,Industrial port. No crate used when recovering.,None,3,0,703,21,2020-04-27,2022-09-29
SWC,Sweden,Preemraff1,58.35330000,11.43486000,3,3,2020-04-01,2020-07-15,ARMS_SWC_Preemraff1_20200401_20200715,Preemraff industrial port. No crate used when recovering.,None,3,0,350,19,2020-04-27,2021-12-10
