ARMS_unit,Station,QC_comment,QC_param,QC_value_plutoF,QC_value_gsheets
VH1,Koster,Observatory not found in GS,Observatory,Koster,
VH1,Koster,Observatory not found in GS,Observatory,Koster,
VH1,Koster,Observatory not found in GS,Observatory,Koster,
VH3,Koster,Observatory not found in GS,Observatory,Koster,
VH3,Koster,Observatory not found in GS,Observatory,Koster,
VH3,Koster,Observatory not found in GS,Observatory,Koster,
VH2,Koster,Observatory not found in GS,Observatory,Koster,
VH2,Koster,Observatory not found in GS,Observatory,Koster,
VH2,Koster,Observatory not found in GS,Observatory,Koster,
VH2,Koster,Observatory not found in GS,Observatory,Koster,
BasBloS1,Roscoff,Observatory not found in GS,Observatory,Roscoff,
BasBloS1,Roscoff,Observatory not found in GS,Observatory,Roscoff,
BasBloS1,Roscoff,Observatory not found in GS,Observatory,Roscoff,
MarBloR1,Roscoff,Observatory not found in GS,Observatory,Roscoff,
MarBloR1,Roscoff,Observatory not found in GS,Observatory,Roscoff,
MarBloR1,Roscoff,Observatory not found in GS,Observatory,Roscoff,
MarBloR3,Roscoff,Observatory not found in GS,Observatory,Roscoff,
MarBloR3,Roscoff,Observatory not found in GS,Observatory,Roscoff,
MarBloR2,Roscoff,Observatory not found in GS,Observatory,Roscoff,
MarBloR2,Roscoff,Observatory not found in GS,Observatory,Roscoff,
BasBloS3,Roscoff,Observatory not found in GS,Observatory,Roscoff,
BasBloS3,Roscoff,Observatory not found in GS,Observatory,Roscoff,
BasBloS2,Roscoff,Observatory not found in GS,Observatory,Roscoff,
BasBloS2,Roscoff,Observatory not found in GS,Observatory,Roscoff,
MBA1,Plymouth,Observatory not found in GS,Observatory,Plymouth,
MBA2,Plymouth,Observatory not found in GS,Observatory,Plymouth,
MBA1A,Plymouth,Observatory not found in GS,Observatory,Plymouth,
MBA1A,Plymouth,Observatory not found in GS,Observatory,Plymouth,
MBA1B,Plymouth,Observatory not found in GS,Observatory,Plymouth,
MBA1B,Plymouth,Observatory not found in GS,Observatory,Plymouth,
MBA1C,Plymouth,Observatory not found in GS,Observatory,Plymouth,
MBA1C,Plymouth,Observatory not found in GS,Observatory,Plymouth,
Spikarna,TZS,Observatory not found in GS,Observatory,TZS,
Spikarna,TZS,Observatory not found in GS,Observatory,TZS,
Angbat,TZS,Observatory not found in GS,Observatory,TZS,
Angbat,TZS,Observatory not found in GS,Observatory,TZS,
Kummelkobben,TZS,Observatory not found in GS,Observatory,TZS,
S2,Svalbard,Observatory not found in GS,Observatory,Svalbard,
S2,Svalbard,Observatory not found in GS,Observatory,Svalbard,
S1,Svalbard,Observatory not found in GS,Observatory,Svalbard,
S1,Svalbard,Observatory not found in GS,Observatory,Svalbard,
S1,Svalbard,Observatory not found in GS,Observatory,Svalbard,
S1A,Svalbard,Observatory not found in GS,Observatory,Svalbard,
S1B,Svalbard,Observatory not found in GS,Observatory,Svalbard,
S1C,Svalbard,Observatory not found in GS,Observatory,Svalbard,
SouthCove1,Rothera,Observatory not found in GS,Observatory,Rothera,
HangarCove2,Rothera,Observatory not found in GS,Observatory,Rothera,
HangarCove1,Rothera,Observatory not found in GS,Observatory,Rothera,
Cheshire1,Rothera,Observatory not found in GS,Observatory,Rothera,
HangarCove3,Rothera,Observatory not found in GS,Observatory,Rothera,
AZFPout,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
AZBW1,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
AJJC81,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
AJJC86,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
AZBE1,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
AJJCD78,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
AJJCD78,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
AJJCD89,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
AJJBC89,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
AZFPin,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
BirkenfelsB,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
CPowerB,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
CPowerA,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
CPowerC,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
CoastbustersA,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
BirkenfelsA,BelgiumCoast,Observatory not found in GS,Observatory,BelgiumCoast,
TorallaA,Vigo,Observatory not found in GS,Observatory,Vigo,
TorallaA,Vigo,Observatory not found in GS,Observatory,Vigo,
TorallaA,Vigo,Observatory not found in GS,Observatory,Vigo,
TorallaB,Vigo,Observatory not found in GS,Observatory,Vigo,
TorallaB,Vigo,Observatory not found in GS,Observatory,Vigo,
TorallaC,Vigo,Observatory not found in GS,Observatory,Vigo,
TorallaC,Vigo,Observatory not found in GS,Observatory,Vigo,
NR2,Eilat,Observatory not found in GS,Observatory,Eilat,
NR1,Eilat,Observatory not found in GS,Observatory,Eilat,
NR1,Eilat,Observatory not found in GS,Observatory,Eilat,
NR1,Eilat,Observatory not found in GS,Observatory,Eilat,
Katza2,Eilat,Observatory not found in GS,Observatory,Eilat,
Katza1,Eilat,Observatory not found in GS,Observatory,Eilat,
Fornace,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
Fornace,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
Fornace,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
Fornace,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
LukaKP,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
LukaKP,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
LukaKP,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
LukaKP,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
LukaKP,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
LukaKP,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
BojaVida,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
BojaVida,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
BojaVida,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
BojaVida,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
Nuuk1,Nuuk,Observatory not found in GS,Observatory,Nuuk,
Nuuk2,Nuuk,Observatory not found in GS,Observatory,Nuuk,
Nuuk3,Nuuk,Observatory not found in GS,Observatory,Nuuk,
Daneborg2,Daneborg,Observatory not found in GS,Observatory,Daneborg,
Daneborg3,Daneborg,Observatory not found in GS,Observatory,Daneborg,
Daneborg1,Daneborg,Observatory not found in GS,Observatory,Daneborg,
G2,Getxo,Observatory not found in GS,Observatory,Getxo,
G2,Getxo,Observatory not found in GS,Observatory,Getxo,
G1,Getxo,Observatory not found in GS,Observatory,Getxo,
G1,Getxo,Observatory not found in GS,Observatory,Getxo,
