OTUID,taxonomicClassificationOrig,Domain,Supergroup,Division/Kingdom,Phylum/Class,Level_X,Level_XX,Level_XXX,Level_XXXX,Level_XXXXX,genus_species
Otu163,Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;Saccharomycetales;Galactomyces;Galactomyces (genus);Unknown Galactomyces (genus) species 1,Eukaryota,Opisthokonta,Fungi,Ascomycota,Saccharomycotina,Saccharomycetales,Galactomyces,NA,NA,NA
Otu234,Main genome;Eukaryota;Opisthokonta;Fungi,Eukaryota,Opisthokonta,Fungi,NA,NA,NA,NA,NA,NA,NA
Otu606,Main genome;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,NA,NA,NA,NA
Otu240,Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,NA,NA,NA,NA
Otu98,Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;Saccharomycetales,Eukaryota,Opisthokonta,Fungi,Ascomycota,Saccharomycotina,Saccharomycetales,NA,NA,NA,NA
Otu217,Main genome;Eukaryota;Opisthokonta;Fungi,Eukaryota,Opisthokonta,Fungi,NA,NA,NA,NA,NA,NA,NA
Otu28,Main genome;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Polycladida;Pseudostylochus;Pseudostylochus (genus);Unknown Pseudostylochus (genus) species 1,Eukaryota,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Polycladida,Pseudostylochus,NA,NA,NA
Otu314,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Tisbe;Tisbe (genus);Unknown Tisbe (genus) species 1,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Tisbe,NA,NA,NA
Otu49,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;Hiatella;Hiatella (genus);arctica (Hiatella (genus)),Eukaryota,Opisthokonta,Metazoa,Mollusca,Bivalvia,Heteroconchia,Hiatella,NA,NA,NA
Otu23,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;Thoralus;Unknown Thoralus genus 1,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Malacostraca,Thoralus,NA,NA,NA
Otu63,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Mytiloida,Eukaryota,Opisthokonta,Metazoa,Mollusca,Bivalvia,Mytiloida,NA,NA,NA,NA
Otu37,Main genome;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Goniodomataceae;Alexandrium;Alexandrium (genus),Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,NA,NA,NA
Otu659,Main genome;Eukaryota;Archaeplastida;Streptophyta;Embryophyceae;Embryophyceae (class);X (Embryophyceae (class));Embryophyceae (X (Embryophyceae (class)));XX (Embryophyceae (X (Embryophyceae (class)))),Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,NA,NA,NA,NA,NA,NA
Otu728,Main genome;Eukaryota;Rhizaria;Foraminifera;Monothalamids;Monothalamids (class);X (Monothalamids (class));Monothalamids (X (Monothalamids (class)));XX (Monothalamids (X (Monothalamids (class))));Astrorhiza;Astrorhiza (strain);limicola (Astrorhiza (strain)),Eukaryota,Rhizaria,Foraminifera,Monothalamids,Astrorhiza,NA,NA,NA,NA,NA
Otu972,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Polar-centric-Mediophyceae;Thalassiosira;Thalassiosira (species),Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Polar-centric-Mediophyceae,Thalassiosira,NA,NA,NA,NA
Otu573,Main genome;Eukaryota;Alveolata;Apicomplexa;Coccidiomorphea;Eimeriida;Sarcocystidae;Sarcocystis4;Unknown Sarcocystis4 genus 1,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Eimeriida,Sarcocystidae,Sarcocystis4,NA,NA,NA
Otu985,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Gastropoda,Eukaryota,Opisthokonta,Metazoa,Mollusca,Gastropoda,NA,NA,NA,NA,NA
Otu714,Main genome;Eukaryota;Rhizaria;Foraminifera;Globothalamea;Rotaliida;Unknown Rotaliida order 4,Eukaryota,Rhizaria,Foraminifera,Globothalamea,Rotaliida,NA,NA,NA,NA,NA
Otu828,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Raphid-pennate,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Raphid-pennate,NA,NA,NA,NA,NA
Otu829,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
