OTU,ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1,ARMS_Crete_1HERP_20190612_20200618_MF90_r1,ARMS_Crete_1HERP_20190612_20200618_SF_r1,ARMS_Crete_2UBPC_20190924_20201211_MF500_r1,ARMS_Crete_2UBPC_20190924_20201211_MF90_r1,ARMS_Crete_2UBPC_20190924_20201211_SF_r1,ARMS_Gdynia_GDY1_20190619_20191029_MF500_r1,ARMS_Getxo_G2_20190624_20191016_MF100_r1,ARMS_Laeso_Laeso1_20190819_20200811_MF100_r1,ARMS_Laeso_Laeso1_20190819_20200811_MF500_r1,ARMS_Laeso_Laeso1_20190819_20200811_SF40_r1,ARMS_Laeso_Laeso2_20190819_20200811_MF100_r1,ARMS_Laeso_Laeso2_20190819_20200811_SF40_r1,ARMS_Laeso_Laeso3_20190819_20200811_MF100_r1,ARMS_Laeso_Laeso3_20190819_20200811_MF500_r1,ARMS_Laeso_Laeso3_20190819_20200811_SF40_r1,ARMS_Roscoff_BasBloS1_20190612_20200527_SF40_r1,ARMS_Roscoff_BasBloS2_20190612_20200528_MF100_r1,ARMS_Roscoff_BasBloS2_20190612_20200528_MF500_r1,ARMS_Roscoff_BasBloS3_20190612_20200529_MF100_r1,ARMS_Roscoff_BasBloS3_20190612_20200529_MF500_r1,ARMS_Crete_1HERP_20190612_20191011_MF500_r1,ARMS_Roscoff_BasBloS3_20190612_20200529_SF40_r1,ARMS_Svalbard_S1_20180706_20190806_MF500_ETOH_r1,ARMS_Svalbard_S1_20180706_20190806_SF40_ETOH_r1,ARMS_Svalbard_S1_20190806_20200804_MF100_r1,ARMS_Svalbard_S1_20190806_20200804_MF500_r1,ARMS_Svalbard_S2_20180708_20190805_MF100_ETOH_r1,ARMS_Svalbard_S2_20190805_20200801_SF40_r1,ARMS_Vigo_TorallaA_20190625_20191014_SF40_r1,ARMS_Crete_1HERP_20190612_20191011_MF90_r1,ARMS_Crete_1HERP_20190612_20191011_SF_r1,ARMS_Crete_1HERP_20190612_20200210_MF500_r1,ARMS_Crete_1HERP_20190612_20200210_MF90_r1,ARMS_Crete_1HERP_20190612_20200210_SF_r1,ARMS_Crete_1HERP_20190612_20200618_MF500_r1,Classification,TAXON:NCBI_TAX_ID
Otu184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,165,81,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Paramenophia;NA;NA;NA,Paramenophia:512235
Otu9,0,0,0,0,0,0,6205,0,1039,964,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,17529,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Mytiloida;NA;NA;NA;NA,Mytiloida:6546
Otu251,0,0,0,0,0,0,0,0,0,0,33,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Porosporidae;NA;NA;NA;NA,Porosporidae:947094
Otu227,0,0,0,0,0,0,0,0,5,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae;NA;NA;NA;NA,Noelaerhabdaceae:418966
Otu474,0,0,0,0,2,0,0,0,25,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;NA;NA;NA;NA;NA;NA,Annelida:6340
Otu4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,824,3439,0,25790,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Circeis;spirillum;NA;NA;NA;Circeis_spirillum,Circeis_spirillum:356932
Otu20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,706,0,7570,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Bryozoa;NA;NA;NA;NA;NA;NA,Bryozoa:10205
Otu794,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,13,1,0,Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes;NA;NA;NA;NA,Eurotiomycetes:147545
Otu1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Main genome;Eukaryota;Opisthokonta;Fungi;NA;NA;NA;NA;NA;NA;NA,Fungi:4751
Otu305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,69,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,Crustacea:6657
