ASV_number:amplicon,ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r2,ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_ETOH_r2,ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_ETOH_r2,ARMS_Eilat_Katza1_20181024_20200706_MF500_r2,ARMS_Koster_VH2_20180418_20180906_PS90_ETOH_r2,ARMS_Vigo_TorallaA_20190625_20191014_MF500_r2,ARMS_Vigo_TorallaB_20190625_20191014_MF500_r2,ARMS_Vigo_TorallaC_20190625_20191014_MF500_r2,Classification,TAXON:NCBI_TAX_ID
ASV_45:d0ca22ff2ba8c16a604caee2ecb9d2d632680c15,0,0,0,0,19,0,0,0,Eukaryota;Porifera;Demospongiae;Haplosclerida;Petrosiidae;Petrosia;Petrosia ficiformis,Petrosia ficiformis:68564
ASV_265:a461f08f005f3fe643c139fa6c23c1eb4c6b6be5,0,0,0,0,3,0,0,0,Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Acanthogorgiidae;Calicogorgia;Calicogorgia granulosa,Calicogorgia granulosa:58798
ASV_25:f586bfa158a7c7bcceb715c94129df4a7fc729d5,0,0,0,0,0,0,205,0,Eukaryota;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Thoralus;Thoralus cranchii,Thoralus cranchii:576236
ASV_1:9bd291975fc1962333457f1a6f8b582ae3a72ef5,0,0,0,0,0,3598,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Escharinidae;Chiastosella;Chiastosella watersi,Chiastosella watersi:2138264
ASV_2:c0cb9816365127fb07183d7546bf210b85401044,0,0,0,0,0,0,0,1643,Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Nicolea;Nicolea zostericola,Nicolea zostericola:876016
ASV_6:48d87c2dd218bdb5cd0aa6ae8f5487954e9403b2,0,0,0,0,597,0,0,0,Eukaryota;Arthropoda;Insecta;Lepidoptera;Tineidae;Tinea;Tinea translucens,Tinea translucens:1377499
ASV_7:ea184e4d14108dafe47073b6706f80fbe952951c,1,87,571,0,0,0,0,0,Eukaryota;Arthropoda;Malacostraca;Amphipoda;Aoridae;Microdeutopus;Microdeutopus stationis,Microdeutopus stationis:2717049
ASV_8:5be2c74174a7898b3122cd62773d2849c6361550,594,0,0,0,0,0,0,0,Eukaryota;Rhodophyta;Florideophyceae;Acrochaetiales;Acrochaetiaceae;Acrochaetium;Acrochaetium catenulatum,Acrochaetium catenulatum:1403456
ASV_9:9ad04ff04e174f181877b25085bb7aceaccf6d8a,0,478,129,0,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Obeliidae;Obelia;Obelia dichotoma,Obelia dichotoma:37520
ASV_10:0efa00d015d954278bed28b60188ef1dbb8d955b,0,748,1222,0,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Campanularia;Campanularia hincksii,Campanularia hincksii:314507
ASV_11:4d6fa5e239ac6630cf0823de21e770003f3f747f,0,134,217,0,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Campanularia;Campanularia hincksii,Campanularia hincksii:314507
ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,0,0,0,447,0,0,0,0,Eukaryota;Porifera;Demospongiae;Haplosclerida;Chalinidae;Haliclona;Haliclona elegans,Haliclona elegans:608262
ASV_13:f9ca396b96f82f1d43fb2237bae94a2a63e44c7b,0,0,0,879,0,0,0,0,Eukaryota;Annelida;Polychaeta;Eunicida;Onuphidae;Heptaceras;Heptaceras quinquedens,Heptaceras quinquedens:1551372
ASV_14:deb01c988308bd42cbdecbba9fbd139496762542,0,441,0,0,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Schizoporellidae;Schizoporella;Schizoporella pungens,Schizoporella pungens:2591139
ASV_15:688d5e22286ab575831dfbbf494c633e58aa3e6e,591,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Amphibalanus;Amphibalanus improvisus,Amphibalanus improvisus:1220549
ASV_16:392e5eae7f44c8b08e038a20f32bb177c490fa65,0,0,0,408,0,0,0,0,Eukaryota;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Ganoderma;Ganoderma applanatum,Ganoderma applanatum:29884
ASV_17:3483616e4590d8ce9653da0a15b23b0f6b7bb1af,0,0,0,0,0,422,0,0,Eukaryota;Chlorophyta;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloroparvula;Chloroparvula pacifica,Chloroparvula pacifica:1883388
ASV_18:82ccb4ee01ec7c051c92b69a2f7096b5631397b3,0,59,612,0,0,0,0,0,Eukaryota;Arthropoda;Insecta;Plecoptera;Capniidae;Allocapnia;Allocapnia aurora,Allocapnia aurora:608846
ASV_19:da4f19e78ccf22b72cfec6499f4090c1d41f4205,0,5,0,0,1488,0,0,0,Eukaryota;Mollusca;Gastropoda;Littorinimorpha;Hydrobiidae;Pyrgulopsis;Pyrgulopsis longiglans,Pyrgulopsis longiglans:415746
ASV_20:571d9aed749a1563682d5d75efab347795ea82a3,0,0,0,298,0,0,0,0,Eukaryota;Mollusca;Gastropoda;Neogastropoda;Muricidae;Pascula;Pascula ochrostoma,Pascula ochrostoma:508947
ASV_21:04e0ca68a18da68cb49146851094f177e1cd054b,0,0,0,0,0,239,0,0,Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Dasyaceae;Dasysiphonia;Dasysiphonia japonica,Dasysiphonia japonica:2506492
ASV_22:4afd3190ef5215085f8573f380ef89aca269c0cb,0,79,220,0,0,0,0,0,Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Dasyaceae;Heterosiphonia;Heterosiphonia crispella,Heterosiphonia crispella:997926
ASV_23:248593ecee6aa93701f0040cd09ae73d189ecdc5,0,0,0,0,487,0,0,0,Eukaryota;Mollusca;Gastropoda;Neogastropoda;Drilliidae;Cerodrillia;Cerodrillia cybele,Cerodrillia cybele:1133816
ASV_24:19cfbd6a448305aed7fd4a1e6830032b102a7315,0,86,131,0,0,0,0,0,Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Delesseriaceae;Nienburgia;Nienburgia andersoniana,Nienburgia andersoniana:136793
ASV_26:13368d0f83347bc2ca962261c39c9f255f9d786e,0,27,1,0,0,0,0,195,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Obeliidae;Obelia;Obelia dichotoma,Obelia dichotoma:37520
