ASV_number:amplicon,ARMS_Gdynia_GDY1_20190619_20191029_MF100_r1,ARMS_Gdynia_GDY1_20190619_20191029_SF38_r1,ARMS_Crete_1HERP_20180928_20190128_MF125_DMSO_r1,ARMS_Crete_1HERP_20180928_20190128_MF125_ETOH_r1,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,ARMS_Bodo_GStraB_20190621_20201207_MF500_r1,ARMS_Bodo_GStraM_20190621_20201207_MF100_r1,ARMS_Bodo_GStraM_20190621_20201207_MF500_r1,ARMS_Bodo_GStraM_20190621_20201207_SF50_A_r1,ARMS_Bodo_GStraB_20190621_20201207_SF50_A_r1,ARMS_Vigo_TorallaC_20190625_20191014_SF40_r1,ARMS_Limfjord_Green33_20191029_20201110_MF100_r1,ARMS_Limfjord_Green33_20191029_20201110_MF500_r1,ARMS_Limfjord_Green33_20191029_20201110_SF40_r1,ARMS_Limfjord_Red2_20191029_20201110_MF100_r1,ARMS_Limfjord_Red2_20191029_20201110_MF500_r1,ARMS_Limfjord_Red2_20191029_20201110_SF40_r1,Classification,TAXON:NCBI_TAX_ID
ASV_205:d42cf9850c554b8bd8bf2f4af437e8cdc368bc7b,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Aequoreidae;Aequorea;Aequorea macrodactyla,Aequorea macrodactyla:147615
ASV_251:9ffe9b0fc91331254ae4599bc49f7ace31d3f3c0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Urocaridella;Urocaridella pulchella,Urocaridella pulchella:1428692
ASV_959:5124767bb818184d2e9694009c5aedfcdde6f713,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Porifera;Demospongiae;Haplosclerida;Petrosiidae;Petrosia;Petrosia ficiformis,Petrosia ficiformis:68564
ASV_29:01da636498190abe3e25614d5ac119a468b879f5,0,0,0,0,0,0,0,0,0,0,0,134,2903,0,1518,3178,0,Eukaryota;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Gitana;Gitana sarsi,Gitana sarsi:1732149
ASV_921:22009a056deb55a91f92ef229ba166bafe99bf70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Porifera;Demospongiae;Tetractinellida;Phymaraphiniidae;Exsuperantia;Exsuperantia archipelagus,Exsuperantia archipelagus:2587235
ASV_5:8a6aaec2f0803106613df91ee79911ada3f9cfb4,0,0,0,0,0,0,0,0,0,0,0,538,2228,698,2747,2910,2254,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Obeliidae;Obelia;Obelia longissima,Obelia longissima:32570
ASV_10:681b5b6b78e7b293e4d1232bd6a7d337a7e50c0e,0,0,0,0,0,0,0,0,0,0,0,129,1366,0,297,2342,0,Eukaryota;Arthropoda;Malacostraca;Amphipoda;Ischyroceridae;Jassa;Jassa marmorata,Jassa marmorata:385027
ASV_38:8af3ebccad9f8c542e2f9c45cc6e62b2a832494b,0,0,0,0,0,0,0,0,0,0,0,180,10,115,906,859,144,Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Syllidia;Syllidia armata,Syllidia armata:378361
ASV_490:4f6528f7e0a4d625b6ed21309b2e479ee6a7b2f3,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Benthosema;Benthosema glaciale,Benthosema glaciale:125796
ASV_1210:32e421c101a3739928cbaf808688cc8156da13f4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Eukaryota;Cnidaria;Anthozoa;Actiniaria;Actiniidae;Actinia;Actinia equina,Actinia equina:6106
