ASV_number:amplicon,ARMS_Koster_VH1_20190527_20200716_MF100_r1,ARMS_Koster_VH1_20190527_20200716_MF500_r1,ARMS_Koster_VH1_20190527_20200716_SF40_r1,ARMS_Koster_VH2_20190527_20200716_MF100_r1,ARMS_Koster_VH2_20190527_20200716_MF500_r1,ARMS_Koster_VH2_20190527_20200716_SF40_r1,ARMS_Koster_VH3_20190527_20200716_MF100_r1,ARMS_Koster_VH3_20190527_20200716_MF500_r1,ARMS_Koster_VH3_20190527_20200716_SF40_r1,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500_r1,Classification,TAXON:NCBI_TAX_ID
ASV_1:da3771f112c2da87b4a63a2c751421e7fe71d9d1,1405,2136,3,5,1090,9,8,21,149,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Nereimyra;Nereimyra punctata,Nereimyra punctata:222006
ASV_2:3d03b1987442b1b5ffe823dcb5b6b776dca858a4,1172,120,4596,305,61,986,109,150,2013,0,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Clytiidae;Clytia;Clytia hemisphaerica,Clytia hemisphaerica:252671
ASV_3:db1080e8ce4332d8444e1e822093d53aca10fbcf,0,74,2885,0,0,1,48,537,47,411,Eukaryota;Cnidaria;Anthozoa;Actiniaria;Sagartiidae;Sagartiogeton;Sagartiogeton laceratus,Sagartiogeton laceratus:478420
ASV_4:a2a9940e3c293f7c4e0f287da0c2e83c2f0a5734,119,599,21,79,292,1761,2,4,0,0,Eukaryota;Arthropoda;Malacostraca;Amphipoda;Aoridae;Microdeutopus;Microdeutopus chelifer,Microdeutopus chelifer:1400853
ASV_5:1171821cc76b72a61a1d0d4f6aca44fe7b06c744,3148,0,0,42,0,0,0,0,1,0,Eukaryota;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Onthophagus;Onthophagus bicallosus,Onthophagus bicallosus:1848760
ASV_6:5aa24c412c42ab536efafc23777e0ffedbd3d4c0,2561,307,0,5,0,1,0,4,0,0,Eukaryota;Mollusca;Gastropoda;Stylommatophora;Trochomorphidae;Orpiella;Orpiella concavum,Orpiella concavum:424224
ASV_7:0182c3ba93eb1cb4c90f8a013efa5d9a1883d540,2114,0,0,0,0,0,1,0,0,0,Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Eresia;Eresia phillyra,Eresia phillyra:436423
ASV_8:59880e40fda6a53e7ac7505d46ffa37afced6295,0,0,0,0,0,0,0,0,0,1590,Eukaryota;Annelida;Polychaeta;Phyllodocida;Sigalionidae;Sthenelais;Sthenelais boa,Sthenelais boa:55702
ASV_9:2c8d52aedb27bd57b0140c23ae2546ca5baa534a,373,151,657,76,67,890,3,5,251,5,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Rhombosoleidae;Colistium;Colistium nudipinnis,Colistium nudipinnis:1156758
ASV_10:08d0037a4009afd030251986ed6ba94e9fd1da2e,46,3,602,38,1,906,19,6,1144,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Cribrilinidae;Cribrilina;Cribrilina mutabilis,Cribrilina mutabilis:2865492
ASV_11:0df53f7d4b8f09fc78dd307820b68524ce74b681,0,0,0,0,0,0,0,0,0,1229,Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Cheilonereis;Cheilonereis cyclurus,Cheilonereis cyclurus:868083
ASV_12:b5b2063f2c42386bafef1a100e4fe9d49cca2e5e,797,66,0,12,9,0,1,2,0,0,Eukaryota;Arthropoda;Malacostraca;Decapoda;Galatheidae;Galathea;Galathea punctata,Galathea punctata:1698662
ASV_13:8a6aaec2f0803106613df91ee79911ada3f9cfb4,31,28,950,1,0,60,13,19,113,21,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Obeliidae;Obelia;Obelia longissima,Obelia longissima:32570
ASV_14:36930ac6e030ca9c720fdd3bffbff8bfcc13c9ec,847,0,0,199,0,0,11,0,1,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Psamathe;Psamathe fusca,Psamathe fusca:378372
ASV_15:15e4929c8305101cc64e48e19ddef208af4f3d8b,0,0,0,0,0,0,0,0,0,2561,Eukaryota;Arthropoda;Malacostraca;Amphipoda;Microprotopidae;Microprotopus;Microprotopus maculatus,Microprotopus maculatus:1732157
ASV_16:89fd24de661f80254b12d6718f2c5a727c1336ae,8,821,33,0,0,6,1,1,45,0,Eukaryota;Nematoda;Chromadorea;Rhabditida;Heterakidae;Heterakis;Heterakis dispar,Heterakis dispar:596441
ASV_17:e6a634526c31e5dc2315f278cbea2cc3bcb7a9ee,806,1,0,9,0,0,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Miraciidae;Amphiascopsis;Amphiascopsis cinctus,Amphiascopsis cinctus:2172669
ASV_18:174e6f534b487d9efb982c290a755f48b8bbb04f,0,0,463,19,16,41,0,0,0,0,Eukaryota;Annelida;Polychaeta;Capitellida;Arenicolidae;Arenicola;Arenicola marina,Arenicola marina:6344
ASV_19:37b643de4a639b95542724f5132f8aa556902a62,0,38,1,1,519,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;Harmothoe imbricata,Harmothoe imbricata:61848
ASV_20:2c0f99c41629a9258166da050b5160d2dcccabcf,490,1,3,99,1,14,15,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Calanoida;Centropagidae;Centropages;Centropages hamatus,Centropages hamatus:136183
ASV_21:e3cfb748e26734ea1ff03ccb483218a654b666ad,0,6,1,2,20,535,0,0,2,0,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Balanus;Balanus rostratus,Balanus rostratus:399131
ASV_22:9d5e4d327ac92f1e4cbf73e873da5fe532eabf9f,9,0,89,23,38,340,15,15,44,0,Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae;Bougainvillia;Bougainvillia muscus,Bougainvillia muscus:308567
ASV_23:ca967e8dfabccfdcc990f329de448386060bcf49,11,454,11,5,720,14,4,619,33,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;Harmothoe impar,Harmothoe impar:46595
ASV_24:83960213bb3cebc491fd1f426f69ddb0e0fac3a9,0,0,0,2,248,49,0,39,3,4,Eukaryota;Annelida;Polychaeta;Terebellida;Amphitrite;Amphitrite;Amphitrite figulus,Amphitrite figulus:880430
ASV_25:66924d45ca4f0caebbd6625de277b9981ed062fc,0,0,0,0,0,0,13,361,0,0,Eukaryota;Annelida;Polychaeta;Orbiniidae;Orbiniidae;Scoloplos;Scoloplos armiger,Scoloplos armiger:46605
ASV_26:896435a8c53e7c1baf2bda09fcb2e851589a155a,0,0,0,0,0,0,0,0,0,314,Eukaryota;Annelida;Clitellata;Haplotaxida;Naididae;Tubificoides;Tubificoides benedii,Tubificoides benedii:188241
ASV_27:4f67d6aff19255491572a111bbc49667cde17920,20,0,281,12,3,0,0,0,1,0,Eukaryota;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Marthasterias;Marthasterias glacialis,Marthasterias glacialis:7609
ASV_28:a02d399f1e2a6cabcfcb3b2654af9f804b4e49c4,0,305,0,0,0,0,0,0,0,0,Eukaryota;Echinodermata;Echinoidea;Spatangoida;Spatangidae;Spatangus;Spatangus purpureus,Spatangus purpureus:72725
ASV_29:2dc39a63b311e96d0272653baa8faad3113f68a3,0,0,0,4,0,287,1,0,1,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora membranacea,Membranipora membranacea:95170
ASV_30:cb84ef40b3881a0d096b36c1fb66f5caeb84c1c4,471,0,2,0,0,0,23,0,4,0,Eukaryota;Mollusca;Gastropoda;Nudibranchia;Dendrodorididae;Dendrodoris;Dendrodoris tuberculosa,Dendrodoris tuberculosa:190914
ASV_31:0a6f5322f6213d6cd4380ab86961307eed47e21d,29,5,3,531,0,8,0,0,0,0,Eukaryota;Arthropoda;Insecta;Orthoptera;Tettigoniidae;Anterastes;Anterastes uludaghensis,Anterastes uludaghensis:870442
