Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,ARMS_2UBPC _20190924_20201211_1B_004.jpg,1,Bottom,Image,https://files.plutof.ut.ee/public/orig/75/F5/75F5B115972F60BD5CAECD8B8D71F55B39CB6073F2BCE67E3A9128B1F73D75DF.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,ARMS_2UBPC _20190924_20201211_2?_006.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/FD/C1/FDC15D3EE350B716C62003C51E3BF7F61FDE08A4F2EE88EEC0D8EDEC71931D5A.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,ARMS_2UBPC _20190924_20201211_3?_006.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/04/90/04907B67DD066C52E2E84F724AF02721D3C46A4E54897A28119660D1C9DF35C8.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,ARMS_2UBPC _20190924_20201211_3?_003.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/09/60/0960D666FCC58124DA079E5AB09DD535D0418F311BDB2846D0B17F3F6E2E9523.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,ARMS_2UBPC _20190924_20201211_3?_008.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/23/AD/23AD5A4186C4FFE1363CEB2AAA57DE65619EE876AB2E4329DFF515CBAB7F1DE2.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,ARMS_2UBPC _20190924_20201211_4?_004.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/6E/80/6E80C650D4ACC4A973D5EB2AE55E75F2396844B9A3390B0EFECFE12322B71C01.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,ARMS_2UBPC _20190924_20201211_4?_009.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/49/35/49353CEEF1F7EAE96C99619D7D9E7519A48318DEDDC06E95C4718779482AEA3B.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,ARMS_2UBPC _20190924_20201211_5?_009.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/B8/43/B843ED081FB1C8827CCE52E90585282FAC113E1D6756CB8F581BCEFE076D7590.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,ARMS_2UBPC _20190924_20201211_6?_002.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/B1/76/B1761C8D440220130C9BBA5A4A67F561558BD5B64B321BB420F680E61082BF5B.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,ARMS_2UBPC _20190924_20201211_6?_005.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/8E/59/8E590B53746F945FB86710747E0A92727E2C76ED8857D66D5B18C14D008931D9.jpg,2019-11-11,2022-01-10
