Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5792.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/11/88/118881B1611C3EAE3D077A88FE777376047C156923F03A78A98F6FB34FECC132.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5759.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/DE/CE/DECEA31D988BA4FA5ADE023A8C1436BAAC6F4B5B27AFBCADD06F4AA7BEDF80E2.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5791.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/FF/9B/FF9BB54FB8F47A7D3B2926200830CAB3A9304E50773F4527CE7E48297754F320.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5793.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/21/15/2115C52B727BE85EE37185CB8C25625D194FA3B7F225F92A3DA2A7BF2B462735.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5794.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/F4/26/F426A96832B95ACE816A3A2FF42726004853502A1AF6FA47267997E81B256D1F.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5795.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/58/8E/588E4C798555AEEFD4A76A3FC38D7F2A1EC6DC446C84354B0F0951C13C54108F.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5798.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/D9/86/D986739B9D5367DFBDBB8F04BF5C5A129DD9CB32599A5336C379A2C9F6AD9907.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5796.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/17/D3/17D3300EC692547C73A979FBB91CA98785A9D680B1AFCBABF70AA663493DF7B1.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5797.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/62/61/62617BBAC8541A15FF70F441571426E012A2D758E14082ED8248265DD3A7B760.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5800.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/01/4A/014A7304D0CA262C3BEF11171A5E892140C6A139783F57BE03CDDA01AD1A7855.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5799.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/93/CA/93CA5F764700F453CBAD580C5E1BF1F6C50DCE20DC1EEB0616BC08981EE57017.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5802.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/B3/31/B331D7378F79E0DEDC2A2820F2B6D8DBE2685F4046A1C95861A595891184A1A2.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5801.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/83/15/8315CED0080659DDB547FAC049EE5B8FA2C4304E05C211A2B94DB6EA2818E252.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5804.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/62/E3/62E37BBE8B3D7FCD3CD97F8D52C6C8CDE9F1858963C2BA6E6FD4CBD24D2B84A2.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5803.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/35/7B/357B050054881254034F242106235F007E07BF2A960D4D9B8EF1E6D6F7522156.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5805.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/35/68/3568401BC929E29EF01C76C0C76868C01CFE027D84C7370DC1B0314B9E5ED123.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5806.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/0E/48/0E486733662B75F7A681F6F49BDD3883CA4B7A210BE84549F682974CCD1CEE03.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5807.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/9E/6F/9E6F0DADC1E6C6BDBB954856710DF074503A89C990559273F0E7B8ECF92B8F33.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5809.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/C5/99/C599282A9F01016698905C7A5CED7D8AE30689EBFC1EC3426AE9070EEC03F277.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5808.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/64/3B/643B9C90A572846DB361410CF4B44CD1BC8F5125E0CB13744B002981C3C2CB97.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5810.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/B2/AD/B2AD0481D8A86218C6E9D3061398DB15D136DBBC379CD09E9B8C31EA6D553429.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5812.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/07/19/071996A9F471243245159EE6AB89999B1994C181B5CB3897EF2079DC2815C58F.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5811.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/1A/12/1A12D879D1415BB7E121F42C3EE05EEE5D3B8F5543B802C6ECC8CBD0429991F4.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5813.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/1A/EE/1AEEE79C52A4F6F3B31AED2B881E255FEFFB8240A96159A234772A9DB6E77213.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5814.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/8D/8E/8D8ED38C15DE8F1F7101AEF7DE9114B18E5D2D7AF1BD87E4B2AC9C871D5CF187.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5816.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/07/AD/07AD47AA5FC6F694D3E2F33C4681DF6C3B74D48B5B272F649B5E00199243273A.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5815.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/DB/4E/DB4E54435D4AE59BAFC1D655344F2A6881738AC8C7C976504EB83CE13A2610C9.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5817.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/51/35/513567D0AE216A0D26314E7FCEAE838036AB3F8A2741EBBA23B9A55F12D2C931.jpg,2019-09-08,2020-05-25
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,2019_Koster_VH1_IMG_5818.jpg,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/C7/AB/C7ABA80F5FDE162D5F147F1FBB8CBBCEECCF03CE958B41416A677AEE7DABBF0E.jpg,2019-09-08,2020-05-25
