Sample Region (country),Country ISO3letter code,Observatory-ID (corrected),ARMS-ID (corrected),Latitude,Longitude,Depth (m),Field replicates,Monitoring area,Habitat keywords (env_local),Notes,
Antarctica (UK),GBR,Rothera,HangarCove1,-67.5641667,-68.1249667,12,y; HangarCove,LTER site,,,
Antarctica (UK),GBR,Rothera,HangarCove2,-67.5641667,-68.1249667,12,y; HangarCove,LTER site,,,
Antarctica (UK),GBR,Rothera,HangarCove3,-67.5641667,-68.1249667,12,y; HangarCove,LTER site,,,
Antarctica (UK),GBR,Rothera,SouthCove1,-67.575,-68.1346667,21,,LTER site,,Needs a more precise lat,
Antarctica (UK),GBR,Rothera,Cheshire1,-67.5738333,-68.1252333,20,,LTER site,,,
British channel (UK),GBR,Plymouth,MBA1,50.3674,-4.1552,1,,Marina,,,
British channel (UK),GBR,Plymouth,MBA2,50.350134,-4.159167,10,,Marina,,,
British channel (UK),GBR,Plymouth,MBA1A,50.3673,-4.1554,2,,Marina,,,
British channel (UK),GBR,Plymouth,MBA1B,50.3668,-4.1561,2,,Marina,,,
British channel (UK),GBR,Plymouth,MBA1C,50.3674,-4.1544,2,,Marina,,,
British channel (France),FRA,Roscoff,MarBloR1,48.71751,-3.96649,1,y ; MarBloR,Marina,,,
British channel (France),FRA,Roscoff,MarBloR2,48.71751,-3.96649,1,y ; MarBloR,Marina,,,
British channel (France),FRA,Roscoff,MarBloR3,48.71751,-3.96649,1,y ; MarBloR,Marina,,,
British channel (France),FRA,Roscoff,BasBloS1,48.72872,-3.95894,12,y; BasBloS,MPA,,,
British channel (France),FRA,Roscoff,BasBloS2,48.72872,-3.95894,12,y; BasBloS,MPA,,,
British channel (France),FRA,Roscoff,BasBloS3,48.72872,-3.95894,12,y; BasBloS,MPA,,,
Atlantic coast (Spain),ESP,Vigo,TorallaA,42.233333,-8.783333,12,y; Toralla,Industrial port,,,
Atlantic coast (Spain),ESP,Vigo,TorallaB,42.233333,-8.783333,12,y; Toralla,Industrial port,,,
