EventID,Country,Observatory-ID,ARMS-ID,Latitude,Longitude,Depth (m),Deployment Date,Collection Date,Fraction,Preservative,Filter (micrometer),MaterialSample-ID,OriginalSample-ID,gene_COI,gene_COI_negative_control,gene_ITS,gene_ITS_negative_control,gene_18S,gene_18S_negative_control
ARMS_BelgianCoast_AZBE1_20190924_20200303,Belgium,BelgiumCoast,AZBE1,51.364298,3.20701,7,2019-09-24,2020-03-03,Motile,DMSO,100,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100,ARMS_VLIZ_ZBE1_20190924-20200303_MT100_A,ERR7125498,ERR7125582,no longer provided,no longer provided,ERR7125496,ERR7125581
ARMS_BelgianCoast_AZBE1_20190924_20200303,Belgium,BelgiumCoast,AZBE1,51.364298,3.20701,7,2019-09-24,2020-03-03,Motile,DMSO,500,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,ARMS_VLIZ_ZBE1_20190924-20200303_MT500_A,ERR4914228,ERR4914160,ERR4914229,ERR4914218,ERR4914227,ERR4914102
ARMS_BelgianCoast_AZBE1_20190924_20200303,Belgium,BelgiumCoast,AZBE1,51.364298,3.20701,7,2019-09-24,2020-03-03,Sessile,DMSO,40,ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40,ARMS_VLIZ_ZBE1_20190924-20200303_SF40_A,ERR7125478,ERR7125534,ERR7125479,ERR7125535,ERR7125477,ERR7125533
ARMS_BelgianCoast_AZFPin_20180712_20180818,Belgium,BelgiumCoast,AZFPin,51.66522,2.82558,37,2018-07-12,2018-08-18,Motile,EtOH,200,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH,AZFP2(inside)_2,ERR7125497,ERR7125582,no longer provided,no longer provided,ERR7125495,ERR7125581
ARMS_BelgianCoast_AZFPin_20180712_20180818,Belgium,BelgiumCoast,AZFPin,51.66522,2.82558,37,2018-07-12,2018-08-18,Motile,EtOH,500,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH,AZFP2(inside)_1,ERR4018736,ERR4018737,ERR4018735,ERR4018475,ERR4605228,ERR4605902
ARMS_BelgiumCoast_AJJC81_20200506_20201012,Belgium,BelgiumCoast,AJJC81,51.6533567,2.79178508,38,2020-05-06,2020-10-12,Motile,DMSO,100,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100,ARMS_BelgiumCoast_JJ-C8-1_200506-201012_MF100_DMSO_A,ERR7125481,ERR7125534,ERR7125482,ERR7125535,ERR7125480,ERR7125533
ARMS_BelgiumCoast_AJJC81_20200506_20201012,Belgium,BelgiumCoast,AJJC81,51.6533567,2.79178508,38,2020-05-06,2020-10-12,Motile,DMSO,500,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500,ARMS_BelgiumCoast_JJ-C8-1_200506-201012_MF500_DMSO_A,ERR7125484,ERR7125534,ERR7125485,ERR7125535,ERR7125483,ERR7125533
ARMS_BelgiumCoast_AJJC86_20200506_20201012,Belgium,BelgiumCoast,AJJC86,51.65264,2.79369998,37,2020-05-06,2020-10-12,Motile,DMSO,100,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100,ARMS_BelgiumCoast_JJ-C8-6_200506-201012_MF100_DMSO_A,ERR7125487,ERR7125534,ERR7125488,ERR7125535,ERR7125486,ERR7125533
ARMS_BelgiumCoast_AJJC86_20200506_20201012,Belgium,BelgiumCoast,AJJC86,51.65264,2.79369998,37,2020-05-06,2020-10-12,Motile,DMSO,500,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500,ARMS_BelgiumCoast_JJ-C8-6_200506-201012_MF500_DMSO_A,ERR7125490,ERR7125534,ERR7125491,ERR7125535,ERR7125489,ERR7125533
ARMS_BelgiumCoast_AJJCD78_20200506_20201012,Belgium,BelgiumCoast,AJJCD78,51.65374944,2.79602577,38,2020-05-06,2020-10-12,Motile,DMSO,100,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100,ARMS_BelgiumCoast_JJ-CD78_200506-201012_MF100_DMSO_A,ERR7125493,ERR7125534,ERR7125494,ERR7125535,ERR7125492,ERR7125533
