OTUID,taxonomicClassificationOrig,Domain,Supergroup,Division/Kingdom,Phylum/Class,Level_X,Level_XX,Level_XXX,Level_XXXX,Level_XXXXX,genus_species
Otu184,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Paramenophia;Unknown Paramenophia genus 1,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Paramenophia,NA,NA,NA
Otu9,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Mytiloida,Eukaryota,Opisthokonta,Metazoa,Mollusca,Bivalvia,Mytiloida,NA,NA,NA,NA
Otu251,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Porosporidae;Porosporidae (family);X (Porosporidae (family));Porosporidae (X (Porosporidae (family)));X (Porosporidae (X (Porosporidae (family))));sp. (X (Porosporidae (X (Porosporidae (family))))),Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Porosporidae,NA,NA,NA,NA
Otu227,Main genome;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,NA,NA,NA,NA
Otu474,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida (class);X (Annelida (class));Annelida (X (Annelida (class)));XX (Annelida (X (Annelida (class)))),Eukaryota,Opisthokonta,Metazoa,Annelida,NA,NA,NA,NA,NA,NA
Otu4,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida (class);X (Annelida (class));Annelida (X (Annelida (class)));XX (Annelida (X (Annelida (class))));Circeis;Circeis (strain);spirillum,Eukaryota,Opisthokonta,Metazoa,Annelida,Circeis,spirillum,NA,NA,NA,Circeis_spirillum
Otu20,Main genome;Eukaryota;Opisthokonta;Metazoa;Bryozoa;Bryozoa (class);X (Bryozoa (class));Bryozoa (X (Bryozoa (class)));Unknown Bryozoa (X (Bryozoa (class))) genus 1,Eukaryota,Opisthokonta,Metazoa,Bryozoa,NA,NA,NA,NA,NA,NA
Otu794,Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,NA,NA,NA,NA
Otu1020,Main genome;Eukaryota;Opisthokonta;Fungi,Eukaryota,Opisthokonta,Fungi,NA,NA,NA,NA,NA,NA,NA
Otu305,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Unknown Maxillopoda family 5,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
Otu2226,Main genome;Eukaryota;Opisthokonta;Metazoa;Bryozoa;Bryozoa (class);X (Bryozoa (class));Bryozoa (X (Bryozoa (class)));XX (Bryozoa (X (Bryozoa (class))));Favosipora;Favosipora (strain);rosea,Eukaryota,Opisthokonta,Metazoa,Bryozoa,Favosipora,rosea,NA,NA,NA,Favosipora_rosea
Otu6,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Phaeophyceae;Phaeophyceae (class);X (Phaeophyceae (class));Phaeophyceae (X (Phaeophyceae (class)));XX (Phaeophyceae (X (Phaeophyceae (class))));Ectocarpus;Ectocarpus (strain),Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Ectocarpus,NA,NA,NA,NA,NA
Otu7,Main genome;Eukaryota;Opisthokonta;Metazoa;Bryozoa;Bryozoa (class);X (Bryozoa (class));Bryozoa (X (Bryozoa (class)));XX (Bryozoa (X (Bryozoa (class))));Favosipora;Favosipora (strain);rosea,Eukaryota,Opisthokonta,Metazoa,Bryozoa,Favosipora,rosea,NA,NA,NA,Favosipora_rosea
Otu2,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;Hiatella;Hiatella (genus),Eukaryota,Opisthokonta,Metazoa,Mollusca,Bivalvia,Heteroconchia,Hiatella,NA,NA,NA
Otu24,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Maxillopoda (family);X (Maxillopoda (family));Maxillopoda (X (Maxillopoda (family)));X (Maxillopoda (X (Maxillopoda (family))));sp. (X (Maxillopoda (X (Maxillopoda (family))))),Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
Otu95,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
Otu331,Main genome;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,NA,NA,NA,NA,NA
Otu352,Main genome;Eukaryota;Hacrobia;Centroheliozoa;Centroheliozoa (phylum);X (Centroheliozoa (phylum));Centroheliozoa (X (Centroheliozoa (phylum)));XX (Centroheliozoa (X (Centroheliozoa (phylum))));Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum)))));XXX (Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum))))));Centroheliozoa (XXX (Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum)))))));XXXX (Centroheliozoa (XXX (Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum))))))));Centroheliozoa (XXXX (Centroheliozoa (XXX (Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum)))))))));XXXX (Centroheliozoa (XXXX (Centroheliozoa (XXX (Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum))))))))));sp. (XXXX (Centroheliozoa (XXXX (Centroheliozoa (XXX (Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum))))))))))),Eukaryota,Hacrobia,Centroheliozoa,NA,NA,NA,NA,NA,NA,NA
Otu1219,Main genome;Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Astomatia;Astomatida;Unknown Astomatida family 1,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Astomatia,Astomatida,NA,NA,NA,NA
Otu1218,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Eugregarinorida (order);EUG3;Eugregarinorida (EUG3);EUG3 (Eugregarinorida (EUG3));X (EUG3 (Eugregarinorida (EUG3)));Eugregarinorida (X (EUG3 (Eugregarinorida (EUG3))));EUG3 (Eugregarinorida (X (EUG3 (Eugregarinorida (EUG3)))));X (EUG3 (Eugregarinorida (X (EUG3 (Eugregarinorida (EUG3))))));sp. (X (EUG3 (Eugregarinorida (X (EUG3 (Eugregarinorida (EUG3))))))),Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,EUG3,NA,NA,NA,NA
Otu1217,Main genome;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Euplotia;Aspidiscidae;Aspidisca;Aspidisca (genus);Unknown Aspidisca (genus) species 1,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Euplotia,Aspidiscidae,Aspidisca,NA,NA,NA
Otu1216,Main genome;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Nia;Nia (genus);Unknown Nia (genus) species 1,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Nia,NA,NA,NA
Otu1214,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae (class);X (Dictyochophyceae (class));Pedinellales;Pedinellales (genus);X (Pedinellales (genus));Pedinellales (X (Pedinellales (genus)));X (Pedinellales (X (Pedinellales (genus))));sp. (X (Pedinellales (X (Pedinellales (genus))))),Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Pedinellales,NA,NA,NA,NA,NA
Otu1213,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadales (order);clade;A;Pelagomonadales (A);clade (Pelagomonadales (A));A1;Pelagomonadales (A1);clade (Pelagomonadales (A1));A1 (clade (Pelagomonadales (A1)));sp. (A1 (clade (Pelagomonadales (A1)))),Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Pelagomonadales,Clade,A,A1,NA,NA
Otu1212,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
Otu1211,Main genome;Eukaryota;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachnida;Chlorarachnida (order);X (Chlorarachnida (order));Chlorarachnida (X (Chlorarachnida (order)));XX (Chlorarachnida (X (Chlorarachnida (order))));Chlorarachnida (XX (Chlorarachnida (X (Chlorarachnida (order)))));XX (Chlorarachnida (XX (Chlorarachnida (X (Chlorarachnida (order))))));sp. (XX (Chlorarachnida (XX (Chlorarachnida (X (Chlorarachnida (order))))))),Eukaryota,Rhizaria,Cercozoa,Chlorarachniophyceae,Chlorarachnida,NA,NA,NA,NA,NA
Otu1210,Main genome;Eukaryota;Rhizaria;Cercozoa;Endomyxa;Vampyrellida;Penardia-lineage;Penardia-lineage (family);X (Penardia-lineage (family));Penardia-lineage (X (Penardia-lineage (family)));X (Penardia-lineage (X (Penardia-lineage (family))));sp. (X (Penardia-lineage (X (Penardia-lineage (family))))),Eukaryota,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,Penardia-lineage,NA,NA,NA,NA
Otu1329,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida (class);X (Annelida (class));Annelida (X (Annelida (class)));XX (Annelida (X (Annelida (class))));Pomatostegus;Pomatostegus (strain);stellatus (Pomatostegus (strain)),Eukaryota,Opisthokonta,Metazoa,Annelida,Pomatostegus,NA,NA,NA,NA,NA
Otu1323,Main genome;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Macrostomorpha;Paromalostomum;Unknown Paromalostomum genus 1,Eukaryota,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Macrostomorpha,Paromalostomum,NA,NA,NA
Otu1322,Main genome;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Oblongichytrida;Oblongichytridiaceae;Oblongichytrium;Oblongichytrium (genus);Unknown Oblongichytrium (genus) species 2,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Oblongichytrida,Oblongichytridiaceae,Oblongichytrium,NA,NA,NA
Otu1321,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Protobranchia,Eukaryota,Opisthokonta,Metazoa,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,NA
Otu1320,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Eugregarinorida (order);X (Eugregarinorida (order));Eugregarinorida (X (Eugregarinorida (order)));XX (Eugregarinorida (X (Eugregarinorida (order))));Eugregarinorida (XX (Eugregarinorida (X (Eugregarinorida (order)))));XX (Eugregarinorida (XX (Eugregarinorida (X (Eugregarinorida (order))))));sp. (XX (Eugregarinorida (XX (Eugregarinorida (X (Eugregarinorida (order))))))),Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,NA,NA,NA,NA,NA
Otu1327,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;Unknown Malacostraca family 3,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Malacostraca,NA,NA,NA,NA
