ASV_number:amplicon,ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1,Classification,TAXON:NCBI_TAX_ID
ASV_1:688d5e22286ab575831dfbbf494c633e58aa3e6e,1727,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Amphibalanus;Amphibalanus improvisus,Amphibalanus improvisus:1220549
ASV_2:511c7007a6238c914707d00bf365854f4f131f2a,763,Eukaryota;Arthropoda;Insecta;Diptera;Sepsidae;Nemopoda;Nemopoda mamaevi,Nemopoda mamaevi:1577136
ASV_3:71edd7e83e90fa0a4e77e6ac446429f3dc04d750,422,Eukaryota;Arthropoda;Insecta;Blattodea;Termitidae;Inquilinitermes;Inquilinitermes inquilinus,Inquilinitermes inquilinus:1934498
ASV_4:260d20041453d226d2dbfd84fb50489f70d1bafd,172,Eukaryota;Ectocarpales;Phaeophyceae_16;Ectocarpales;Acinetosporaceae;Pylaiella;Pylaiella washingtoniensis,Pylaiella washingtoniensis:1240995
ASV_5:7bb9a2005c9cb37888b0847a0e9636e34c1de988,21,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula ramosissima,Navicula ramosissima:265559
ASV_6:5c155ca8dc42252a43aa107c89f259d28446a828,12,Eukaryota;Arthropoda;Insecta;Diptera;Limoniidae;Rhipidia;Rhipidia chenwenyoungi,Rhipidia chenwenyoungi:1807360
ASV_7:19c652d6aaac34601e839de593b54ea3822ae6d5,6,Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;Amathia evelinae,Amathia evelinae:1970218
ASV_8:b2ee58bc9603f38862801259724fca49394bbcb0,6,Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Vertebrata;Vertebrata australis,Vertebrata australis:2006943
ASV_9:c2ad690c541a3bbbb46413aafde49a2956885fcf,6,Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Grammonema;Grammonema striatula,Grammonema striatula:33645
ASV_10:7a0f0e9a76ed5d3fa9f765ff8b0140a6d88f9ab3,4,Eukaryota;Discosea;Himatismenida;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium larifeili,Cochliopodium larifeili:1017091
ASV_11:da829038f132c0b5cdf4befab0904ee369561c0c,10,Eukaryota;Cnidaria;Scyphozoa;Semaeostomeae;Ulmaridae;Aurelia;Aurelia aurita,Aurelia aurita:6145
ASV_12:4cba4b01a0b7084e64f4d896c0d825a9b0fef37f,9,Eukaryota;Chlorophyta;Ulvophyceae;Oltmannsiellopsidales;Oltmannsiellopsidaceae;Oltmannsiellopsis;Oltmannsiellopsis viridis,Oltmannsiellopsis viridis:51324
ASV_13:5be2c74174a7898b3122cd62773d2849c6361550,4,Eukaryota;Rhodophyta;Florideophyceae;Acrochaetiales;Acrochaetiaceae;Acrochaetium;Acrochaetium catenulatum,Acrochaetium catenulatum:1403456
