ASV_number:amplicon,ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1,ARMS_Crete_1HERP_20190612_20191011_MF90_r1,ARMS_Crete_1HERP_20190612_20191011_SF_r1,ARMS_Crete_1HERP_20190612_20200210_MF500_r1,ARMS_Crete_1HERP_20190612_20200210_MF90_r1,ARMS_Crete_1HERP_20190612_20200210_SF_r1,ARMS_Crete_1HERP_20190612_20200618_MF500_r1,ARMS_Crete_1HERP_20190612_20200618_MF90_r1,ARMS_Crete_1HERP_20190612_20200618_SF_r1,ARMS_Crete_2UBPC_20190924_20201211_MF500_r1,ARMS_Crete_2UBPC_20190924_20201211_MF90_r1,ARMS_Gdynia_GDY1_20190619_20191029_MF500_r1,ARMS_Getxo_G2_20190624_20191016_MF100_r1,ARMS_Laeso_Laeso1_20190819_20200811_MF100_r1,ARMS_Laeso_Laeso1_20190819_20200811_MF500_r1,ARMS_Laeso_Laeso2_20190819_20200811_MF100_r1,ARMS_Laeso_Laeso2_20190819_20200811_SF40_r1,ARMS_Laeso_Laeso3_20190819_20200811_MF100_r1,ARMS_Laeso_Laeso3_20190819_20200811_MF500_r1,ARMS_Laeso_Laeso3_20190819_20200811_SF40_r1,ARMS_Roscoff_BasBloS1_20190612_20200527_SF40_r1,ARMS_Roscoff_BasBloS2_20190612_20200528_MF100_r1,ARMS_Roscoff_BasBloS2_20190612_20200528_MF500_r1,ARMS_Roscoff_BasBloS3_20190612_20200529_MF100_r1,ARMS_Roscoff_BasBloS3_20190612_20200529_MF500_r1,ARMS_Roscoff_BasBloS3_20190612_20200529_SF40_r1,ARMS_Svalbard_S1_20180706_20190806_MF500_ETOH_r1,ARMS_Svalbard_S1_20190806_20200804_MF100_r1,ARMS_Svalbard_S1_20190806_20200804_MF500_r1,ARMS_Svalbard_S2_20180708_20190805_MF100_ETOH_r1,ARMS_Svalbard_S2_20190805_20200801_SF40_r1,ARMS_Vigo_TorallaA_20190625_20191014_SF40_r1,Classification,TAXON:NCBI_TAX_ID
ASV_1:5bf628ac4fba228a03d81385a0527c21a50fa83c,2076,0,1,0,0,0,0,0,3,0,6,1,2,0,0,0,0,1,0,0,0,0,0,0,1,2,479,0,0,0,0,0,Eukaryota;Cnidaria;Anthozoa;Actiniaria;Sagartiidae;Sagartiogeton;Sagartiogeton laceratus,Sagartiogeton laceratus:478420
ASV_2:9dfab3f1aff702f595e861079c3b68c91fa63e5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2314,6,51,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Insecta;Hemiptera;Reduviidae;Triatoma;Triatoma migrans,Triatoma migrans:2579797
ASV_3:93c5fdaad5693cec585b748a30bd63653471b126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;Harmothoe imbricata,Harmothoe imbricata:61848
ASV_4:c0cb9816365127fb07183d7546bf210b85401044,0,0,1,0,0,0,3,0,3,1,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,5,0,0,0,0,1344,Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Nicolea;Nicolea zostericola,Nicolea zostericola:876016
ASV_5:fae714df998258ca756f8df0c88f7c9e3a2c72f5,1,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376,0,1,Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Alitta;Alitta virens,Alitta virens:880429
ASV_6:8a6aaec2f0803106613df91ee79911ada3f9cfb4,1,1,2,0,0,1,1,0,4,0,5,485,1,0,0,1,0,0,1,0,0,0,0,0,1,2,921,0,0,3,0,4,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Obeliidae;Obelia;Obelia longissima,Obelia longissima:32570
ASV_7:89fd24de661f80254b12d6718f2c5a727c1336ae,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,21,29,28,9,1007,0,0,0,0,0,0,Eukaryota;Nematoda;Chromadorea;Rhabditida;Heterakidae;Heterakis;Heterakis dispar,Heterakis dispar:596441
ASV_8:11adbb3f26d79ae2b0a141384093cae583a682f7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,186,1008,779,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Ostorhinchus;Ostorhinchus selas,Ostorhinchus selas:316374
ASV_9:f2f4ca6c84890f672a89833c2d59c10e999924ed,0,0,0,0,14,0,1,1659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Eukaryota;Chordata;Mammalia;Carnivora;Viverridae;Paradoxurus;Paradoxurus jerdoni,Paradoxurus jerdoni:395009
ASV_10:6cc2219a0f66822b1ada491e96eafd953a0f7269,0,0,0,0,0,1,2,0,2,0,1,1968,0,3,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,27,0,1,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Balanus;Balanus balanus,Balanus balanus:172567
ASV_11:65897e709a3ed11997a45822465a1ee4c75ac797,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,515,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pandeidae;Amphinema;Amphinema dinema,Amphinema dinema:367919
ASV_12:e1025484213fa24992c9f8301ed64d0ef8c6c71b,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,94,0,0,0,0,503,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Gobiusculus;Gobiusculus flavescens,Gobiusculus flavescens:257540
ASV_13:1bf3c61d05a54d0f95fe93c04c10db91258584c2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,702,1,175,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;Harmothoe impar,Harmothoe impar:46595
ASV_14:9f24661b1bcb47021743b3c92c5489575911b5bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,2,0,0,0,0,0,0,Eukaryota;Platyhelminthes;Cestoda;Proteocephalidea;Proteocephalidae;Proteocephalus;Proteocephalus macrocephalus,Proteocephalus macrocephalus:101341
ASV_15:bfb756ceb975cb96def03e2d9e6a4cfa83e667ae,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,16,1,1,0,0,0,0,0,0,0,42,0,0,1,0,614,Eukaryota;Arthropoda;Insecta;Coleoptera;Rhagophthalmidae;Rhagophthalmus;Rhagophthalmus lufengensis,Rhagophthalmus lufengensis:398797
ASV_16:5d6d0a9716f0512f3125184d7b70c572bea27e35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,424,0,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Artacama;Artacama crassa,Artacama crassa:2716576
ASV_17:cbb59af13dd16cc520501efce935d53615db5888,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,687,1,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Mollusca;Gastropoda;Nudibranchia;Onchidorididae;Onchidoris;Onchidoris muricata,Onchidoris muricata:71370
ASV_18:be440871751f66ebc03a4fa1ca7097f63c75ed91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,15,33,0,27,0,0,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia rubriversa,Apolemia rubriversa:1390100
