ASV_number:amplicon,ARMS_Limfjord_Green33_20190618_20191029_MF500_r1,ARMS_Limfjord_Green33_20190618_20191029_SF40_r1,ARMS_Limfjord_Green33_20190618_20191029_MF100_r1,ARMS_Limfjord_Red2_20190618_20191029_MF500_r1,ARMS_Limfjord_Red2_20190618_20191029_SF40_r1,ARMS_Limfjord_Red2_20190618_20191029_MF100_r1,ARMS_Koster_VH1_20180418_20190527_MF500_DMSO_r1,ARMS_Koster_VH1_20180418_20190527_MF100_DMSO_r1,ARMS_Koster_VH1_20180418_20190527_SF40_DMSO_r1,ARMS_Koster_VH3_20180418_20190527_MF500_DMSO_r1,ARMS_Koster_VH3_20180418_20190527_MF100_DMSO_r1,ARMS_Vigo_TorallaA_20190625_20191014_MF100_r1,ARMS_Vigo_TorallaA_20190625_20191014_MF500_r1,ARMS_Vigo_TorallaB_20190625_20191014_MF100_r1,ARMS_Vigo_TorallaB_20190625_20191014_MF500_r1,ARMS_Vigo_TorallaC_20190625_20191014_MF100_r1,ARMS_Vigo_TorallaC_20190625_20191014_MF500_r1,ARMS_Roscoff_MarBloR1_20190612_20190916_MF100_r1,ARMS_Roscoff_MarBloR1_20190612_20190916_MF500_r1,ARMS_Roscoff_MarBloR1_20190612_20190916_SF40_r1,ARMS_Roscoff_MarBloR2_20190612_20190917_MF100_r1,ARMS_Roscoff_MarBloR2_20190612_20190917_MF500_r1,ARMS_Roscoff_MarBloR2_20190612_20190917_SF40_r1,ARMS_Roscoff_MarBloR3_20190612_20190918_MF100_r1,ARMS_Roscoff_MarBloR3_20190612_20190918_MF500_r1,ARMS_Roscoff_MarBloR3_20190612_20190918_SF40_r1,ARMS_Plymouth_MBA1A_20190716_20190916_MF500_r1,ARMS_Plymouth_MBA1A_20190716_20190916_MF100_r1,ARMS_Plymouth_MBA1A_20190716_20190916_SF40_r1,ARMS_Plymouth_MBA1B_20190716_20190918_MF500_r1,ARMS_Plymouth_MBA1B_20190716_20190918_MF100_r1,ARMS_Plymouth_MBA1B_20190716_20190918_SF40_r1,ARMS_Plymouth_MBA1C_20190716_20190920_MF500_r1,ARMS_Plymouth_MBA1C_20190716_20190920_MF100_r1,ARMS_Plymouth_MBA1C_20190716_20190920_SF40_r1,ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1,ARMS_Gdynia_GDY1_20180813_20191029_MF500_DMSO_r1,ARMS_Limfjord_Yellow8_20190618_20191029_MF500_r1,ARMS_Limfjord_Yellow8_20190618_20191029_SF40_r1,ARMS_Limfjord_Yellow8_20190618_20191029_MF100_r1,Classification,TAXON:NCBI_TAX_ID
ASV_4:be77528011edee403786ae573192ebdb4a48c7bf,0,750,4759,0,1675,4982,0,0,0,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,103,4102,Eukaryota;Brachiopoda;Rhynchonellata;Terebratulida;Terebratellidae;Magellania;Magellania joubini,Magellania joubini:147652
ASV_1581:149bd8940656bb55a8127e3299e183b1697df9af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Eukaryota;Mollusca;Bivalvia;Pterioida;Pinnidae;Pinna;Pinna nobilis,Pinna nobilis:111169
ASV_1:ffab918e236857e98739154caf8538595482f479,35,482,218,0,578,13,0,68,0,1219,74,0,0,0,0,0,0,352,2331,0,931,0,13,205,1942,11,4585,444,123,4130,70,467,156,4065,126,0,0,2667,127,909,Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Syllidia;Syllidia armata,Syllidia armata:378361
ASV_2:e496bb322cb02cf8070dbbfee52ac7832a904db7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,72,0,270,0,236,1022,1655,289,0,4,1397,190,4,2462,2,85,6572,0,0,0,0,1,Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botrylloides;Botrylloides diegensis,Botrylloides diegensis:62933
ASV_5:271a9bf13e1023135535399393b0f1efaa0d82b8,0,3,0,0,0,0,5,28,13,10,72,0,0,0,0,0,0,486,37,0,1575,0,660,1257,424,1325,5,103,0,0,19,1,0,41,0,0,0,0,0,2,Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae;Psammoneis;Psammoneis japonica,Psammoneis japonica:517775
ASV_15:44eeddde59f3edf028917d7a91248c170327b920,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,717,0,4,0,45,51,1361,134,0,0,3,0,0,0,145,0,1592,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Eupolymnia;Eupolymnia nebulosa,Eupolymnia nebulosa:13519
ASV_17:ed240b898825ef84219498df0816903d89c92764,0,215,1869,0,54,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila nappae,Drosophila nappae:218700
ASV_21:c2a1a6b8530323c97fa865bb66babab7a9f02883,3,15,1057,0,50,487,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,0,623,3,0,0,1,4,299,Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Hadoa;Hadoa chiricahua,Hadoa chiricahua:1699710
ASV_26:15cd84e08ad8431e5d500d6a17a0cfcafd3fb6ea,0,21,247,0,60,1129,18,29,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,434,Eukaryota;Chordata;Aves;Passeriformes;Ptilonorhynchidae;Sericulus;Sericulus bakeri,Sericulus bakeri:507603
ASV_51:2f0928bba7404e320c0f6e480650d50d927b201f,4,297,17,8,326,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,540,182,Eukaryota;Arthropoda;Malacostraca;Amphipoda;Corophiidae;Monocorophium;Monocorophium insidiosum,Monocorophium insidiosum:1582901
ASV_79:3ffbe7635d12ac42ecf226523ba156b1e8f96e07,0,1,254,0,0,2,12,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Miraciidae;Amphiascopsis;Amphiascopsis cinctus,Amphiascopsis cinctus:2172669
ASV_152:26c53df7ae5874a1a831cf09c89cbed1b62f302a,0,2,3,3,7,12,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,37,8,0,1,3,0,0,3,1,3,Eukaryota;Streptophyta;Magnoliopsida;Geraniales;Geraniaceae;Pelargonium;Pelargonium x hortorum,Pelargonium x hortorum:4031
ASV_197:53926a85f1d86324df1710770e9ab777f10dfe99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,53,0,0,195,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Eukaryota;Arthropoda;Insecta;Coleoptera;Hydroscaphidae;Hydroscapha;Hydroscapha granulum,Hydroscapha granulum:426698
ASV_3:0c6096e374e150b1323ca59287974b2972a3b81e,0,0,0,0,0,0,2130,727,3917,302,13,0,0,0,0,0,34,0,0,0,0,0,4,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Ascidiacea;Phlebobranchia;Ascidiidae;Phallusia;Phallusia ingeria,Phallusia ingeria:286199
ASV_6:f567fda9719fa7e4db7ac356ea8c341801270801,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,4,1,2,1,2098,0,132,706,0,300,3281,3,341,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Platynereis;Platynereis massiliensis,Platynereis massiliensis:1623346
ASV_7:f6542c8ff9b459da6e13eca273c72fa2254b60d2,447,419,12,6724,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,26,Eukaryota;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Thoralus;Thoralus cranchii,Thoralus cranchii:576236
