OTUID,taxonomicClassificationOrig,Domain,Supergroup,Division/Kingdom,Phylum/Class,Level_X,Level_XX,Level_XXX,Level_XXXX,Level_XXXXX,genus_species
Otu27,Main genome;Eukaryota;Opisthokonta;Metazoa;Craniata;Craniata (class);X (Craniata (class));Teleostei,Eukaryota,Opisthokonta,Metazoa,Craniata,Teleostei,NA,NA,NA,NA,NA
Otu223,Main genome;Eukaryota;Opisthokonta;Fungi,Eukaryota,Opisthokonta,Fungi,NA,NA,NA,NA,NA,NA,NA
Otu170,Main genome;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,NA,NA,NA,NA
Otu23,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Maxillopoda (family);X (Maxillopoda (family));Maxillopoda (X (Maxillopoda (family)));X (Maxillopoda (X (Maxillopoda (family))));sp. (X (Maxillopoda (X (Maxillopoda (family))))),Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
Otu3,Main genome;Eukaryota;Opisthokonta;Metazoa;Urochordata;Urochordata (class);X (Urochordata (class));Ascidiacea,Eukaryota,Opisthokonta,Metazoa,Urochordata,Ascidiacea,NA,NA,NA,NA,NA
Otu258,Main genome;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Panellus;Panellus (genus);stypticus,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Panellus,stypticus,NA,Panellus_stypticus
Otu82,Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Dothideomycetes,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,NA,NA,NA,NA
Otu41,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia,Eukaryota,Opisthokonta,Metazoa,Mollusca,Bivalvia,NA,NA,NA,NA,NA
Otu16,Main genome;Eukaryota;Opisthokonta;Metazoa;Unknown Metazoa phylum 2,Eukaryota,Opisthokonta,Metazoa,NA,NA,NA,NA,NA,NA,NA
Otu428,Main genome;Eukaryota;Opisthokonta;Metazoa;Craniata;Craniata (class);X (Craniata (class)),Eukaryota,Opisthokonta,Metazoa,Craniata,NA,NA,NA,NA,NA,NA
Otu14,Main genome;Eukaryota;Opisthokonta;Metazoa;Unknown Metazoa phylum 1,Eukaryota,Opisthokonta,Metazoa,NA,NA,NA,NA,NA,NA,NA
Otu15,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida (class);X (Annelida (class));Unknown X (Annelida (class)) family 1,Eukaryota,Opisthokonta,Metazoa,Annelida,NA,NA,NA,NA,NA,NA
Otu56,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Gastropoda;Heterobranchia,Eukaryota,Opisthokonta,Metazoa,Mollusca,Gastropoda,Heterobranchia,NA,NA,NA,NA
