GS_parameter,GS_sheet,PlutoF_parameter,PlutoF_spreadsheet,Notes
Sample Region (country),ARMS Observatory info,NA,NA,
Country ISO3letter code,ARMS Observatory info,Country,"overview_data, associated_data, observations, sequences","However, in PlutoF it is a full name, in GS it is the ISO 3-letter code"
Observatory-ID (corrected),ARMS Observatory info,Station,"overview_data, associated_data, observations, sequences",
ARMS-ID (corrected),ARMS Observatory info,ARMS_unit,"overview_data, associated_data, observations, sequences",
Latitude,ARMS Observatory info,Latitude,overview_data ,
Longitude,ARMS Observatory info,Longitude,overview_data ,
Depth (m),ARMS Observatory info,Depth,overview_data ,
Field replicates,ARMS Observatory info,NA,NA,
Monitoring area,ARMS Observatory info,NA,NA,
Anthropogenic influence,ARMS Observatory info,NA,NA,
Notes,ARMS Observatory info,NA,NA,
Observatory-ID,ARMS samples+sequences,Station,"overview_data, associated_data, observations, sequences",
MaterialSample-ID,ARMS samples+sequences,Material_Sample_ID,material_samples,
EventID,ARMS samples+sequences,Event_id,"associated_data, observations, sequences",
EventID,ARMS samples+sequences,Event_ID,overview_data,
Deployment Date,ARMS samples+sequences,Date_start,overview_data,
Deployment Date,ARMS samples+sequences,date_start,"observations, sequences",
Collection Date,ARMS samples+sequences,Date_end,overview_data,
Collection Date,ARMS samples+sequences,date_end,"observations, sequences",
Observatory-ID,ARMS samples+sequences,Station,"overview_data, associated_data, observations, sequences",
ARMS-ID,ARMS samples+sequences,ARMS_unit,"overview_data, associated_data, observations, sequences",
Country,ARMS samples+sequences,Country,"overview_data, associated_data, observations, sequences","However, in PlutoF it is a full name, in GS it is the ISO 3-letter code"
Fraction_Specific,ARMS samples+sequences,NA,NA,
Fraction,ARMS samples+sequences,NA,NA,
Preservative,ARMS samples+sequences,NA,NA,
Filter (micrometer),ARMS samples+sequences,NA,NA,
Crate cover used during retrieval,ARMS samples+sequences,NA,NA,
OriginalSample-ID,ARMS samples+sequences,NA,NA,
gene_COI,ARMS samples+sequences,NA,NA,
COI_demultiplexed,ARMS samples+sequences,NA,NA,
gene_COI_negative_control,ARMS samples+sequences,NA,NA,
gene_ITS,ARMS samples+sequences,NA,NA,
ITS_demultiplexed,ARMS samples+sequences,NA,NA,
gene_ITS_negative_control,ARMS samples+sequences,NA,NA,
gene_18S,ARMS samples+sequences,NA,NA,
18S_demultiplexed,ARMS samples+sequences,NA,NA,
gene_18S_negative_control,ARMS samples+sequences,NA,NA,
initial number of paired-end reads,ARMS samples+sequences,NA,NA,
initial number of paired-end reads,ARMS samples+sequences,NA,NA,
initial number of paired-end reads,ARMS samples+sequences,NA,NA,
Cleaned sequences,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
FastQC Report,ARMS samples+sequences,NA,NA,
Open access date,ARMS samples+sequences,NA,NA,
NA,NA,File_Name,associated_data ,
NA,NA,File_Type,associated_data,
NA,NA,File_Download_URL,associated_data,
NA,NA,created_at,"associated_data, observations, sequences, material_samples",
NA,NA,updated_at,"associated_data, observations, sequences, material_samples",
NA,NA,Parent_Event_ID,material_samples,But this is actually the same as EventIDs
NA,NA,Description,material_samples,
NA,NA,Sequences,material_samples,
NA,NA,Associated data,material_samples,
NA,NA,Remarks,observations ,
NA,NA,Is_Varified,observations,Spelling mistake :-)
NA,NA,Taxon_Name,observations,
NA,NA,Material Samples,overview,
NA,NA,Observations,overview,
NA,NA,Sequences,overview,
NA,NA,Associated Data,overview,
NA,NA,Sequence_ID,sequences,
NA,NA,Sequence,sequences,
NA,NA,Chimeric,sequences,
NA,NA,Unite_Status,sequences,
NA,NA,Low_Quality,sequences,
NA,NA,Forward_Primer,sequences,
NA,NA,Reverse_Primer,sequences,
NA,NA,Remarks,sequences,
NA,NA,Regions,sequences,
