Country,ObservatoryID,UnitID,DateDeployed,DateCollected,EventID,MaterialSampleID,FieldReplicate,Fraction,Preservative,SequencingRunRepeat,SequencingRunComment,Filter,CrateCover,Number of images,Sequences available,SampleRep
Belgium,BelgiumCoast,AJJC86,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC86_20200506_20201012,ARMS_BelgiumCoast_AJJC86_20200506_20201012_SF40,Not provided,sessile fraction,Not provided,Not provided,Not provided,40,Not provided,0,,Not provided
ISR,Eilat,NR2,2020-12-27,2022-01-03,ARMS_Eilat_NR2_20201227_20220103_r1_s1,ARMS_Eilat_NR2_20201227_20220103_MF100,EMOBON_Eilat_NR_20201227_20211229,Motile,DMSO,first sequencing run,Not provided,100,not provided,0,,s1
SWE,Koster,VH3,2020-07-16,2021-06-08,ARMS_Koster_VH3_20200716_20210608_r1_s1,ARMS_Koster_VH3_20200716_20210608_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,not provided,24,COI; 18S,s1
DNK,Laeso,Laeso1,2019-08-19,2020-08-11,ARMS_Laeso_Laeso1_20190819_20200811_r1_s1,ARMS_Laeso_Laeso1_20190819_20200811_SF40,ARMS_Laeso_Laeso_20190819_20200811,Sessile,DMSO,first sequencing run,Not provided,40,yes,27,COI; ITS; 18S,s1
SWE,SWC,Gbg1,2020-02-06,2020-05-20,ARMS_SWC_Gbg1_20200206_20200520_r1_s1,ARMS_SWC_Gbg1_20200206_20200520_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,not provided,44,COI; ITS; 18S,s1
BEL,BelgiumCoast,CPOWERC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPOWERC_20210623_20220622_r1_s2,ARMS_BelgiumCoast_CPOWERC_20210623_20220622_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,Not provided,0,,s2
Belgium,BelgiumCoast,CPowerC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,ARMS_BelgiumCoast_CPowerC_20210623_20220622_MF100_1,Not provided,motile fraction,Not provided,Not provided,Not provided,100,Not provided,0,,Not provided
BEL,BelgiumCoast,CPowerB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,ARMS_BelgiumCoast_CPowerB_20210623_20220622_SF40_3,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,19,COI; 18S,Not provided
FIN,TZS,Spikarna,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107_r1_s1,ARMS_TZS_Spikarna_20180711_20181107_MF100_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,100,not provided,111,COI; 18S,s1
FIN,TZS,Spikarna,2020-06-08,2020-11-18,ARMS_TZS_Spikarna_20200608_20201118_r1_s1,ARMS_TZS_Spikarna_20200608_20201118_SF40_ETOH,no replicate,Sessile,EtOH,first sequencing run,Not provided,40,not provided,114,COI; 18S,s1
ISR,Eilat,NR2,2020-12-27,2022-01-03,ARMS_Eilat_NR2_20201227_20220103_r1_s2,ARMS_Eilat_NR2_20201227_20220103_MF100,EMOBON_Eilat_NR_20201227_20211229,Motile,DMSO,first sequencing run,Not provided,100,not provided,0,,s2
GBR,Plymouth,MBA1B,2019-07-16,2019-09-18,ARMS_Plymouth_MBA1B_20190716_20190918_r1_s1,ARMS_Plymouth_MBA1B_20190716_20190918_MF500,ARMS_Plymouth_MBA1_20190716_20190916,Motile,DMSO,first sequencing run,Not provided,500,not provided,25,COI; ITS; 18S,s1
SWE,SWC,Bjorko1,2020-01-31,2020-05-18,ARMS_SWC_Bjorko1_20200131_20200518_r1_s1,ARMS_SWC_Bjorko1_20200131_20200518_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,not provided,36,COI; ITS; 18S,s1
BEL,BelgiumCoast,CPowerA,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerA_20210623_20220622,ARMS_BelgiumCoast_CPowerA_20210623_20220622_SF40_3,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,19,COI; 18S,Not provided
Belgium,BelgiumCoast,CPowerC,2022-05-22,2023-09-05,ARMS_BelgiumCoast_CPowerC_20220522_20230905,ARMS_BelgiumCoast_CPowerC_20220622_20230905_SF40_1,Not provided,sessile fraction,Not provided,Not provided,Not provided,40,Not provided,0,,Not provided
BEL,BelgiumCoast,CPowerC,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerC_20231023_20240718,ARMS_BelgiumCoast_CPowerC_20231023_20240718_MF500_1,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
BEL,BelgiumCoast,CPowerA,2022-06-22,2023-09-05,ARMS_BelgiumCoast_CPowerA_20220622_20230905,ARMS_BelgiumCoast_CPowerA_20220622_20230905_MF100_1,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
FRA,Roscoff,MarBloR2,2021-06-21,2021-10-12,ARMS_Roscoff_MarBloR2_20210621_20211012_r1_s1,ARMS_Roscoff_MarBloR2_20210621_20211012_MF500,EMOBON_Roscoff_MarBloR_20210621_20211011,Motile,DMSO,first sequencing run,Not provided,500,Not provided,0,,s1
NOR,Svalbard,S1C,2020-08-06,2022-08-03,ARMS_Svalbard_S1C_20200806_20220803_r2_s1,ARMS_Svalbard_S1C_20200806_20220803_MF500,ARMS_Svalbard_S1_20200805_20220729,Motile,DMSO,second sequencing run (repeat),Not provided,500,Not provided,195,,s1
NOR,Bodo,GStraB,2021-06-17,2022-11-17,ARMS_Bodo_GStraB_20210617_20221117_r1_s1,ARMS_Bodo_GStraB_20210617_20221117_MF125,ARMS_Bodo_GStra_20210617_20221117,Motile,DMSO,first sequencing run,Not provided,125,Not provided,0,,s1
BEL,BelgiumCoast,AJJCD78,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_r1_s1,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,no,19,COI; 18S,s1
DNK,Limfjord,Yellow8,2020-11-10,2021-11-15,ARMS_Limfjord_Yellow8_20201110_20211115_r1_s1,ARMS_Limfjord_Yellow8_20201110_20211115_SF40,ARMS_Limfjord_Limfjord_20201110_20211115,Sessile,DMSO,first sequencing run,Not provided,40,no,0,COI; 18S,s1
ISR,Eilat,NR3,2020-12-27,2022-01-05,ARMS_Eilat_NR3_20201227_20220105_r1_s2,ARMS_Eilat_NR3_20201227_20220105_MF500,EMOBON_Eilat_NR_20201227_20211229,Motile,DMSO,first sequencing run,Not provided,500,not provided,0,,s2
SVN,GulfOfPiran,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118_r1_s1,ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_ETOH,no replicate,Sessile,EtOH,first sequencing run,PCR amplification and sequencing will be repeated due to limited results obtained from these sequences,not provided,not provided,154,COI; 18S,s1
SWE,Koster,VH2,2018-04-18,2018-09-06,ARMS_Koster_VH2_20180418_20180906_r1_s1,ARMS_Koster_VH2_20180418_20180906_MF500_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,500,yes,76,COI; ITS; 18S,s1
Belgium,BelgiumCoast,CPowerA,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerA_20231023_20240718,ARMS_BelgiumCoast_CPowerA_20231023_20240718_MF500_2,Not provided,motile fraction,Not provided,Not provided,Not provided,500,Not provided,0,,Not provided
BEL,BelgiumCoast,CPowerB,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerB_20231023_20240718,ARMS_BelgiumCoast_CPowerB_20231023_20240718_MF100_2,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
ISR,Eilat,NR1,2020-12-27,2021-12-29,ARMS_Eilat_NR1_20201227_20211229_r1_s2,ARMS_Eilat_NR1_20201227_20211229_MF500,EMOBON_Eilat_NR_20201227_20211229,Motile,DMSO,first sequencing run,Not provided,500,not provided,0,,s2
FRA,Roscoff,BasBloS1,2019-06-12,2020-05-27,ARMS_Roscoff_BasBloS1_20190612_20200527_r1_s1,ARMS_Roscoff_BasBloS1_20190612_20200527_MF100,ARMS_Roscoff_BasBloS_20190612_20200527,Motile,DMSO,first sequencing run,Not provided,100,not provided,0,COI; 18S,s1
FRA,Roscoff,BasBloS1,2018-07-11,2018-10-25,ARMS_Roscoff_BasBloS1_20180711_20181025_r1_s1,ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_ETOH_B,ARMS_Roscoff_BasBloS_20180711_20181025,Sessile,EtOH,first sequencing run,Not provided,40,not provided,0,COI; 18S,s1
SWE,Koster,VH1,2020-07-16,2021-06-08,ARMS_Koster_VH1_20200716_20210608_r1_s1,ARMS_Koster_VH1_20200716_20210608_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,not provided,19,COI; 18S,s1
SVN,GulfOfPiran,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118_r1_s1,ARMS_GulfOfPiran_Fornace_20180815_20181118_MF100_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,100,not provided,154,COI; 18S,s1
IRL,Galway,Gurr2,2020-07-21,2021-07-07,ARMS_Galway_Gurr2_20200721_20210707_r1_s1,ARMS_Galway_Gurr2_20200721_20210707_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,yes,21,COI; 18S,s1
IRL,Galway,Gurr1,2021-07-20,2022-09-06,ARMS_Galway_Gurr1_20210720_20220906_r1_s1,ARMS_Galway_Gurr1_20210720_20220906_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,Not provided,20,,s1
ISR,Eilat,Katza1,2018-10-24,2020-07-06,ARMS_Eilat_Katza1_20181024_20200706_r1_s1,ARMS_Eilat_Katza1_20181024_20200706_SF45,no replicate,Sessile,DMSO,first sequencing run,Not provided,45,not provided,213,COI; 18S,s1
ESP,Getxo,G1,2019-06-24,2019-10-16,ARMS_Getxo_G1_20190624_20191016_r1_s1,ARMS_Getxo_G1_20190624_20191016_MF500,ARMS_Getxo_G_20190624_20191016,Motile,DMSO,first sequencing run,Not provided,500,no,134,COI; 18S,s1
DNK,Limfjord,Green33,2019-10-29,2020-11-10,ARMS_Limfjord_Green33_20191029_20201110_r1_s1,ARMS_Limfjord_Green33_20191029_20201110_SF40,ARMS_Limfjord_Limfjord_20191029_20201110,Sessile,DMSO,first sequencing run,Not provided,40,not provided,24,COI; 18S,s1
SWE,Koster,VH3,2021-06-08,2022-06-09,ARMS_Koster_VH3_20210608_20220609_r1_s2,ARMS_Koster_VH3_20210608_20220609_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,Not provided,0,,s2
DNK,Laeso,Laeso1,2021-08-19,2022-08-15,ARMS_Laeso_Laeso1_20210819_20220815_r1_s1,ARMS_Laeso_Laeso1_20210819_20220815_SF40,ARMS_Laeso_Laeso_20210819_20220815,Sessile,DMSO,first sequencing run,Not provided,40,Not provided,0,,s1
ESP,Vigo,TorallaC,2021-07-01,2021-10-09,ARMS_Vigo_TorallaC_20210701_20211009_r1_s2,ARMS_Vigo_TorallaC_20210701_20211009_SF,EMOBON_Vigo_Toralla_20210701_20211009,Sessile,DMSO,first sequencing run,Not provided,not provided,Not provided,0,,s2
SWE,SWC,Varberg2,2020-02-13,2020-06-03,ARMS_SWC_Varberg2_20200213_20200603_r1_s1,ARMS_SWC_Varberg2_20200213_20200603_MF500,ARMS_SWC_Varberg_20200213_20200603,Motile,DMSO,first sequencing run,Not provided,500,not provided,21,COI; ITS; 18S,s1
SVN,GulfOfPiran,BojaVida,2021-07-28,2022-08-16,ARMS_GulfOfPiran_BojaVida_20210728_20220816_r1_s1,ARMS_GulfOfPiran_BojaVida_20210728_20220816_SF500,no replicate,Sessile,DMSO,first sequencing run,Not provided,500,Not provided,0,,s1
SWE,SWC,Gbg2,2020-02-06,2020-05-20,ARMS_SWC_Gbg2_20200206_20200520_r1_s1,ARMS_SWC_Gbg2_20200206_20200520_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,not provided,24,COI; ITS; 18S,s1
