Please ignore. Just helpful for HCMR logistics --> Sequenced/in progress information,Observatory-ID,ARMS-ID,MaterialSample-ID,Event-ID,Deployment Date,Collection Date,Observatory-ID,ARMS-ID,Country,Fraction_Specific,Fraction,Preservative,Filter (micrometer),Crate cover used during retrieval,OriginalSample-ID,gene_COI,COI_demultiplexed,gene_COI_negative_control,comment_COI,gene_ITS,ITS_demultiplexed,gene_ITS_negative_control,comment_ITS,gene_18S,18S_demultiplexed,gene_18S_negative_control,comment_18S,fieldReplicate,initial number of paired-end reads,initial number of paired-end reads,initial number of paired-end reads,Cleaned sequences,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,Open access date
,BelgiumCoast,CoastbustersB,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF100,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,2021-04-22,2023-02-15,BelgiumCoast,CoastbustersB,Belgium,Motile_100um,Motile,Frozen,100,not provided,unknown,none,none,none,none,none,none,none,discontinued,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,CoastbustersB,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF500,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,2021-04-22,2023-02-15,BelgiumCoast,CoastbustersB,Belgium,Motile_500um,Motile,Frozen,500,not provided,unknown,none,none,none,none,none,none,none,discontinued,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,BelgiumCoast,CoastbustersB,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_SF40,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,2021-04-22,2023-02-15,BelgiumCoast,CoastbustersB,Belgium,Sessile_40um,Sessile,Frozen,40,not provided,unknown,none,none,none,none,none,none,none,discontinued,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Angbat,ARMS_TZS_Angbat_20210608_20211124_MF100,ARMS_TZS_Angbat_20210608_20211124,2021-06-08,2021-11-24,TZS,Angbat,Finland,Motile_100um,Motile,DMSO,100,not provided,ARMS_TZS_ANG_210608-211124_MF100_DMSO_(A-B),none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Angbat,ARMS_TZS_Angbat_20210608_20211124_MF500,ARMS_TZS_Angbat_20210608_20211124,2021-06-08,2021-11-24,TZS,Angbat,Finland,Motile_500um,Motile,DMSO,500,not provided,ARMS_TZS_ANG_210608-211124_MF500_DMSO_(A-B),none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Angbat,ARMS_TZS_Angbat_20210608_20211124_SF40,ARMS_TZS_Angbat_20210608_20211124,2021-06-08,2021-11-24,TZS,Angbat,Finland,Sessile_40um,Sessile,DMSO,40,not provided,ARMS_TZS_ANG_210608-211124_PSF40_DMSO_(A-C),none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Angbat,ARMS_TZS_Angbat_20210609_20220630_MF100_ETOH,ARMS_TZS_Angbat_20210609_20220630,2021-06-09,2022-06-30,TZS,Angbat,Finland,Motile_100um,Motile,EtOH,100,not provided,ARMS_TZS_ANG_210609-300622_MF100_ETOH_(A-B),none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Angbat,ARMS_TZS_Angbat_20210609_20220630_MF500_ETOH,ARMS_TZS_Angbat_20210609_20220630,2021-06-09,2022-06-30,TZS,Angbat,Finland,Motile_500um,Motile,EtOH,500,not provided,ARMS_TZS_ANG_210609-300622_MF500_ETOH_A,none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Angbat,ARMS_TZS_Angbat_20210609_20220630_SF40_ETOH,ARMS_TZS_Angbat_20210609_20220630,2021-06-09,2022-06-30,TZS,Angbat,Finland,Sessile_40um,Sessile,EtOH,40,not provided,ARMS_TZS_ANG_210609-300622_SF40_ETOH_(A-B),none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Kummelkobben,ARMS_TZS_Kummelkobben_20210608_20211122_SF40,ARMS_TZS_Kummelkobben_20210608_20211122,2021-06-08,2021-11-22,TZS,Kummelkobben,Finland,Sessile_40um,Sessile,DMSO,40,not provided,ARMS_TZS_KUMM_210608-211122_PSF_DMSO,none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Kummelkobben,ARMS_TZS_Kummelkobben_20210609_20220622_MF100_ETOH,ARMS_TZS_Kummelkobben_20210609_20220622,2021-06-09,2022-06-22,TZS,Kummelkobben,Finland,Motile_100um,Motile,EtOH,100,not provided,ARMS_TZS_KUMM_210609_220622_MF100_ETOH,none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Kummelkobben,ARMS_TZS_Kummelkobben_20210609_20220622_MF500_ETOH,ARMS_TZS_Kummelkobben_20210609_20220622,2021-06-09,2022-06-22,TZS,Kummelkobben,Finland,Motile_500um,Motile,EtOH,500,not provided,ARMS_TZS_KUMM_210609_220622_MF500_ETOH,none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Kummelkobben,ARMS_TZS_Kummelkobben_20210609_20220622_SF40_ETOH,ARMS_TZS_Kummelkobben_20210609_20220622,2021-06-09,2022-06-22,TZS,Kummelkobben,Finland,Sessile_40um,Sessile,EtOH,40,not provided,ARMS_TZS_KUMM_210609_220622_SF40_ETOH_A,none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Kummelkobben,ARMS_TZS_Kummelkoben_20210608_20211122_MF100,ARMS_TZS_Kummelkoben_20210608_20211122,2021-06-08,2021-11-22,TZS,Kummelkobben,Finland,Motile_100um,Motile,DMSO,100,not provided,ARMS_TZS_KUMM_210608-211122_MF100_DMSO,none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Kummelkobben,ARMS_TZS_Kummelkoben_20210608_20211122_MF500,ARMS_TZS_Kummelkoben_20210608_20211122,2021-06-08,2021-11-22,TZS,Kummelkobben,Finland,Motile_500um,Motile,DMSO,500,not provided,ARMS_TZS_KUMM_210608-211122_MF500_DMSO,none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Spikarna,ARMS_TZS_Spikarna_20210607_20211122_MF100,ARMS_TZS_Spikarna_20210607_20211122,2021-06-07,2021-11-22,TZS,Spikarna,Finland,Motile_100um,Motile,DMSO,100,not provided,ARMS_TZS_SPIK_210607-211122_MF100_DMSO,none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Spikarna,ARMS_TZS_Spikarna_20210607_20211122_MF500,ARMS_TZS_Spikarna_20210607_20211122,2021-06-07,2021-11-22,TZS,Spikarna,Finland,Motile_500um,Motile,DMSO,500,not provided,ARMS_TZS_SPIK_210607-211122_MF500_DMSO,none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
,TZS,Spikarna,ARMS_TZS_Spikarna_20210607_20211122_SF40,ARMS_TZS_Spikarna_20210607_20211122,2021-06-07,2021-11-22,TZS,Spikarna,Finland,Sessile_40um,Sessile,DMSO,40,not provided,ARMS_TZS_SPIK_210607-211122_PSF40_DMSO_(A-B),none,none,none,none,none,none,none,none,none,none,none,none,no replicate,,,,,,,,,,,,,,,,,,,,
April 2021,BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100,ARMS_BelgiumCoast_AJJC81_20200506_20201012,2020-05-06,2020-10-12,BelgiumCoast,AJJC81,Belgium,Motile_100um,Motile,DMSO,100,no,ARMS_BelgiumCoast_JJ-C8-1_200506-201012_MF100_DMSO_A,ERR7125481,MiSeq (indices) / cutadapt (primers),ERR7125534,none,ERR7125482,MiSeq (indices) / cutadapt (primers),ERR7125535,none,ERR7125480,MiSeq (indices) / cutadapt (primers),ERR7125533,none,ARMS_BelgiumCoast_AJJ_20200506_20201012,,,,,,,,,,,,,,,,,,,,
April 2021,BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500,ARMS_BelgiumCoast_AJJC81_20200506_20201012,2020-05-06,2020-10-12,BelgiumCoast,AJJC81,Belgium,Motile_500um,Motile,DMSO,500,no,ARMS_BelgiumCoast_JJ-C8-1_200506-201012_MF500_DMSO_A,ERR7125484,MiSeq (indices) / cutadapt (primers),ERR7125534,none,ERR7125485,MiSeq (indices) / cutadapt (primers),ERR7125535,none,ERR7125483,MiSeq (indices) / cutadapt (primers),ERR7125533,none,ARMS_BelgiumCoast_AJJ_20200506_20201012,,,,,,,,,,,,,,,,,,,,
April 2021,BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100,ARMS_BelgiumCoast_AJJC86_20200506_20201012,2020-05-06,2020-10-12,BelgiumCoast,AJJC86,Belgium,Motile_100um,Motile,DMSO,100,no,ARMS_BelgiumCoast_JJ-C8-6_200506-201012_MF100_DMSO_A,ERR7125487,MiSeq (indices) / cutadapt (primers),ERR7125534,none,ERR7125488,MiSeq (indices) / cutadapt (primers),ERR7125535,none,ERR7125486,MiSeq (indices) / cutadapt (primers),ERR7125533,none,ARMS_BelgiumCoast_AJJ_20200506_20201012,,,,,,,,,,,,,,,,,,,,
April 2021,BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500,ARMS_BelgiumCoast_AJJC86_20200506_20201012,2020-05-06,2020-10-12,BelgiumCoast,AJJC86,Belgium,Motile_500um,Motile,DMSO,500,no,ARMS_BelgiumCoast_JJ-C8-6_200506-201012_MF500_DMSO_A,ERR7125490,MiSeq (indices) / cutadapt (primers),ERR7125534,none,ERR7125491,MiSeq (indices) / cutadapt (primers),ERR7125535,none,ERR7125489,MiSeq (indices) / cutadapt (primers),ERR7125533,none,ARMS_BelgiumCoast_AJJ_20200506_20201012,,,,,,,,,,,,,,,,,,,,
April 2021,BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,2020-05-06,2020-10-12,BelgiumCoast,AJJCD78,Belgium,Motile_100um,Motile,DMSO,100,no,ARMS_BelgiumCoast_JJ-CD78_200506-201012_MF100_DMSO_A,ERR7125493,MiSeq (indices) / cutadapt (primers),ERR7125534,none,ERR7125494,MiSeq (indices) / cutadapt (primers),ERR7125535,none,ERR7125492,MiSeq (indices) / cutadapt (primers),ERR7125533,none,ARMS_BelgiumCoast_AJJ_20200506_20201012,,,,,,,,,,,,,,,,,,,,
