Sample Region (country),Country ISO3letter code,Observatory-ID (corrected),ARMS-ID (corrected),Latitude,Longitude,Depth_min (m),Depth_max (m),Monitoring area,Anthropogenic influence,IUCN habitat type,Description,Notes,ENVO_broad_scale,ENVO_medium_scale,ENVO_local_scale,add. info,MarineRegion_larger,MarineRegion_smaller
Italy,ITA,AdriaticEastCoast,Ven1,45.316667,12.50000,16,16,Long-Term Ecological Research Site,LHI (Low human influence),9.4 - Subtidal Sandy  ,not provided,none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],,19G2 (http://marineregions.org/mrgid/42084),Italy - Adriatic Sea (http://marineregions.org/mrgid/64211)
Italy,ITA,AdriaticEastCoast,Ven2,45.316667,12.5000,16,16,Long-Term Ecological Research Site,LHI (Low human influence),9.4 - Subtidal Sandy  ,not provided,none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],,19G2 (http://marineregions.org/mrgid/42084),Italy - Adriatic Sea (http://marineregions.org/mrgid/64211)
Italy,ITA,AdriaticEastCoast,Ven3,45.316667,12.5000,16,16,Long-Term Ecological Research Site,LHI (Low human influence),9.4 - Subtidal Sandy  ,not provided,none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],,19G2 (http://marineregions.org/mrgid/42084),Italy - Adriatic Sea (http://marineregions.org/mrgid/64211)
North Sea (Belgium),BEL,BelgiumCoast,AJJBC89,51.64971,2.789374,20.82,20.82,Wind farm,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243)
North Sea (Belgium),BEL,BelgiumCoast,AJJC81,51.6533567,2.79178508,38,38,Wind farm,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243)
North Sea (Belgium),BEL,BelgiumCoast,AJJC86,51.65264,2.79369998,37,37,Wind farm,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243)
North Sea (Belgium),BEL,BelgiumCoast,AJJCD78,51.65374944,2.79602577,38,38,Wind farm,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243)
North Sea (Belgium),BEL,BelgiumCoast,AJJCD89,51.64505,2.793074,18.64,18.64,Wind farm,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243)
North Sea (Belgium),BEL,BelgiumCoast,AZBE1,51.364298,3.20701,7,7,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"ARMS was deployed near marina of Zeebrugge, ARMS attached to tripod, retrieved with acoustic release (no cover crate). Substrate was fine sand-silt (soft-bottom). Very fine silt made filtrations heavy.  ",none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Spz3 / Zps3 (http://marineregions.org/mrgid/28748)
North Sea (Belgium),BEL,BelgiumCoast,AZBW1,51.362906,3.183634,12,12,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],"sand and silt, fully anoxic zone",Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Spz3 / Zps3 (http://marineregions.org/mrgid/28748)
North Sea (Belgium),BEL,BelgiumCoast,AZFPin,51.66522,2.82558,37,37,Wind farm,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"Inside a windmill park. ARMS was deployed on a Acoustic Zooplankton Fish Profiler (AZFP's). As we were unable to dive, we undoubtedly lost most of the motile fraction. Still, many motile specimens were recorded (albeit in a rather low species diversity at first sight). The AZFP frame itself was also heavily occupied with motile and sessile organisms.",none,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243)
North Sea (Belgium),BEL,BelgiumCoast,AZFPout,51.68821,2.84921,38,38,Wind farm,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243)
North Sea (Belgium),BEL,BelgiumCoast,BirkenfelsA,51.64816667,2.53583333,38.81,38.81,Near shipwreck with very fine silt ,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243)
North Sea (Belgium),BEL,BelgiumCoast,BirkenfelsB,51.64816667,2.53583333,38.81,38.81,Near shipwreck with very fine silt ,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243)
North Sea (Belgium),BEL,BelgiumCoast,CoastbustersA,51.11486388,2.57857672,9,9,bioanchoring facility Coastbusters project,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 12NM (http://marineregions.org/mrgid/49010)
North Sea (Belgium),BEL,BelgiumCoast,CoastbustersB,51.11529044,2.57995513,9,9,bioanchoring facility Coastbusters project,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 12NM (http://marineregions.org/mrgid/49010)
North Sea (Belgium),BEL,BelgiumCoast,CPowerA,51.579833,2.995500,26,26,Wind farm,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Zeeland banks (http://marineregions.org/mrgid/2420)
North Sea (Belgium),BEL,BelgiumCoast,CPowerB,51.579833,2.995500,26,26,Wind farm,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Zeeland banks (http://marineregions.org/mrgid/2420)
