station,arms_id,qc_param,qc_flag,gsheets_data,plutoF_data
AdriaticEastCoast,Ven1,"latitude, longitude, depth",pass,,
AdriaticEastCoast,Ven1,"latitude, longitude, depth",pass,,
AdriaticEastCoast,Ven2,"latitude, longitude, depth",pass,,
AdriaticEastCoast,Ven2,"latitude, longitude, depth",pass,,
AdriaticEastCoast,Ven3,"latitude, longitude, depth",pass,,
AdriaticEastCoast,Ven3,"latitude, longitude, depth",pass,,
BelgiumCoast,AJJC81,"latitude, longitude, depth",pass,,
BelgiumCoast,AJJC86,"latitude, longitude, depth",pass,,
BelgiumCoast,AJJCD78,"latitude, longitude, depth",pass,,
BelgiumCoast,AJJCD78,"latitude, longitude, depth",pass,,
BelgiumCoast,AJJCD89,"latitude, longitude, depth",pass,,
BelgiumCoast,AZBE1,"latitude, longitude, depth",pass,,
BelgiumCoast,AZBW1,"latitude, longitude, depth",pass,,
BelgiumCoast,AZFPout,"latitude, longitude, depth",pass,,
BelgiumCoast,BirkenfelsA,"latitude, longitude, depth",pass,,
BelgiumCoast,BirkenfelsB,"latitude, longitude, depth",pass,,
BelgiumCoast,CoastbustersA,"latitude, longitude, depth",pass,,
BelgiumCoast,CoastbustersB,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerA,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerA,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerA,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerB,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerB,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerB,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerC,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerC,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerC,"latitude, longitude, depth",pass,,
Bodo,GStraM,"latitude, longitude, depth",pass,,
Bodo,GStraM,"latitude, longitude, depth",pass,,
Bodo,GStraB,"latitude, longitude, depth",pass,,
Bodo,GStraB,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Daneborg,Daneborg2,arms_id,fail,Daneborg2,ST2
Daneborg,Daneborg3,arms_id,fail,Daneborg3,ST2
Daneborg,Daneborg1,arms_id,fail,Daneborg1,ST2
Eilat,NR1,"latitude, longitude, depth",pass,,
Eilat,NR1,"latitude, longitude, depth",pass,,
Eilat,NR2,"latitude, longitude, depth",pass,,
Eilat,NR2,"latitude, longitude, depth",pass,,
Eilat,NR3,arms_id,fail,NR3,ST2
Eilat,Katza1,"latitude, longitude, depth",pass,,
Eilat,Katza1,"latitude, longitude, depth",pass,,
Eilat,Katza2,"latitude, longitude, depth",pass,,
Eilat,Katza2,"latitude, longitude, depth",pass,,
Eilat,Katza3,arms_id,fail,Katza3,ST2
Galway,Gurr3,"latitude, longitude, depth",pass,,
Galway,Gurr3,"latitude, longitude, depth",pass,,
Galway,Gurr2,"latitude, longitude, depth",pass,,
Galway,Gurr2,"latitude, longitude, depth",pass,,
Galway,Gurr1,"latitude, longitude, depth",pass,,
Galway,Gurr1,"latitude, longitude, depth",pass,,
Galway,Gurr4,arms_id,fail,Gurr4,ST2
Gdynia,GDY1,"latitude, longitude, depth",pass,,
Gdynia,GDY1,"latitude, longitude, depth",pass,,
Gdynia,GDY1,"latitude, longitude, depth",pass,,
Gdynia,GDY1,"latitude, longitude, depth",pass,,
Getxo,G3,"latitude, longitude, depth",pass,,
Getxo,G3,"latitude, longitude, depth",pass,,
Getxo,G1,"latitude, longitude, depth",pass,,
Getxo,G1,"latitude, longitude, depth",pass,,
Getxo,G1,"latitude, longitude, depth",pass,,
Getxo,G2,"latitude, longitude, depth",pass,,
Getxo,G2,"latitude, longitude, depth",pass,,
Getxo,G2,"latitude, longitude, depth",pass,,
GulfOfPiran,Fornace,"latitude, longitude, depth",pass,,
GulfOfPiran,Fornace,"latitude, longitude, depth",pass,,
GulfOfPiran,Fornace,"latitude, longitude, depth",pass,,
GulfOfPiran,Fornace,"latitude, longitude, depth",pass,,
GulfOfPiran,BojaVida,"latitude, longitude, depth",pass,,
GulfOfPiran,BojaVida,"latitude, longitude, depth",pass,,
GulfOfPiran,BojaVida,"latitude, longitude, depth",pass,,
GulfOfPiran,BojaVida,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH2,"latitude, longitude, depth",pass,,
Koster,VH2,"latitude, longitude, depth",pass,,
Koster,VH2,"latitude, longitude, depth",pass,,
Koster,VH2,"latitude, longitude, depth",pass,,
KosterSeafarm,NSF1,arms_id,fail,NSF1,ST2
KosterSeafarm,NSF2,arms_id,fail,NSF2,ST2
KosterSeafarm,NSF3,arms_id,fail,NSF3,ST2
