Material_Sample_ID,Parent_Event_ID,Description,Created_At,Updated_At,Sequences,Associated data
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500,ARMS_BelgiumCoast_AJJC86_20200506_20201012,Motile,2022-10-06,2023-11-20,0,35
ARMS_BelgiumCoast_AJJC86_20200506_20201012_SF40,ARMS_BelgiumCoast_AJJC86_20200506_20201012,Sessile,2022-10-18,2023-11-20,0,35
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100,ARMS_BelgiumCoast_AJJC86_20200506_20201012,Motile,2022-10-06,2023-11-20,0,35
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100,ARMS_BelgiumCoast_AZBE1_20190924_20200303,Motile,2022-10-06,2022-10-06,0,39
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40,ARMS_BelgiumCoast_AZBE1_20190924_20200303,Sessile,2022-10-06,2022-10-06,0,39
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,ARMS_BelgiumCoast_AZBE1_20190924_20200303,Motile,2022-10-06,2022-10-06,0,39
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,Sessile,2022-10-06,2022-10-06,0,19
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,Motile,2022-10-06,2022-10-06,0,19
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,Motile,2022-10-06,2022-10-06,0,19
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_SF40,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,Sessile,2022-10-06,2023-11-20,0,19
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,Motile,2022-10-06,2023-11-20,0,19
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,Motile,2022-10-06,2023-11-20,0,19
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH,ARMS_BelgiumCoast_AZFPin_20180712_20180818,Motile,2022-10-06,2022-10-06,0,294
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH,ARMS_BelgiumCoast_AZFPin_20180712_20180818,Motile,2022-10-06,2022-10-06,0,294
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_SF40,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,Sessile,2022-10-06,2022-10-18,0,37
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF100,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,Motile,2022-10-06,2022-10-18,0,37
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF500,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,Motile,2022-10-06,2022-10-18,0,37
ARMS_BelgiumCoast_CPowerB_20210623_20220622_MF100_A,ARMS_BelgiumCoast_CPowerB_20210623_20220622,Motile,2022-10-06,2023-04-26,0,19
ARMS_BelgiumCoast_CPowerB_20210623_20220622_SF40_C,ARMS_BelgiumCoast_CPowerB_20210623_20220622,Sessile,2022-10-06,2023-04-26,0,19
ARMS_BelgiumCoast_CPowerB_20210623_20220622_SF40_A,ARMS_BelgiumCoast_CPowerB_20210623_20220622,Sessile,2022-10-06,2023-04-26,0,19
