Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
Eilat,Israel,NR2,2018-10-17,2020-05-24,ARMS_Eilat_NR2_20181017_20200524,3551146,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/8ccb2e35-c97a-4b26-871e-8e66335f929f.jpg,2020-08-04,2022-10-28
Eilat,Israel,NR2,2018-10-17,2020-05-24,ARMS_Eilat_NR2_20181017_20200524,3551151,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/566e76c7-24b9-43f7-a5af-ac8eb9fa5b40.jpg,2020-08-04,2022-10-28
Eilat,Israel,NR2,2018-10-17,2020-05-24,ARMS_Eilat_NR2_20181017_20200524,3551150,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/ea9fadf5-a4b4-4bab-92d7-ec156e12cfa7.jpg,2020-08-04,2022-10-28
Eilat,Israel,NR2,2018-10-17,2020-05-24,ARMS_Eilat_NR2_20181017_20200524,3551148,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/fe9eb093-abca-4456-898d-5614d38e741b.jpg,2020-08-04,2022-10-28
Eilat,Israel,NR2,2018-10-17,2020-05-24,ARMS_Eilat_NR2_20181017_20200524,3551147,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/f589f8b4-fcce-49c5-960b-f5f6c127b321.jpg,2020-08-04,2022-10-28
Eilat,Israel,NR2,2018-10-17,2020-05-24,ARMS_Eilat_NR2_20181017_20200524,3551149,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/a350b097-2bab-42d3-b895-78a91d1532ca.jpg,2020-08-04,2022-10-28
Eilat,Israel,NR2,2018-10-17,2020-05-24,ARMS_Eilat_NR2_20181017_20200524,3551152,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/11e643e8-28c7-4777-af5b-5ddae8d9a279.jpg,2020-08-04,2022-10-28
Eilat,Israel,NR2,2018-10-17,2020-05-24,ARMS_Eilat_NR2_20181017_20200524,3551153,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/7003c2dd-c138-4759-b2ac-ad6caaa030a0.jpg,2020-08-04,2022-10-28
Eilat,Israel,NR2,2018-10-17,2020-05-24,ARMS_Eilat_NR2_20181017_20200524,3551154,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/698e2161-8d4f-42a8-b007-962b4c8e8409.jpg,2020-08-04,2022-10-28
Eilat,Israel,NR2,2018-10-17,2020-05-24,ARMS_Eilat_NR2_20181017_20200524,3551156,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/83b74dce-7dd2-46b3-9ffe-6c305e36f7eb.jpg,2020-08-04,2022-10-28
