Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
TZS,Finland,Spikarna,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_180711-181107_1Bf.jpg,1,Bottom,Image,https://files.plutof.ut.ee/public/orig/D9/6C/D96C2934667F91F431F29BEF04648C1154AF21FF4763428D0FFAFF31CFB6ADD2.jpg,2019-11-11,2020-12-19
TZS,Finland,Spikarna,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_180711-181107_6Bd.jpg,6,Bottom,Image,https://files.plutof.ut.ee/public/orig/A8/03/A8035004F755C0D5BEBA7C9F1F681C38499697829585840935BD39F8F1CE76E5.jpg,2019-11-11,2020-12-19
TZS,Finland,Spikarna,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_180711-181107_6Ta.jpg,6,Top,Image,https://files.plutof.ut.ee/public/orig/06/CE/06CE549C96EAEE3055576FDFD3442F29B689643815515CDAB297E0C6B92AACD1.jpg,2019-11-11,2020-12-19
TZS,Finland,Spikarna,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_180711-181107_1Td.jpg,1,Top,Image,https://files.plutof.ut.ee/public/orig/FB/83/FB83C2877B8CE28932558A7EDD16C54DEC3E8EA0D8A02B5F1B7FC38577EA9E91.jpg,2019-11-11,2020-12-19
TZS,Finland,Spikarna,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_180711-181107_7Bc.jpg,7,Bottom,Image,https://files.plutof.ut.ee/public/orig/79/34/79347947D901113DEF0746074E7D3C8226B4B679897A589E9E59C438661BE896.jpg,2019-11-11,2020-12-19
TZS,Finland,Spikarna,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_180711-181107_8Bb.jpg,8,Bottom,Image,https://files.plutof.ut.ee/public/orig/D3/CC/D3CC353002156B83F0300D735F537F31D481C8C6B884F928EC11D1C6DA7DFDAF.jpg,2019-11-11,2020-12-19
TZS,Finland,Spikarna,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_180711-181107_8Ta.jpg,8,Top,Image,https://files.plutof.ut.ee/public/orig/A7/D6/A7D6B615D1BF2B6C5F71B5A531C11A094BADC0B4C4CBB5CB49E510AA8897133F.jpg,2019-11-11,2020-12-19
TZS,Finland,Spikarna,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_180711-181107_9Be.jpg,9,Bottom,Image,https://files.plutof.ut.ee/public/orig/46/59/46598B598B656A14BFBAA382740EB9D66C0E4909DD660D5A79E5980019080384.jpg,2019-11-11,2020-12-19
TZS,Finland,Spikarna,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_180711-181107_2Bb.jpg,2,Bottom,Image,https://files.plutof.ut.ee/public/orig/2A/9C/2A9C71785BB30F6BD6E9D72A488F65E54D73ECADA3E9164A8B3CD8867D4FC142.jpg,2019-11-11,2020-12-19
TZS,Finland,Spikarna,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_180711-181107_2Te.jpg,2,Top,Image,https://files.plutof.ut.ee/public/orig/47/AF/47AFEC49EA72368D5EEE270D60933EB442DB033B80391524BF4E3EC0A43FBDCC.jpg,2019-11-11,2020-12-19
