Station,Country,ARMS_unit,Latitude,Longitude,Depth_min,Depth_max,Date_start,Date_end,Event_ID,Event_Description,IUCN_Habitat_type,Material Samples,Observations,Sequences,Associated Data,Created,Updated
TZS,Finland,Spikarna,59.81094000,23.20621600,3,3,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107,"Spikarna: a group of small islands and sublittoral reefs with a fragmented distribution of mussel beds interspersed by pockets of sand fields, stones and gravel. A canopy-forming bladder-wrack belt on a hard-bottom habitat. #### The sieve for the SF40 fraction was 48 micron in size ###",9.4 - Subtidal Sandy,0,0,0,111,2019-11-11,2020-12-19
TZS,Finland,Spikarna,59.81094000,23.20621600,3,3,2021-06-07,2021-11-22,ARMS_TZS_Spikarna_20210607_20211122,Sheltered lagoon in the outer archipelago with Fucus vesiculosus,None,0,0,0,18,2023-03-31,2023-04-27
TZS,Finland,Spikarna,59.81094000,23.20621600,3,3,2020-06-08,2020-11-18,ARMS_TZS_Spikarna_20200608_20201118,"Spikarna: a group of small islands and sublittoral reefs with a fragmented distribution of mussel beds interspersed by pockets of sand fields, stones and gravel. A canopy-forming bladder-wrack belt on a hard-bottom habitat. #### The sieve for the SF40 fraction was 48 micron in size ###",None,0,0,0,114,2020-11-27,2023-10-26
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2021-06-08,2021-11-24,ARMS_TZS_Angbat_20210608_20211124,Seagrass meadow in an MPA,None,0,0,0,19,2023-03-31,2023-04-27
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2023-04-18,2023-09-28,ARMS_TZS_Angbat_20230418_20230928,Seagrass meadow adjacent to cliffs and rocks in an MPA,None,0,0,0,0,2023-04-27,2023-10-04
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2023-04-18,2023-09-27,ARMS_TZS_Angbat_20230418_20230927,Seagrass meadow adjacent to cliffs and rocks in an MPA,None,0,0,0,106,2023-04-27,2023-10-26
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2023-04-18,2023-09-26,ARMS_TZS_Angbat_20230418_20230926,Seagrass meadow in an MPA adjacent to a cliffs and rocks in an MPA,None,0,0,0,104,2023-04-27,2023-10-26
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2022-06-22,2022-11-22,ARMS_TZS_Angbat_20220622_20221122,Seagrass meadow in an MPA,None,0,0,0,0,2023-04-27,2023-04-27
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2021-06-09,2022-06-30,ARMS_TZS_Angbat_20210609_20220630,Seagrass meadow in an MPA,None,0,0,0,0,2023-03-31,2023-04-27
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2022-06-30,2023-06-07,ARMS_TZS_Angbat_20220630_20230607,Seagrass meadow in an MPA,None,0,0,0,109,2023-04-27,2023-10-04
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2023-10-09,None,ARMS_TZS_Angbat_20231009_00000000,Seagrass meadow in an MPA adjacent to a cliffs and rocks in an MPA,None,0,0,0,0,2023-10-09,2023-10-09
