Station,Country,ARMS_unit,Latitude,Longitude,Depth_min,Depth_max,Date_start,Date_end,Event_ID,Event_Description,IUCN_Habitat_type,Material Samples,Observations,Sequences,Associated Data,Created,Updated
GulfOfPiran,Slovenia,Fornace,45.51880000,13.56730000,9,9,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,"Location 1 (FO9) is stationed around 50 m off the coast of Fornace (PIran) in the depth of 9 m. This is a transient zone between infralittoral and circalittoral. Botoom is predominantly sandy mud, with coarse organic elements on the surface (sea shells). There are 4 cement tubes for excess meteor waters placed on the bottom and some patches of alochtonous pebbles that were brought there by meteor water and by during the construction works. On the coast there is a flysch cliff below which a 100m broad urbanised area (road, parking area, houses, water treatment plant) can be found. Coastline is represented by a wall of limestone rocks. Under this rocky wall there is a narrow rocky bottom with sandstones which changes to soft substrate along which artificial hard structures are set (4 meteor water pipelines).",9.5 - Subtidal Sandy-Mud,0,0,0,154,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,45.51880000,13.56730000,9,9,2018-08-15,2019-02-15,ARMS_GulfOfPiran_Fornace_20180815_20190215,"Location 1 (FO9) is stationed around 50 m off the coast of Fornace (PIran) in the depth of 9 m. This is a transient zone between infralittoral and circalittoral. Botoom is predominantly sandy mud, with coarse organic elements on the surface (sea shells). There are 4 cement tubes for excess meteor waters placed on the bottom and some patches of alochtonous pebbles that were brought there by meteor water and by during the construction works. On the coast there is a flysch cliff below which a 100m broad urbanised area (road, parking area, houses, water treatment plant) can be found. Coastline is represented by a wall of limestone rocks. Under this rocky wall there is a narrow rocky bottom with sandstones which changes to soft substrate along which artificial hard structures are set (4 meteor water pipelines).",9.5 - Subtidal Sandy-Mud,0,0,0,179,2020-03-16,2020-04-14
GulfOfPiran,Slovenia,Fornace,45.51880000,13.56730000,9,9,2019-07-02,2020-01-27,ARMS_GulfOfPiran_Fornace_20190702_20200127,"sandy mud, with coarse organic elements on the surface (sea shells) and 4 cement tubes for excess meteor waters placed on the bottom.
Location 1 (FO9) is stationed around 50 m off the coast of Fornace (PIran) in the depth of 9 m. This is a transient zone between infralittoral and circalittoral. Botoom is predominantly sandy mud, with coarse organic elements on the surface (sea shells). There are 4 cement tubes for excess meteor waters placed on the bottom and some patches of alochtonous pebbles that were brought there by meteor water and by during the construction works. On the coast there is a flysch cliff below which a 100m broad urbanised area (road, parking area, houses, water treatment plant) can be found. Coastline is represented by a wall of limestone rocks. Under this rocky wall there is a narrow rocky bottom with sandstones which changes to soft substrate along which artificial hard structures are set (4 meteor water pipelines).",9.6 - Subtidal Muddy,0,0,0,127,2020-03-23,2023-11-13
GulfOfPiran,Slovenia,Fornace,45.51880000,13.56730000,9,9,2019-07-02,2020-06-10,ARMS_GulfOfPiran_Fornace_20190702_20200610,"sandy mud, with coarse organic elements on the surface (sea shells) and 4 cement tubes for excess meteor waters placed on the bottom.
Location 1 (FO9) is stationed around 50 m off the coast of Fornace (PIran) in the depth of 9 m. This is a transient zone between infralittoral and circalittoral. Botoom is predominantly sandy mud, with coarse organic elements on the surface (sea shells). There are 4 cement tubes for excess meteor waters placed on the bottom and some patches of alochtonous pebbles that were brought there by meteor water and by during the construction works. On the coast there is a flysch cliff below which a 100m broad urbanised area (road, parking area, houses, water treatment plant) can be found. Coastline is represented by a wall of limestone rocks. Under this rocky wall there is a narrow rocky bottom with sandstones which changes to soft substrate along which artificial hard structures are set (4 meteor water pipelines).",9.6 - Subtidal Muddy,0,0,0,0,2020-03-23,2023-02-01
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2020-10-22,2021-02-23,ARMS_GulfOfPiran_LukaKP_20201022_20210223,,None,0,0,0,0,2021-03-22,2021-03-22
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2020-06-22,2020-10-20,ARMS_GulfOfPiran_LukaKP_20200622_20201020,Industrial port,None,0,0,0,0,2020-12-16,2021-03-22
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2021-02-23,2021-06-22,ARMS_GulfOfPiran_LukaKP_20210223_20210622,,None,0,0,0,0,2021-03-22,2022-03-04
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2021-06-22,2021-10-27,ARMS_GulfOfPiran_LukaKP_20210622_20211027,,None,0,0,0,0,2022-03-04,2022-03-04
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2021-10-27,2022-02-28,ARMS_GulfOfPiran_LukaKP_20211027_20220228,,None,0,0,0,0,2022-03-04,2022-03-04
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2022-02-28,2022-06-20,ARMS_GulfOfPiran_LukaKP_20220228_20220620,,15.11 - Marine Anthropogenic Structures,0,0,0,0,2022-03-04,2023-01-31
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2022-06-20,2022-10-10,ARMS_GulfOfPiran_LukaKP_20220620_20221010,,15.11 - Marine Anthropogenic Structures,0,0,0,0,2023-01-31,2023-01-31
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2022-06-20,2022-10-10,ARMS_GulfOfPiran_LukaKP_20220620_20221010,,15.11 - Marine Anthropogenic Structures,0,0,0,0,2023-01-31,2023-01-31
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2023-11-13,None,ARMS_GulfOfPiran_LukaKP_20231113_00000000,,15.11 - Marine Anthropogenic Structures,0,0,0,0,2024-05-03,2024-05-03
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2022-10-10,2023-02-15,ARMS_GulfOfPiran_LukaKP_20221010_20230215,,15.11 - Marine Anthropogenic Structures,0,0,0,0,2024-05-03,2024-05-03
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2023-02-15,2023-07-17,ARMS_GulfOfPiran_LukaKP_20230215_20230717,,15.11 - Marine Anthropogenic Structures,0,0,0,0,2024-05-03,2024-05-03
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,3,2023-07-17,2023-11-13,ARMS_GulfOfPiran_LukaKP_20230717_20231113,,None,0,0,0,0,2024-05-03,2024-05-03
GulfOfPiran,Slovenia,BojaVida,45.54875000,13.55070000,22,22,2021-07-28,2022-08-16,ARMS_GulfOfPiran_BojaVida_20210728_20220816,,9.4 - Subtidal Sandy,0,0,0,0,2022-03-04,2023-01-31
GulfOfPiran,Slovenia,BojaVida,45.54875000,13.55070000,22,22,2020-06-11,2021-07-28,ARMS_GulfOfPiran_BojaVida_20200611_20210728,,9.4 - Subtidal Sandy,0,0,0,0,2021-03-22,2023-11-13
