Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_MF2000_IMG_3505.JPG,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/AA/18/AA180946C07DD999E42A18AA087DC42197C2005BE21D689C09D7E02D8B7D1FF5.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_MF2000_IMG_3508.JPG,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/19/95/1995DB399D3C2EF8F3F65C141F69681371F50DD988FAD10427EFADEC8FF451FF.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,IMG_3497.JPG,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/B3/29/B329C50666B3C2B0692D68B337B68856778E1DD5A85CDB497BF1BE91C8844414.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_2B_IMG_3493.JPG,2,Bottom,Image,https://files.plutof.ut.ee/public/orig/18/6F/186F6DD7A0BCB2F80E7CAC7EA2B3E66558FEA4026A9F05A29ACFC89567360E1D.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_4T_IMG_3488.JPG,4,Top,Image,https://files.plutof.ut.ee/public/orig/A0/87/A08706F68D67EBCCA745AF5AF95C32FB5540154078D2D8B6CB924F1F2F14DC0A.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_6T_IMG_3483.JPG,6,Top,Image,https://files.plutof.ut.ee/public/orig/21/47/2147938E21309E9EF8C9ED8F41B93ED9FFCDBFF7978584B3FD24FC83D091B1FA.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_MF2000_IMG_3503.JPG,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/DC/77/DC77D82C9F7E3B932ED0092D8414B9B74FE28BF8A3EA61C43AC2FDDB3DC2A940.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_7T_IMG_3481.JPG,7,Top,Image,https://files.plutof.ut.ee/public/orig/ED/CA/EDCA2CA4FB78C662BDA7E554F851FEC947F38B804F045154AFB126735BFE8FA5.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_MF2000_IMG_3507.JPG,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/F5/A0/F5A0E00B497D6A39BDB7CC9F8523CC3FB7DBBEC676A2D72EA54768C0F2500870.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_6B_IMG_3484.JPG,6,Bottom,Image,https://files.plutof.ut.ee/public/orig/3F/16/3F16D2792386BB2E9D16DE898FD55372E050165CD612C6834056654ADBE95D6C.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,IMG_3499.JPG,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/39/44/3944A4356C28EB6B0178BF87B8C0FF67761995A4240D65CB385045F3EFB258FC.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_3B_IMG_3491.JPG,3,Bottom,Image,https://files.plutof.ut.ee/public/orig/A5/9F/A59FFA6F178A2FEA3EA5E9A1B93343EE57F02C9F8CA3295F2B1A6BFCD6E996C5.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_5B_IMG_3486.JPG,5,Bottom,Image,https://files.plutof.ut.ee/public/orig/E6/4E/E64E9F04A903601FE8A7B5FE3A354277BBB617AE42A3B88AF2E88690A96B129D.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_9B_IMG_3478.JPG,9,Bottom,Image,https://files.plutof.ut.ee/public/orig/2A/76/2A760F91B43C3EB390A71F628A76006C8BECCF32F2E72EDFE0C4CF5BCC36B90A.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ManualObservations_ARMS_KOSTER_VH1_190527-200716_v1.xlsx,Not Provided,Not Provided,Application,https://files.plutof.ut.ee/public/orig/D5/63/D563C2A5C7BC9BAEA270C2B2482C0B92FC52BD2B5C0726D3724866A2318B0CE2.xlsx,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,IMG_3496.JPG,Not Provided,Not Provided,Image,https://files.plutof.ut.ee/public/orig/7C/90/7C90855712F93F3612EACD2B95E036F5A135582FFE1AD4E9430133B5F1072091.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_1B_IMG_3495.JPG,1,Bottom,Image,https://files.plutof.ut.ee/public/orig/81/1A/811A9AFBAD59E40A8BABFB6FB78A036C7F9F2B9CD7BD841F64EEE05E978B5A8F.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,VH1_190527-200716.xlsx,Not Provided,Not Provided,Application,https://files.plutof.ut.ee/public/orig/1C/1F/1C1FE8245A2E002099F5DA8BAABE0D3E3F8B5D4861690B75C232570E84931452.xlsx,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,ARMS_KOSTER_VH1_190527-200716_2T_IMG_3492.JPG,2,Top,Image,https://files.plutof.ut.ee/public/orig/2C/BA/2CBA42F4E5F22309A8FA95474CE03885236538C2B980DB8C26AF72B2D66ADAC3.jpg,2019-09-08,2023-11-13
