Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,5042380,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/b8ad0a54-3119-47ff-ada6-4161c68f2832.heic,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,5042379,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/53549578-a799-4ba9-bdfd-eca9f7412ee9.heic,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6307717,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/a21c8d11-b74b-4c18-b70c-d1a22d8f7ac7.png,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6307703,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/81db88ab-2489-477e-a83e-2e321226b296.png,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6307711,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/a6e8f79d-832b-4c0b-9a74-2ee514363aa9.png,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6307709,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/143db62c-ebe0-40ba-a69e-4d131c6ee69a.png,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6307708,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/ed650f24-43a0-411a-ad3a-cc7e27640e32.png,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6307705,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/3042cf02-c974-4697-a2d5-600e31b95c43.png,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6307712,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/d57ca3e6-bc4f-4cdb-bcd7-203a8c0cd237.png,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6307702,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/0c65d676-ad0a-4a7b-8f1a-7f9210ccd3f1.png,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6307706,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/09582e41-e789-43b0-af81-bf7a2a15f45f.png,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6307713,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/1a672c3e-5bb0-4cab-9334-485b3193d027.png,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6307714,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/db9dcc4e-a48c-4a7a-a44e-8c21f41c54f4.png,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6322626,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/117b2635-fd0b-4c62-9a94-86c0b40cafc4.jpg,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6322625,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/447f0d1a-2bde-48a4-8e18-e9e78c5ec0bc.jpg,2021-04-22,2024-02-12
RavHarbour,Italy,RavH1,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH1_20210422_20210722,6322627,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/0587dc68-13fe-49be-9cc0-3b424ccc55ec.jpg,2021-04-22,2024-02-12
