Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307780,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/951985f0-c71a-4024-94c5-93158b52dbbc.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307788,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/79f6da47-235e-4c78-bd5d-82c694e97567.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307792,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/e91901a5-bf3d-4ce2-aea9-f40a6e081584.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307789,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/39ae3d77-6d50-4c8b-84dc-df31285c8655.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307784,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/31f82edd-3c86-430b-b843-9896f02e8a4d.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307786,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/0647eeed-aec9-4563-8469-3366fbb45c31.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307777,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/ffac11ee-3b29-4dc7-b9be-eba1b01acd6d.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307790,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/636605a1-60e2-4ba9-bb3e-b27a3d7795a0.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307785,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/72133327-7c09-47d9-ae66-e614cf8abbda.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307794,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/ea2cc6d4-82ab-4a12-a3d9-a2d4bca35dc6.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307791,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/820554d1-1b54-44ae-97ac-67c30075c526.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307781,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/408924cc-0562-46fa-bf27-5199d3613481.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307779,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/bde42a09-375a-4933-a0d1-8f21f4c136a8.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307782,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/dc8982be-aedd-47ab-9ef6-dbf490691e4c.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307783,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/53fd97d1-3285-4be4-b76b-38ff29ee3e95.png,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,6307793,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/3208abf1-2b66-47f5-b45c-602cb1df4715.png,2021-04-22,2024-02-12
