Station,Country,ARMS_unit,Latitude,Longitude,Depth_min,Depth_max,Date_start,Date_end,Event_ID,Event_Description,IUCN_Habitat_type,Material Samples,Observations,Sequences,Associated Data,Created,Updated
RavMarina,Italy,RavM2,44.49242600,12.28762300,1.5,1.5,2021-04-22,2021-07-22,ARMS_RavMarina_RavM2_20210422_20210722,"soft sediment, pontoons",9.5 - Subtidal Sandy-Mud,0,0,0,21,2021-04-22,2024-02-12
RavMarina,Italy,RavM2,44.49242600,12.28762300,1.5,1.5,2022-04-28,2022-07-25,ARMS_RavMarina_RavM2_20220428_20220725,,9.5 - Subtidal Sandy-Mud,0,0,0,20,2023-06-26,2024-02-12
RavMarina,Italy,RavM2,44.49242600,12.28762300,1.5,1.5,2023-04-26,2023-07-26,ARMS_RavMarina_RavM2_20230426_20230726,,9.5 - Subtidal Sandy-Mud,0,0,0,20,2023-08-03,2024-02-12
RavMarina,Italy,RavM2,44.49242600,12.28762300,1.5,1.5,2024-04-24,2024-07-30,ARMS_RavMarina_RavM2_20240424_20240730,,9.5 - Subtidal Sandy-Mud,0,0,0,17,2024-10-12,2024-10-12
RavMarina,Italy,RavM1,44.49242600,12.28762300,1.5,1.5,2022-04-28,2022-07-25,ARMS_RavMarina_RavM1_20220428_20220725,,9.5 - Subtidal Sandy-Mud,0,0,0,20,2023-06-26,2024-02-12
RavMarina,Italy,RavM1,44.49242600,12.28762300,1.5,1.5,2021-04-22,2021-07-22,ARMS_RavMarina_RavM1_20210422_20210722,"soft sediment, Pontoons with moorings for pleasure boats,",9.5 - Subtidal Sandy-Mud,0,0,0,22,2021-04-22,2024-02-12
RavMarina,Italy,RavM1,44.49242600,12.28762300,1.5,1.5,2023-04-26,2023-07-26,ARMS_RavMarina_RavM1_20230426_20230726,,9.5 - Subtidal Sandy-Mud,0,0,0,20,2023-08-03,2024-02-12
RavMarina,Italy,RavM1,44.49242600,12.28762300,1.5,1.5,2024-04-24,2024-07-30,ARMS_RavMarina_RavM1_20240424_20240730,,9.5 - Subtidal Sandy-Mud,0,0,0,17,2024-10-12,2024-10-12
RavMarina,Italy,RavM3,44.49242600,12.28762300,1.5,1.5,2022-04-28,2022-07-25,ARMS_RavMarina_RavM3_20220428_20220725,,9.5 - Subtidal Sandy-Mud,0,0,0,20,2023-06-26,2024-02-12
RavMarina,Italy,RavM3,44.49242600,12.28762300,1.5,1.5,2023-04-26,2023-07-26,ARMS_RavMarina_RavM3_20230426_20230726,,9.5 - Subtidal Sandy-Mud,0,0,0,20,2023-08-03,2024-02-12
RavMarina,Italy,RavM3,44.49242600,12.28762300,1.5,1.5,2021-04-22,2021-07-22,ARMS_RavMarina_RavM3_20210422_20210722,"Habitat description: soft sediment, pontoons",9.5 - Subtidal Sandy-Mud,0,0,0,21,2021-04-22,2024-02-12
RavMarina,Italy,RavM3,44.49242600,12.28762300,1.5,1.5,2024-04-24,2024-07-30,ARMS_RavMarina_RavM3_20240424_20240730,,9.5 - Subtidal Sandy-Mud,0,0,0,17,2024-10-12,2024-10-12
