Station,Country,ARMS_unit,Latitude,Longitude,Depth_min,Depth_max,Date_start,Date_end,Event_ID,Event_Description,IUCN_Habitat_type,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Roscoff,France,BasBloS1,48.72872000,-3.95894000,12,12,2018-07-11,2018-10-25,ARMS_Roscoff_BasBloS1_20180711_20181025,"natural rocky reef site ? MPA. 

from frederique: last year (2018), we did not make the photo for the first ARMS (we had problems with the camera), so there are missing data for BasBLo-2018.",9.2 - Subtidal Rock and Rocky Reefs,0,0,0,0,2019-11-05,2019-12-04
Roscoff,France,BasBloS1,48.72872000,-3.95894000,12,12,2020-05-29,2021-05-18,ARMS_Roscoff_BasBloS1_20200529_20210518,,None,0,0,0,0,2020-12-15,2023-03-22
Roscoff,France,BasBloS1,48.72872000,-3.95894000,12,12,2019-06-12,2020-05-27,ARMS_Roscoff_BasBloS1_20190612_20200527,,9.2 - Subtidal Rock and Rocky Reefs,0,0,0,0,2019-11-05,2023-11-13
Roscoff,France,MarBloR1,48.71751000,-3.96649000,1,1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,Marina,9.2 - Subtidal Rock and Rocky Reefs,0,0,0,18,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,48.71751000,-3.96649000,1,1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,Marina (Roscoff-Bloscon),9.2 - Subtidal Rock and Rocky Reefs,0,0,0,18,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,48.71751000,-3.96649000,1,1,2020-06-12,2020-09-08,ARMS_Roscoff_MarBloR1_20200612_20200908,,9.2 - Subtidal Rock and Rocky Reefs,0,0,0,0,2020-12-15,2023-11-13
Roscoff,France,MarBloR3,48.71751000,-3.96649000,1,1,2020-06-12,2020-09-10,ARMS_Roscoff_MarBloR3_20200612_20200910,,9.2 - Subtidal Rock and Rocky Reefs,0,0,0,0,2020-12-15,2023-11-13
Roscoff,France,MarBloR3,48.71751000,-3.96649000,1,1,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,,9.2 - Subtidal Rock and Rocky Reefs,0,0,0,18,2019-11-25,2023-11-13
Roscoff,France,MarBloR2,48.71751000,-3.96649000,1,1,2020-06-12,2020-09-09,ARMS_Roscoff_MarBloR2_20200612_20200909,,9.2 - Subtidal Rock and Rocky Reefs,0,0,0,0,2020-12-15,2023-11-13
Roscoff,France,MarBloR2,48.71751000,-3.96649000,1,1,2019-06-12,2019-09-17,ARMS_Roscoff_MarBloR2_20190612_20190917,,9.2 - Subtidal Rock and Rocky Reefs,0,0,0,18,2019-11-25,2023-11-13
Roscoff,France,BasBloS3,48.72872000,-3.95894000,12,12,2019-06-12,2020-05-29,ARMS_Roscoff_BasBloS3_20190612_20200529,,9.2 - Subtidal Rock and Rocky Reefs,0,0,0,0,2019-11-25,2023-11-13
Roscoff,France,BasBloS3,48.72872000,-3.95894000,12,12,2020-05-29,2021-05-19,ARMS_Roscoff_BasBloS3_20200529_20210519,,None,0,0,0,0,2020-12-15,2023-03-22
Roscoff,France,BasBloS2,48.72872000,-3.95894000,12,12,2020-05-29,2021-05-19,ARMS_Roscoff_BasBloS2_20200529_20210519,,None,0,0,0,0,2020-12-15,2023-03-22
Roscoff,France,BasBloS2,48.72872000,-3.95894000,12,12,2019-06-12,2020-05-28,ARMS_Roscoff_BasBloS2_20190612_20200528,,9.2 - Subtidal Rock and Rocky Reefs,0,0,0,0,2019-11-25,2023-11-13
