Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5603823,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/c01c5598-54a9-4983-9cdb-f2a56c9755d4.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601957,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/45e59d5b-2290-49cf-8b3f-d1d5eb0f589d.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601958,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/a205ddfc-1055-4745-8f29-19fe3c418581.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601955,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/a03857f4-1e0b-4a8a-b7de-8103c30c44d8.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601960,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/b2543249-041e-4793-92e6-bf1e96792e63.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601956,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/bb3ba68a-404a-4cbc-82f6-0878d11d6883.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601959,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/363a36fc-3f0e-4a13-bc2a-62dec2ffe2e1.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601961,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/76a1fb9e-2cd6-4d2f-872c-acdc16ebc0f5.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601971,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/e20fa9f9-bd7a-4cff-9bb9-47ea65b2a2b4.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601962,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/89cf20dc-9c09-4413-8ffc-1c45362689e8.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601966,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/4ca1d62e-6b4b-4f2a-bd73-5db577c1b065.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601965,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/3afc04d9-72f1-4953-9296-d512c0947c0a.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601964,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/dfdc56bb-0c62-4b56-994d-fed2170768d1.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601968,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/104ae1ac-52e1-41b5-b5c5-d9732dd46964.jpg,2019-11-11,2023-02-17
Rothera,Antarctica,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,5601963,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/82a6b104-bc1a-46ef-9126-94ddc669e22f.jpg,2019-11-11,2023-02-17
