Sample_ID,Country,Observatory_ID,ARMS_ID,Deploy_Date,Collect_Date,Gene_COI,Gene_18S,Gene_ITS,Gene_COI_negative_control,Gene_18S_negative_control,Gene_ITS_negative_control,Latitude,Longitude,Depth_min,Depth_max,SequencingRunRepeat
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100,BEL,BelgiumCoast,AJJBC89,2/25/2021,8/19/2021,ERR12541385,ERR12541287,none,ERR12541482,ERR12541384,none,51.64971,2.789374,20.815624,20.815624,run 1
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500,BEL,BelgiumCoast,AJJBC89,2/25/2021,8/19/2021,ERR12541386,ERR12541288,none,ERR12541482,ERR12541384,none,51.64971,2.789374,20.815624,20.815624,run 1
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_SF40,BEL,BelgiumCoast,AJJBC89,2/25/2021,8/19/2021,ERR12541387,ERR12541289,none,ERR12541482,ERR12541384,none,51.64971,2.789374,20.815624,20.815624,run 1
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100,BEL,BelgiumCoast,AJJC81,5/6/2020,10/12/2020,ERR7125481,ERR7125480,ERR7125482,ERR7125534,ERR7125533,ERR7125535,51.6533567,2.79178508,38,38,run 1
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500,BEL,BelgiumCoast,AJJC81,5/6/2020,10/12/2020,ERR7125484,ERR7125483,ERR7125485,ERR7125534,ERR7125533,ERR7125535,51.6533567,2.79178508,38,38,run 1
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100,BEL,BelgiumCoast,AJJC86,5/6/2020,10/12/2020,ERR7125487,ERR7125486,ERR7125488,ERR7125534,ERR7125533,ERR7125535,51.65264,2.79369998,37,37,run 1
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500,BEL,BelgiumCoast,AJJC86,5/6/2020,10/12/2020,ERR7125490,ERR7125489,ERR7125491,ERR7125534,ERR7125533,ERR7125535,51.65264,2.79369998,37,37,run 1
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100,BEL,BelgiumCoast,AJJCD78,5/6/2020,10/12/2020,ERR7125493,ERR7125492,ERR7125494,ERR7125534,ERR7125533,ERR7125535,51.65374944,2.79602577,38,38,run 1
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500,BEL,BelgiumCoast,AJJCD78,5/6/2020,10/12/2020,ERR12541388,ERR12541290,none,ERR12541482,ERR12541384,none,51.65374944,2.79602577,38,38,run 1
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF100,BEL,BelgiumCoast,AJJCD78,2/25/2021,8/19/2021,ERR12541389,ERR12541291,none,ERR12541482,ERR12541384,none,51.65374944,2.79602577,38,38,run 1
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF500,BEL,BelgiumCoast,AJJCD78,2/25/2021,8/19/2021,ERR12541390,ERR12541292,none,ERR12541482,ERR12541384,none,51.65374944,2.79602577,38,38,run 1
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40,BEL,BelgiumCoast,AJJCD78,2/25/2021,8/19/2021,ERR12541391,ERR12541293,none,ERR12541482,ERR12541384,none,51.65374944,2.79602577,38,38,run 1
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,BEL,BelgiumCoast,AJJCD89,2/25/2021,8/19/2021,ERR12541392,ERR12541294,none,ERR12541482,ERR12541384,none,51.64505,2.793074,18.64,18.64,run 1
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,BEL,BelgiumCoast,AJJCD89,2/25/2021,8/19/2021,ERR12541393,ERR12541295,none,ERR12541482,ERR12541384,none,51.64505,2.793074,18.64,18.64,run 1
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40,BEL,BelgiumCoast,AJJCD89,2/25/2021,8/19/2021,ERR12541394,ERR12541296,none,ERR12541482,ERR12541384,none,51.64505,2.793074,18.64,18.64,run 1
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100,BEL,BelgiumCoast,AZBE1,9/24/2019,3/3/2020,ERR7125498,ERR7125496,none,ERR7125582,ERR7125581,none,51.364298,3.20701,7,7,run 1
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,BEL,BelgiumCoast,AZBE1,9/24/2019,3/3/2020,ERR4914228,ERR4914227,ERR4914229,ERR4914160,ERR4914102,ERR4914218,51.364298,3.20701,7,7,run 1
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40,BEL,BelgiumCoast,AZBE1,9/24/2019,3/3/2020,ERR7125478,ERR7125477,ERR7125479,ERR7125534,ERR7125533,ERR7125535,51.364298,3.20701,7,7,run 1
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH,BEL,BelgiumCoast,AZFPin,7/12/2018,8/18/2018,ERR7125497,ERR7125495,none,ERR7125582,ERR7125581,none,51.66522,2.82558,37.5,37.5,run 1
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH,BEL,BelgiumCoast,AZFPin,7/12/2018,8/18/2018,ERR4018736,ERR4605228,ERR4018735,ERR4018737,ERR4605902,ERR4018475,51.66522,2.82558,37.5,37.5,run 1
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF100,BEL,BelgiumCoast,BirkenfelsA,6/17/2020,3/9/2021,none,none,none,none,none,none,51.64816667,2.53583333,38.81,38.81,run 1
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF500,BEL,BelgiumCoast,BirkenfelsA,6/17/2020,3/9/2021,ERR12541395,ERR12541297,none,ERR12541482,ERR12541384,none,51.64816667,2.53583333,38.81,38.81,run 1
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_SF40,BEL,BelgiumCoast,BirkenfelsA,6/17/2020,3/9/2021,ERR12541396,ERR12541298,none,ERR12541482,ERR12541384,none,51.64816667,2.53583333,38.81,38.81,run 1
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF100,BEL,BelgiumCoast,BirkenfelsB,6/17/2020,3/9/2021,ERR12541397,ERR12541299,none,ERR12541482,ERR12541384,none,51.64816667,2.53583333,38.81,38.81,run 1
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF500,BEL,BelgiumCoast,BirkenfelsB,6/17/2020,3/9/2021,none,none,none,none,none,none,51.64816667,2.53583333,38.81,38.81,run 1
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_SF40,BEL,BelgiumCoast,BirkenfelsB,6/17/2020,3/9/2021,ERR12541398,ERR12541300,none,ERR12541482,ERR12541384,none,51.64816667,2.53583333,38.81,38.81,run 1
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF100,BEL,BelgiumCoast,CoastbustersA,4/22/2021,10/8/2021,ERR12541399,ERR12541301,none,ERR12541482,ERR12541384,none,51.11486388,2.57857672,9,9,run 1
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF500,BEL,BelgiumCoast,CoastbustersA,4/22/2021,10/8/2021,none,none,none,none,none,none,51.11486388,2.57857672,9,9,run 1
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_SF40,BEL,BelgiumCoast,CoastbustersA,4/22/2021,10/8/2021,ERR12541400,ERR12541302,none,ERR12541482,ERR12541384,none,51.11486388,2.57857672,9,9,run 1
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF100,BEL,BelgiumCoast,CoastbustersB,4/22/2021,2/15/2023,none,none,none,none,none,none,51.11529044,2.57995513,9,9,run 1
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF500,BEL,BelgiumCoast,CoastbustersB,4/22/2021,2/15/2023,none,none,none,none,none,none,51.11529044,2.57995513,9,9,run 1
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_SF40,BEL,BelgiumCoast,CoastbustersB,4/22/2021,2/15/2023,none,none,none,none,none,none,51.11529044,2.57995513,9,9,run 1
ARMS_Bodo_GStraB_20190621_20201207_MF100,NOR,Bodo,GStraB,6/21/2019,12/7/2020,ERR9632090,ERR9632075,none,ERR9632065,ERR9632062,none,67.24035,14.711733,2,2,run 1
ARMS_Bodo_GStraB_20190621_20201207_MF500,NOR,Bodo,GStraB,6/21/2019,12/7/2020,ERR9632091,ERR9632076,none,ERR9632065,ERR9632062,none,67.24035,14.711733,2,2,run 1
ARMS_Bodo_GStraB_20190621_20201207_SF50_A,NOR,Bodo,GStraB,6/21/2019,12/7/2020,ERR9632089,ERR9632074,none,ERR9632065,ERR9632062,none,67.24035,14.711733,2,2,run 1
