ObservatoryID,UnitID,EventID,Filename,Filetype,PlateNumber,Position,Download URL
Crete,1HERP,ARMS_Crete_1HERP_20200903_20210626,5525684,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/df20ac65-f6cc-4b09-8108-e5538b618e32.jpg
Getxo,G3,ARMS_Getxo_G3_20200624_20201103,3570136,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/0ff10fd2-3b70-4038-b3d5-62e8f9445738.jpg
Getxo,G3,ARMS_Getxo_G3_20190624_20191016,3475191,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e23b4d31-2577-4164-b55c-40e931070c85.jpg
Svalbard,S1,ARMS_Svalbard_S1_20180706_20190806,5520144,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/2e8b928c-d63e-413f-876c-edde1c998d0b.jpg
Svalbard,S1B,ARMS_Svalbard_S1B_20200806_20220731,6812966,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/1806e686-570d-4b83-bc94-914c69c3cb91.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574176,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e5f172ac-8dac-4931-abae-5bc25bcf4439.jpg
TZS,Kummelkobben,ARMS_TZS_Kummelkobben_20200608_20201120,3574507,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/58506189-5fe6-4e01-ac3f-b85c81d1e188.jpg
Getxo,G1,ARMS_Getxo_G1_20200624_20201103,3569736,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/cacb6da1-768b-4306-9b68-24dafe704c8e.jpg
SWC,Marstrand3,ARMS_SWC_Marstrand3_20200228_20200527,3569057,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/92ddcc0f-d76d-41f8-a78f-f53373533dcd.jpg
Koster,VH3,ARMS_Koster_VH3_20180418_20190527,3452703,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c5e28582-c2f9-46f8-bfa1-67074f3809db.jpg
Crete,1HERP,ARMS_Crete_1HERP_20200903_20210626,5525727,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e4446789-0d8a-417d-a672-ce1ffeca0958.jpg
TZS,Angbat,ARMS_TZS_Angbat_20180711_20181106,3483948,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/512e5902-6b16-48b9-8f4a-cbb6d8606135.jpg
Koster,VH2,ARMS_Koster_VH2_20180418_20180906,3452560,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/a2c07220-f6c0-47ac-bd7e-cb0e97b67cb4.jpg
Svalbard,S1B,ARMS_Svalbard_S1B_20200806_20220731,6811883,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c059c195-5333-4e12-938f-2ef3fa11c039.jpg
Plymouth,MBA1C,ARMS_Plymouth_MBA1C_20200717_20200923,3567862,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/4f4c1a2a-84dd-4ec7-b436-eabbd7d88877.jpg
SWC,Preemraff1,ARMS_SWC_Preemraff1_20200401_20200715,3569115,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/5e36cd22-eccd-415e-b88c-b7aa4948c4ab.jpg
Eilat,Katza2,ARMS_Eilat_Katza2_20181024_20200803,3553504,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/cfbbf7cc-7a14-420e-83a2-4d6df189f40f.jpg
Svalbard,S1C,ARMS_Svalbard_S1C_20200806_20220803,6813568,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e3a96cf5-2db1-476a-9951-cc50c12fd1fa.jpg
Svalbard,S2,ARMS_Svalbard_S2_20190805_20200801,3567190,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/01c24f80-429d-47a1-8b50-4f9fbf64743e.jpg
Getxo,G3,ARMS_Getxo_G3_20200624_20201103,3570139,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/ab4905b3-6c3b-44d0-99a1-9d9de8b2d367.jpg
Gdynia,GDY1,ARMS_Gdynia_GDY1_20180813_20191029,3456247,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/806b3203-94e0-40df-80fd-3ff6b9df0564.jpg
Koster,VH1,ARMS_Koster_VH1_20180418_20190527,3452577,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/7c6e6f22-ee10-4912-828e-a8f0853ae2b9.jpg
Eilat,NR2,ARMS_Eilat_NR2_20181017_20200524,3551306,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/9b275ba4-0196-43f1-ba7d-b18bd402a800.jpg
Getxo,G3,ARMS_Getxo_G3_20190624_20191016,3475299,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/4490eca2-4ebc-40d3-83ae-84083d1db723.jpg
Svalbard,S2,ARMS_Svalbard_S2_20190805_20200801,3566912,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/3b864189-2bf3-4348-b5ff-02afa8b068d7.jpg
TZS,Spikarna,ARMS_TZS_Spikarna_20200608_20201118,3574419,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/df3910e5-b979-4acd-bd4f-c2c70f9d9ba1.jpg
Svalbard,S1C,ARMS_Svalbard_S1C_20200806_20220803,6813661,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/d64c3078-5f20-4ce9-b278-b123f3204ace.jpg
Crete,2UBPC,ARMS_Crete_2UBPC_20190924_20201211,5526071,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/57786748-797a-4e83-8aae-24f47a910596.jpg
Crete,1HERP,ARMS_Crete_1HERP_20190612_20200210,5519592,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/bc049c43-82d5-493a-ad99-8d4acfd805bc.jpg
Crete,2UBPC,ARMS_Crete_2UBPC_20190924_20201211,5526111,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/4a1e39b3-1012-4009-9696-1702b7b2958a.jpg
BelgiumCoast,AZFPin,ARMS_BelgiumCoast_AZFPin_20180712_20180818,3457323,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/360027d7-4023-464b-9472-aac5af3483aa.jpg
Getxo,G3,ARMS_Getxo_G3_20200624_20201103,3570150,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c43612c1-55bc-4d6b-bcb8-86c7a5f35b93.jpg
Crete,1HERP,ARMS_Crete_1HERP_20200903_20210626,5525686,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/8dccea0b-041d-45c5-bcb6-38dab96cef7d.jpg
Crete,1HERP,ARMS_Crete_1HERP_20200903_20211012,5525945,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/fd8d9811-801f-4657-8316-03f5af31a035.jpg
Crete,1HERP,ARMS_Crete_1HERP_20190612_20191011,3453472,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/5b08d34a-f0a8-4ccb-b2d1-737c61df8a24.jpg
Crete,1HERP,ARMS_Crete_1HERP_20190612_20191011,3453444,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/594b3170-d9af-46b5-a816-cd33e236881f.jpg
Getxo,G2,ARMS_Getxo_G2_20200624_20201103,3569985,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/4d4204c3-c115-485e-9dd7-6cda3c42d6ea.jpg
Getxo,G2,ARMS_Getxo_G2_20200624_20201103,3569955,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/73ca7058-86a9-427c-899a-cd0039e80223.jpg
Eilat,NR2,ARMS_Eilat_NR2_20181017_20200524,3551254,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/d7e2f31c-7fbf-4e65-aa62-8bbd76e1cbdd.jpg
Gdynia,GDY1,ARMS_Gdynia_GDY1_20190619_20191029,3456405,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/79c3f23a-cd34-4ada-97d3-ebf81b56c401.jpg
Getxo,G3,ARMS_Getxo_G3_20190624_20191016,3475260,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/bbb5c4da-a30a-4c49-8fe5-0e8d8f6d52d0.jpg
SWC,Varberg2,ARMS_SWC_Varberg2_20200213_20200603,3465377,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/d0dc6712-b395-4983-b152-41ee5e6aced0.jpg
Getxo,G2,ARMS_Getxo_G2_20200624_20201103,3569958,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/17db9222-6cc3-41f9-bf4d-e598ab7251eb.jpg
SWC,Varberg3,ARMS_SWC_Varberg3_20200213_20200603,3569198,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/107c2302-aca6-4d61-8fce-5b9bd7e41b78.jpg
BelgiumCoast,AZFPin,ARMS_BelgiumCoast_AZFPin_20180712_20180818,3457320,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/d29ee778-4bb6-4081-8e7c-99d3e0d56bdc.jpg
Getxo,G2,ARMS_Getxo_G2_20190624_20191016,3475569,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/0adcad29-2f9b-4a57-a49a-14681f3b7d67.jpg
TZS,Spikarna,ARMS_TZS_Spikarna_20210607_20211122,6273474,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/17084e06-84b4-4440-aa02-9f033354fd6c.jpg
TZS,Angbat,ARMS_TZS_Angbat_20200608_20201117,3574292,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/ed3dc242-cfb6-4589-bb24-c40bb7c408cc.jpg
Gdynia,GDY1,ARMS_Gdynia_GDY1_20190619_20191029,3456348,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/7302092e-4a32-4f7b-8112-d1d50d915b1b.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766735,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/11b0d18a-2e50-4c49-9648-d1f9df4ffe19.jpg
TZS,Angbat,ARMS_TZS_Angbat_20180711_20181106,3483941,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/d3c73dd5-e8b4-41b7-aa36-7df7a675ee0e.jpg
Laeso,Laeso3,ARMS_Laeso_Laeso3_20190819_20200811,3555210,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/0a4ae47a-6d91-4502-bd89-b8ae7e05d312.jpg
Crete,1HERP,ARMS_Crete_1HERP_20190612_20200618,5525280,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/9ccf46bc-cef8-480f-a551-3524108b1bc9.jpg
Galway,Gurr2,ARMS_Galway_Gurr2_20210720_20220907,5572497,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/dce15f14-df32-4186-8ebc-ff32e8e8570f.jpg
Svalbard,S2,ARMS_Svalbard_S2_20190805_20200801,3566982,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/28bbccdd-0530-45fc-ad78-1c8451d93ef5.jpg
BelgiumCoast,AZFPin,ARMS_BelgiumCoast_AZFPin_20180712_20180818,3457285,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/15f5f4e2-186f-49d3-b829-631b125db4e1.jpg
Crete,1HERP,ARMS_Crete_1HERP_20200903_20210626,5525759,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e7c24808-de56-4244-b96c-22bddb8381d1.jpg
Gdynia,GDY1,ARMS_Gdynia_GDY1_20190619_20191029,3456408,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/397afecd-795e-4ad8-b897-018993a26d26.jpg
Koster,VH1,ARMS_Koster_VH1_20200716_20210608,4614856,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/8f004854-258a-4065-9ab0-60d52c39ccc4.jpg
Eilat,NR2,ARMS_Eilat_NR2_20181017_20200524,3551323,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/246445d3-10e2-4886-a7b9-9ddc85d78d07.jpg
SWC,Preemraff2,ARMS_SWC_Preemraff2_20200401_20200715,3569145,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/00ed3154-118c-4f98-b065-6ad48c2c2e97.jpg
Svalbard,S1A,ARMS_Svalbard_S1A_20200805_20220729,6811735,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/fbd6640d-3872-47c4-81d0-6fa056b70363.jpg
Limfjord,Green33,ARMS_Limfjord_Green33_20190618_20191029,3452911,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/9c2af45f-52b1-419e-9ccf-ac1439951c84.jpg
TZS,Spikarna,ARMS_TZS_Spikarna_20200608_20201118,3574365,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/56ddb070-46b4-44c4-810e-fc0ca4126bef.jpg
TZS,Angbat,ARMS_TZS_Angbat_20180711_20181106,3483940,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/da4ccbff-df72-461c-b225-0ad2282c11a6.jpg
Crete,1HERP,ARMS_Crete_1HERP_20200903_20210626,5525749,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/6840fc76-528b-44a6-ac5f-8514be5687ce.jpg
Svalbard,S2,ARMS_Svalbard_S2_20190805_20200801,3566890,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/7c9b64e7-1c6e-4b58-959e-365ff9c66455.jpg
Eilat,NR2,ARMS_Eilat_NR2_20181017_20200524,3551288,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c99fbd77-3b7b-48a2-8730-b9a8d2a96792.jpg
SWC,Bjorko1,ARMS_SWC_Bjorko1_20200131_20200518,3568923,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/87f6bbe6-5f11-442c-a26e-594768cb63a4.jpg
