EventID,MaterialSampleID,Gene_COI,Gene_COI_negative_control,Gene_COI_demultiplexed,Gene_COI_comment,Gene_ITS,Gene_ITS_negative_control,Gene_ITS_demultiplexed,Gene_ITS_comment,Gene_18S,Gene_18S_negative_control,Gene_18S_demultiplexed,Gene_18S_comment,OriginalSampleID,ReplicateMaterialSampleID,SequencingRunRepeat,SequencingRunComment
ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100,ERR12541385,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541287,ERR12541384,MiSeq (indices) / cutadapt (primers),no successful amplification & unsuccessful sequencing: no OTUs/ASVs,ARMS_BelgiumCoast_JJ-BC89_20210225-20210819_MF100_DMSO_A,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_r1,first sequencing run,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500,ERR12541386,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541288,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-BC89_20210225-20210819_MF500_DMSO_A,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_r1,first sequencing run,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_SF40,ERR12541387,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541289,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-BC89_20210225-20210819_SF40_DMSO_A,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_SF40_r1,first sequencing run,
ARMS_BelgiumCoast_AJJC81_20200506_20201012,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100,ERR7125481,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125482,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125480,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-C8-1_200506-201012_MF100_DMSO_A,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_r1,first sequencing run,
ARMS_BelgiumCoast_AJJC81_20200506_20201012,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500,ERR7125484,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125485,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125483,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-C8-1_200506-201012_MF500_DMSO_A,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500_r1,first sequencing run,
ARMS_BelgiumCoast_AJJC86_20200506_20201012,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100,ERR7125487,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125488,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125486,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-C8-6_200506-201012_MF100_DMSO_A,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_r1,first sequencing run,
ARMS_BelgiumCoast_AJJC86_20200506_20201012,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500,ERR7125490,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125491,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125489,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-C8-6_200506-201012_MF500_DMSO_A,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500_r1,first sequencing run,
ARMS_BelgiumCoast_AJJCD78_20200506_20201012,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100,ERR7125493,ERR7125534,MiSeq (indices) / cutadapt (primers),none,ERR7125494,ERR7125535,MiSeq (indices) / cutadapt (primers),none,ERR7125492,ERR7125533,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-CD78_200506-201012_MF100_DMSO_A,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100_r1,first sequencing run,
ARMS_BelgiumCoast_AJJCD78_20200506_20201012,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500,ERR12541388,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541290,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-CD78_200506-201012_MF500_DMSO_A,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500_r1,first sequencing run,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF100,ERR12541389,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541291,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-CD78_20210225-20210819_MF100_DMSO_A,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF100_r1,first sequencing run,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF500,ERR12541390,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541292,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-CD78_20210225-20210819_MF500_DMSO_A,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF500_r1,first sequencing run,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40,ERR12541391,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541293,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-CD78_20210225-20210819_SF40_DMSO_A,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40_r1,first sequencing run,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,ERR12541392,ERR12541482,MiSeq (indices) / cutadapt (primers),none,none,none,none,discontinued,ERR12541294,ERR12541384,MiSeq (indices) / cutadapt (primers),none,ARMS_BelgiumCoast_JJ-CD89_20210225-20210819_MF100_DMSO_A,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100_r1,first sequencing run,
