ObservatoryID,UnitID,EventID,Filename,Filetype,PlateNumber,Position,Download URL
SWC,Marstrand2,ARMS_SWC_Marstrand2_20200228_20200527,ARMS_SwedishWestCoast_Marstrand2_200228_200527.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/15/C3/15C3B5FA030066BFB62C579DC8745F67D19D34E5718DD77B336554818BD09121.xlsx
Laeso,Laeso2,ARMS_Laeso_Laeso2_20190819_20200811,ARMS_Lasoe2_190819-200811_VisualObservations.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/EC/4E/EC4E39C729D29ED00DC3BDF71D0F029D52B164A5129CD97CA9F88699E4C24BEE.xlsx
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,ImageDescription_ARMS_BelgiumCoast_AJJC86_20200506_20201012_corrected.csv,Text,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/5D/80/5D80887B824F8A03733293762A751896B54E580153E6FAB045DE55D996011DCE.csv
Koster,VH1,ARMS_Koster_VH1_20190527_20200716,VH1_190527-200716.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/1C/1F/1C1FE8245A2E002099F5DA8BAABE0D3E3F8B5D4861690B75C232570E84931452.xlsx
Galway,Gurr2,ARMS_Galway_Gurr2_20200721_20210707,ManualObservations_ARMS_Galway_GURR2_200721_210707.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/70/18/7018098188FB933C0C666833973EE94DB107F4F82F1F1451C093A9AE9A4559F0.xlsx
SWC,Hjuvik1,ARMS_SWC_Hjuvik1_20200131_20200518,ARMS_SwedishWestCoast_Hjuvik1_200131_200518.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/B8/8F/B88F16EE2E0038DA344052E61AA125BDDA36AF8456299D1949055124DA1AB4D9.xlsx
Laeso,Laeso1,ARMS_Laeso_Laeso1_20190819_20200811,ARMS_Lasoe1_190819-200811_VisualObservations.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/F8/08/F808720D8096C824BD972A245D1FF079647A966F79EE8C4AF9B742055F8A89F8.xlsx
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,ImageDescription_ARMS_BelgiumCoast_AJJC81_20200506_20201012.csv,Text,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/76/C7/76C7094160EE603598BA29C6CC79B747E7B10B6F4C00AD9A387307D5D63AEE91.csv
Koster,VH3,ARMS_Koster_VH3_20190527_20200716,ManualObservations_ARMS_KOSTER_VH3_190527-200716_v1.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/4A/DE/4ADEC17B3DEDCA79150A401FDA4EF14B50048B79613898EAB54E04F81CDD071D.xlsx
Galway,Gurr1,ARMS_Galway_Gurr1_20200721_20210708,ARMS_Galway_GURR1_200721_210708_Images.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/9F/03/9F03BAC7E4932224EC4CC0A9FBBA0E5EF9469D8173D04E7EF86B2305F41AAE7D.xlsx
