station,arms_id,qc_param,qc_flag,gsheets_data,plutoF_data
AdriaticEastCoast,Ven1,"latitude, longitude, depth",pass,,
AdriaticEastCoast,Ven1,"latitude, longitude, depth",pass,,
AdriaticEastCoast,Ven1,"latitude, longitude, depth",pass,,
AdriaticEastCoast,Ven2,"latitude, longitude, depth",pass,,
AdriaticEastCoast,Ven2,"latitude, longitude, depth",pass,,
AdriaticEastCoast,Ven2,"latitude, longitude, depth",pass,,
AdriaticEastCoast,Ven3,"latitude, longitude, depth",pass,,
AdriaticEastCoast,Ven3,"latitude, longitude, depth",pass,,
AdriaticEastCoast,Ven3,"latitude, longitude, depth",pass,,
BelgiumCoast,AJJC81,"latitude, longitude, depth",pass,,
BelgiumCoast,AJJC86,"latitude, longitude, depth",pass,,
BelgiumCoast,AJJCD78,"latitude, longitude, depth",pass,,
BelgiumCoast,AJJCD78,"latitude, longitude, depth",pass,,
BelgiumCoast,AJJCD89,"latitude, longitude, depth",pass,,
BelgiumCoast,AZBE1,"latitude, longitude, depth",pass,,
BelgiumCoast,AZBW1,"latitude, longitude, depth",pass,,
BelgiumCoast,AZFPout,"latitude, longitude, depth",pass,,
BelgiumCoast,BirkenfelsA,"latitude, longitude, depth",pass,,
BelgiumCoast,BirkenfelsB,"latitude, longitude, depth",pass,,
BelgiumCoast,CoastbustersA,"latitude, longitude, depth",pass,,
BelgiumCoast,CoastbustersB,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerA,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerA,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerA,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerB,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerB,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerB,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerC,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerC,"latitude, longitude, depth",pass,,
BelgiumCoast,CPowerC,"latitude, longitude, depth",pass,,
Bodo,GStraM,"latitude, longitude, depth",pass,,
Bodo,GStraM,"latitude, longitude, depth",pass,,
Bodo,GStraB,"latitude, longitude, depth",pass,,
Bodo,GStraB,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,1HERP,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Crete,2UBPC,"latitude, longitude, depth",pass,,
Daneborg,Daneborg2,arms_id,fail,Daneborg2,PT3
Daneborg,Daneborg3,arms_id,fail,Daneborg3,PT3
Daneborg,Daneborg1,latitude,value is different but not significantly,74.3300,74.33040000
Daneborg,Daneborg1,longitude,value is different but not significantly,-20.3400,-20.34040000
Daneborg,Daneborg1,depth,fail,10,15
Eilat,NR1,"latitude, longitude, depth",pass,,
Eilat,NR1,"latitude, longitude, depth",pass,,
Eilat,NR2,"latitude, longitude, depth",pass,,
Eilat,NR2,"latitude, longitude, depth",pass,,
Eilat,NR3,"latitude, longitude, depth",pass,,
Eilat,Katza1,"latitude, longitude, depth",pass,,
Eilat,Katza1,"latitude, longitude, depth",pass,,
Eilat,Katza2,"latitude, longitude, depth",pass,,
Eilat,Katza2,"latitude, longitude, depth",pass,,
Eilat,Katza3,"latitude, longitude, depth",pass,,
Galway,Gurr3,"latitude, longitude, depth",pass,,
Galway,Gurr3,"latitude, longitude, depth",pass,,
Galway,Gurr2,"latitude, longitude, depth",pass,,
Galway,Gurr2,"latitude, longitude, depth",pass,,
Galway,Gurr1,"latitude, longitude, depth",pass,,
Galway,Gurr1,"latitude, longitude, depth",pass,,
Galway,Gurr4,arms_id,fail,Gurr4,PT3
Gdynia,GDY1,"latitude, longitude, depth",pass,,
Gdynia,GDY1,"latitude, longitude, depth",pass,,
Gdynia,GDY1,"latitude, longitude, depth",pass,,
Gdynia,GDY1,"latitude, longitude, depth",pass,,
Getxo,G3,"latitude, longitude, depth",pass,,
Getxo,G3,"latitude, longitude, depth",pass,,
Getxo,G1,"latitude, longitude, depth",pass,,
Getxo,G1,"latitude, longitude, depth",pass,,
Getxo,G1,"latitude, longitude, depth",pass,,
Getxo,G2,"latitude, longitude, depth",pass,,
Getxo,G2,"latitude, longitude, depth",pass,,
Getxo,G2,"latitude, longitude, depth",pass,,
GulfOfPiran,Fornace,"latitude, longitude, depth",pass,,
GulfOfPiran,Fornace,"latitude, longitude, depth",pass,,
GulfOfPiran,Fornace,"latitude, longitude, depth",pass,,
GulfOfPiran,Fornace,"latitude, longitude, depth",pass,,
GulfOfPiran,BojaVida,"latitude, longitude, depth",pass,,
GulfOfPiran,BojaVida,"latitude, longitude, depth",pass,,
GulfOfPiran,BojaVida,"latitude, longitude, depth",pass,,
GulfOfPiran,BojaVida,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
GulfOfPiran,LukaKP,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH2,"latitude, longitude, depth",pass,,
