Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,40827526_ARMS_KOSTER_VH1_190527-200716_MF2000_IMG_3505.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/3ee30cc6-a483-496c-8e84-90a0f06874a3.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,220631959_ARMS_KOSTER_VH1_190527-200716_MF2000_IMG_3508.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/230a5719-4bc7-4312-9769-e396244a7fa0.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,682372611_IMG_3497.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/da20178c-50d5-4382-8887-44056dd7cbc4.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,743524285_ARMS_KOSTER_VH1_190527-200716_2B_IMG_3493.JPG,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/11c1250b-5154-46e4-b190-e093fa356f38.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,896579597_ARMS_KOSTER_VH1_190527-200716_4T_IMG_3488.JPG,4,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/786a0215-0b83-4efd-ac5b-1e30274d8a67.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,929402710_ARMS_KOSTER_VH1_190527-200716_6T_IMG_3483.JPG,6,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/7e2c3f51-6048-4b14-85da-f6f1d0ab3150.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,31615861_ARMS_KOSTER_VH1_190527-200716_MF2000_IMG_3503.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/ab6f90e2-468d-41ce-bfbc-d9012a782ceb.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,885135526_ARMS_KOSTER_VH1_190527-200716_7T_IMG_3481.JPG,7,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/4030a16c-4a1f-4824-998f-804bccf2ced7.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,797568095_ARMS_KOSTER_VH1_190527-200716_MF2000_IMG_3507.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/c84166c4-32b8-4788-a850-b4d9f59e01df.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,715395096_ARMS_KOSTER_VH1_190527-200716_6B_IMG_3484.JPG,6,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/f6a0da55-9faf-4e27-a57c-efaa6b6cf1a3.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,723363085_IMG_3499.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/6c04e786-405c-4338-8fa4-fe3b9c004c8d.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,923697815_ARMS_KOSTER_VH1_190527-200716_3B_IMG_3491.JPG,3,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/ab6490df-19cf-436e-bcf0-9e0d0b7d27e7.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,421510099_ARMS_KOSTER_VH1_190527-200716_5B_IMG_3486.JPG,5,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/677ed698-436e-47ec-87f8-933f9ba0821f.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,311978154_ARMS_KOSTER_VH1_190527-200716_9B_IMG_3478.JPG,9,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/36127cc3-b7dd-4dd5-bdaa-af9597cafadd.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,Not Provided,Not Provided,Not Provided,Application,https://s3.hpc.ut.ee/plutof-public/original/174026e4-6b78-4e83-a86b-6623fd0b5a9f.xlsx,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,89198106_IMG_3496.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/0ac323d0-d3fb-4438-b675-a56a2dec9fee.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,323290737_ARMS_KOSTER_VH1_190527-200716_1B_IMG_3495.JPG,1,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/130189d0-a021-45d2-b3de-cd2718f4787f.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,Not Provided,Not Provided,Not Provided,Application,https://s3.hpc.ut.ee/plutof-public/original/60da18d2-68d7-4f14-b436-bbc7080322ae.xlsx,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,326263734_ARMS_KOSTER_VH1_190527-200716_2T_IMG_3492.JPG,2,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/25374eaf-1083-490e-bfe6-d45d405741bc.jpg,2019-09-08,2023-11-13
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,473719522_ARMS_KOSTER_VH1_190527-200716_5B_IMG_3487.JPG,5,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/bbb4cfb0-248c-4bc4-b9f8-0027d7c1732b.jpg,2019-09-08,2023-11-13
