Material_Sample_ID,Parent_Event_ID,Description,Created_At,Updated_At,Sequences,Associated data
ARMS_Koster_VH1_20190527_20200716_MF100,ARMS_Koster_VH1_20190527_20200716,,2021-04-30,2024-06-06,449,36
ARMS_Koster_VH1_20190527_20200716_SF40,ARMS_Koster_VH1_20190527_20200716,,2021-04-30,2024-06-06,75,36
ARMS_Koster_VH1_20190527_20200716_MF500,ARMS_Koster_VH1_20190527_20200716,,2021-05-14,2024-06-06,56,36
ARMS_Koster_VH1_20180418_20190527_SF40_DMSO,ARMS_Koster_VH1_20180418_20190527,,2021-04-30,2024-06-06,489,117
ARMS_Koster_VH1_20180418_20190527_MF500_DMSO,ARMS_Koster_VH1_20180418_20190527,,2021-04-30,2024-06-06,249,117
ARMS_Koster_VH1_20180418_20190527_MF100_DMSO,ARMS_Koster_VH1_20180418_20190527,,2021-04-30,2024-06-06,591,117
ARMS_Koster_VH3_20180418_20190527_MF500_DMSO,ARMS_Koster_VH3_20180418_20190527,,2021-04-30,2024-06-06,144,109
ARMS_Koster_VH3_20180418_20190527_MF100_DMSO,ARMS_Koster_VH3_20180418_20190527,,2021-04-30,2024-06-06,350,109
ARMS_Koster_VH3_20190527_20200716_MF100,ARMS_Koster_VH3_20190527_20200716,,2021-04-30,2024-06-06,128,31
ARMS_Koster_VH3_20190527_20200716_SF40,ARMS_Koster_VH3_20190527_20200716,,2021-04-30,2024-06-06,179,31
ARMS_Koster_VH3_20190527_20200716_MF500,ARMS_Koster_VH3_20190527_20200716,,2021-05-14,2024-06-06,91,31
ARMS_Koster_VH2_20190527_20200716_MF100,ARMS_Koster_VH2_20190527_20200716,,2021-04-30,2024-06-06,282,27
ARMS_Koster_VH2_20190527_20200716_MF500,ARMS_Koster_VH2_20190527_20200716,,2021-04-30,2024-06-06,163,27
ARMS_Koster_VH2_20190527_20200716_SF40,ARMS_Koster_VH2_20190527_20200716,,2021-04-30,2024-06-06,206,27
ARMS_Koster_VH2_20180418_20180906_SF40_ETOH,ARMS_Koster_VH2_20180418_20180906,"Sessile fraction, grainded in blender, preserved in EtOH",2019-09-06,2024-06-06,211,76
ARMS_Koster_VH2_20180418_20180906_MF500_ETOH,ARMS_Koster_VH2_20180418_20180906,Motile fraction (500 um) preserved in EtOH,2019-09-06,2024-06-06,299,76
ARMS_Koster_VH2_20180418_20180906_SED100_DMSO,ARMS_Koster_VH2_20180418_20180906,Sediment (100 um) preserved in DMSO,2019-09-06,2024-06-06,0,76
ARMS_Koster_VH2_20180418_20180906_SF40_DMSO,ARMS_Koster_VH2_20180418_20180906,"Sessile fraction, grainded in blender, preserved in DMSO",2019-09-03,2024-06-06,0,76
