Station,Country,ARMS_unit,Latitude,Longitude,Depth_min,Depth_max,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Koster,Sweden,VH1,58.87515500,11.10319400,24,24,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,3,11,580,36,2019-09-08,2023-11-13
Koster,Sweden,VH1,58.87515500,11.10319400,24,24,2020-07-16,2021-06-08,ARMS_Koster_VH1_20200716_20210608,0,0,0,19,2020-12-17,2023-11-13
Koster,Sweden,VH1,58.87515500,11.10319400,24,24,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,3,0,1329,117,2019-09-08,2023-08-22
Koster,Sweden,VH1,58.87515500,11.10319400,24,24,2021-06-08,2022-06-08,ARMS_Koster_VH1_20210608_20220608,0,0,0,51,2023-10-12,2023-11-13
Koster,Sweden,VH1,58.87515500,11.10319400,24,24,2022-06-08,2023-08-17,ARMS_Koster_VH1_20220608_20230817,0,0,0,94,2023-10-12,2023-11-13
Koster,Sweden,VH3,58.85987700,11.08049100,25,25,2018-04-18,2019-05-27,ARMS_Koster_VH3_20180418_20190527,2,0,494,109,2019-09-08,2023-08-22
Koster,Sweden,VH3,58.85987700,11.08049100,25,25,2020-07-16,2021-06-08,ARMS_Koster_VH3_20200716_20210608,0,0,0,24,2020-12-17,2023-11-13
Koster,Sweden,VH3,58.85987700,11.08049100,25,25,2022-06-08,2023-08-17,ARMS_Koster_VH3_20220608_20230817,0,0,0,97,2023-10-12,2023-11-13
Koster,Sweden,VH3,58.85987700,11.08049100,25,25,2019-05-27,2020-07-16,ARMS_Koster_VH3_20190527_20200716,3,0,398,31,2019-09-08,2023-11-13
Koster,Sweden,VH3,58.85987700,11.08049100,25,25,2021-06-08,2022-06-09,ARMS_Koster_VH3_20210608_20220609,0,0,0,24,2023-10-12,2024-10-03
Koster,Sweden,VH2,58.87633000,11.11188400,22,22,2019-05-27,2020-07-16,ARMS_Koster_VH2_20190527_20200716,3,0,651,27,2019-09-06,2020-12-18
Koster,Sweden,VH2,58.87633000,11.11188400,22,22,2020-07-16,2021-06-08,ARMS_Koster_VH2_20200716_20210608,0,0,0,23,2020-12-17,2021-11-17
Koster,Sweden,VH2,58.87633000,11.11188400,22,22,2018-04-18,2018-09-06,ARMS_Koster_VH2_20180418_20180906,6,0,851,76,2019-09-03,2023-04-26
