Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
Bodo,Norway,GStraB,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,4830742,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/cc036f60-d188-4c5d-808a-14bb72007907.jpg,2020-12-18,2023-08-28
Bodo,Norway,GStraB,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,4830747,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/74ff37de-14c8-4590-9549-c4fb15072bef.jpg,2020-12-18,2023-08-28
Bodo,Norway,GStraB,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,4830752,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/a5928644-39c6-4784-869d-39ecdb9027e3.jpg,2020-12-18,2023-08-28
Bodo,Norway,GStraB,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,4830759,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/50bd38ba-6141-4ac7-8b76-f451c228ac97.jpg,2020-12-18,2023-08-28
Bodo,Norway,GStraB,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,4830745,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/f7bdf1b6-d12a-4afe-b6f5-ff8288dd78ed.jpg,2020-12-18,2023-08-28
Bodo,Norway,GStraB,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,4830751,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/ba25e6d6-4006-4109-84f0-3c249e5beada.jpg,2020-12-18,2023-08-28
Bodo,Norway,GStraB,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,4830755,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/9217dd4f-9815-4721-9b7d-cdf2007d9f3e.jpg,2020-12-18,2023-08-28
Bodo,Norway,GStraB,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,4830743,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/6919133d-db23-4d69-a001-30537c680e0d.jpg,2020-12-18,2023-08-28
Bodo,Norway,GStraB,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,4830744,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/125588fb-4b0e-46c7-8950-7445d98ae7d9.jpg,2020-12-18,2023-08-28
Bodo,Norway,GStraB,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,4830746,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/3bff6305-2b17-4884-b8e2-27c77867f678.jpg,2020-12-18,2023-08-28
Bodo,Norway,GStraB,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,4830750,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/c2811ae0-db5a-4ad1-ba68-976a8aa362b5.jpg,2020-12-18,2023-08-28
Bodo,Norway,GStraB,2019-06-21,2020-12-07,ARMS_Bodo_GStraB_20190621_20201207,4830756,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/af9a5852-6c08-4e09-8b90-ac9c6b2699ae.jpg,2020-12-18,2023-08-28
