Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,230067344_ARMS_2UBPC%20_20190924_20201211_1B_004.jpg,1,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/31cb3f7e-a783-474e-aefc-ff164736b255.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,396909794_ARMS_2UBPC%20_20190924_20201211_2%CE%A4_006.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/a3bd78dd-5fbf-4a1c-85ce-9c6415b6da56.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,421192327_ARMS_2UBPC%20_20190924_20201211_3%CE%92_006.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/faad7467-a963-4acc-8e18-2eefbf492ea4.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,338457689_ARMS_2UBPC%20_20190924_20201211_3%CE%A4_003.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/e75b1446-faa1-4b91-b720-713ee920a336.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,114591170_ARMS_2UBPC%20_20190924_20201211_3%CE%A4_008.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/a45c9569-690c-4ac0-955f-c82f703105b3.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,677376975_ARMS_2UBPC%20_20190924_20201211_4%CE%92_004.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/8ee01c66-84e6-415e-92da-e50924b4243a.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,407137325_ARMS_2UBPC%20_20190924_20201211_4%CE%92_009.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/c27ea64f-976b-4fd8-b8b0-54f3043d85d0.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,720075634_ARMS_2UBPC%20_20190924_20201211_5%CE%92_009.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/ec17bc2f-5dfd-4e9a-a48b-ba3a71bc1447.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,582378309_ARMS_2UBPC%20_20190924_20201211_6%CE%92_002.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/0188445c-c0ba-4aed-935a-242875bc8519.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,812709221_ARMS_2UBPC%20_20190924_20201211_6%CE%92_005.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/1c7ab3ec-841c-4a05-85b8-fb619370d955.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,969660781_ARMS_2UBPC%20_20190924_20201211_6%CE%A4_002.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/55aace37-7f87-4aab-ba49-bcf4a88f2602.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,456692365_ARMS_2UBPC%20_20190924_20201211_7%CE%A4_002.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/abffba22-fa8b-4b29-815b-3bf8013bcc86.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,627023975_ARMS_2UBPC%20_20190924_20201211_8%CE%92_002.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/62bac495-0899-4b94-a959-5a83f7da63a0.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,416163898_ARMS_2UBPC%20_20190924_20201211_8%CE%92_007.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/8df31884-12a1-47c0-8784-7cbd23089e7b.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,212928412_ARMS_2UBPC%20_20190924_20201211_9%CE%92_005.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/4b9e786d-9e9f-45bb-bbbd-0c21e5ea2895.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,198598100_ARMS_2UBPC%20_20190924_20201211_9%CE%A4_001.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/6fc0a282-0df8-4512-9d93-7b77fd28231b.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,126543751_ARMS_2UBPC%20_20190924_20201211_1%CE%A4_003.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/9550ab78-8d5d-480c-bae2-0ca2ffd402b9.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,866806721_ARMS_2UBPC%20_20190924_20201211_2%CE%92_007.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/c2cf4555-10cb-45d2-8f03-72a18ed97a6e.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,783788296_ARMS_2UBPC%20_20190924_20201211_2%CE%A4_001.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/6040a0b0-acc9-421e-8814-eb589cd61515.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,666113122_ARMS_2UBPC%20_20190924_20201211_2%CE%A4_007.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/d338e4c7-4158-4e8f-90a5-761474daa815.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,125119142_ARMS_2UBPC%20_20190924_20201211_3%CE%92_004.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/8c2c19f6-2d53-4742-a80d-feb3aa5754dd.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,416636542_ARMS_2UBPC%20_20190924_20201211_3%CE%A4_007.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/88baa148-a623-4538-8053-87d8c59a4002.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,778868036_ARMS_2UBPC%20_20190924_20201211_4%CE%92_006.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/7ac8bd2c-6344-4de8-8874-a03c69ef498a.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,491688459_ARMS_2UBPC%20_20190924_20201211_4%CE%A4_004.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/663063e1-74bc-4cdd-92ba-4ab27347914f.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,271057014_ARMS_2UBPC%20_20190924_20201211_5%CE%92_005.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/7497b2df-8e05-49b1-892b-8e460df30d62.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,884834135_ARMS_2UBPC%20_20190924_20201211_5%CE%A4_007.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/0b9d0b20-1884-4913-a917-db691ca8caa2.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,751794153_ARMS_2UBPC%20_20190924_20201211_6%CE%92_003.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/f9e47ec2-a7b2-455f-bcfb-5adde373cece.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,180796349_ARMS_2UBPC%20_20190924_20201211_7%CE%92_001.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/210cacd2-ead2-4794-99c9-4a7a3303a3e7.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,924056488_ARMS_2UBPC%20_20190924_20201211_7%CE%92_007.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/e7bb43ed-a7fe-420c-9cd7-bf0cc90dbb44.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,820225021_ARMS_2UBPC%20_20190924_20201211_7%CE%A4_003.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/f9dbac18-8377-4983-ad3d-74a8620932b3.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,695952582_ARMS_2UBPC%20_20190924_20201211_7%CE%A4_008.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/2cd7fe64-0ace-4d9e-a1ab-6909193f158f.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,515292504_ARMS_2UBPC%20_20190924_20201211_8%CE%92_005.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/50093797-3e8e-4d8a-9eef-38f8709302fb.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,480803987_ARMS_2UBPC%20_20190924_20201211_8%CE%A4_001.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/9669b3ba-7a28-4e82-a2a5-2f628eeaa5f7.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,188009792_ARMS_2UBPC%20_20190924_20201211_8%CE%A4_006.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/9702a769-b3e7-4b00-a52d-fa86fddf3f33.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,733525363_ARMS_2UBPC%20_20190924_20201211_8%CE%A4_010.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/30e2f979-08cf-4f25-a8fd-4b6ad792501a.jpg,2019-11-11,2022-01-10
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,653394474_ARMS_2UBPC%20_20190924_20201211_9%CE%92_008.jpg,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/eb7fecd2-5b66-490b-b204-72aaf353caf2.jpg,2019-11-11,2022-01-10
