Station,Country,ARMS_unit,Latitude,Longitude,Depth_min,Depth_max,Date_start,Date_end,Event_ID,Event_Description,IUCN_Habitat_type,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Crete,Greece,2UBPC,35.34662000,25.27876000,21,21,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).,9.4 - Subtidal Sandy,0,0,0,164,2019-11-11,2022-01-10
Crete,Greece,2UBPC,35.34662000,25.27876000,21,21,2023-09-28,2024-09,ARMS_Crete_2UBPC_20230928_00000000,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).,9.4 - Subtidal Sandy,0,0,0,0,2023-09-28,2023-09-28
Crete,Greece,2UBPC,35.34662000,25.27876000,21,21,2023-09-28,2024-09,ARMS_Crete_2UBPC_20230928_00000000,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).,9.4 - Subtidal Sandy,0,0,0,0,2023-09-28,2023-09-28
Crete,Greece,2UBPC,35.34662000,25.27876000,21,21,2022-09-01,2023-09-21,ARMS_Crete_2UBPC_20220901_20230921,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).,9.4 - Subtidal Sandy,0,0,0,202,2022-09-01,2023-09-22
Crete,Greece,2UBPC,35.34662000,25.27876000,21,21,2022-09-01,2023-09-21,ARMS_Crete_2UBPC_20220901_20230921,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).,9.4 - Subtidal Sandy,0,0,0,178,2021-12-03,2023-09-22
Crete,Greece,2UBPC,35.34662000,25.27876000,21,21,2022-09-01,2023-09-21,ARMS_Crete_2UBPC_20220901_20230921,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).,9.4 - Subtidal Sandy,0,0,0,191,2022-09-01,2023-09-22
Crete,Greece,2UBPC,35.34662000,25.27876000,21,21,2020-11-20,2022-09-01,ARMS_Crete_2UBPC_20201120_20220901,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).,9.4 - Subtidal Sandy,0,0,0,273,2020-12-16,2023-09-26
Crete,Greece,2UBPC,35.34662000,25.27876000,21,21,2023-09-28,2024-09,ARMS_Crete_2UBPC_20230928_00000000,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).,9.4 - Subtidal Sandy,0,0,0,0,2023-09-28,2023-10-12
Crete,Greece,1HERP,35.34315300,25.13660500,4,4,2019-06-12,2019-10-11,ARMS_Crete_1HERP_20190612_20191011,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.,9.6 - Subtidal Muddy,0,0,0,156,2019-11-11,2021-11-23
Crete,Greece,1HERP,35.34315300,25.13660500,4,4,2019-06-12,2020-06-18,ARMS_Crete_1HERP_20190612_20200618,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.,9.6 - Subtidal Muddy,0,0,0,175,2019-11-14,2022-01-10
Crete,Greece,1HERP,35.34315300,25.13660500,4,4,2020-09-03,2021-01-22,ARMS_Crete_1HERP_20200903_20210122,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.,9.6 - Subtidal Muddy,0,0,0,163,2020-12-16,2022-01-10
Crete,Greece,1HERP,35.34315300,25.13660500,4,4,2020-09-03,2021-10-12,ARMS_Crete_1HERP_20200903_20211012,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.,9.6 - Subtidal Muddy,0,0,0,171,2020-12-16,2022-01-10
Crete,Greece,1HERP,35.34315300,25.13660500,4,4,2018-09-28,2019-01-28,ARMS_Crete_1HERP_20180928_20190128,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.,9.6 - Subtidal Muddy,0,0,0,140,2019-11-11,2021-11-23
Crete,Greece,1HERP,35.34315300,25.13660500,4,4,2019-06-12,2020-02-10,ARMS_Crete_1HERP_20190612_20200210,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.,9.6 - Subtidal Muddy,0,0,0,157,2019-11-14,2021-11-23
